experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y,cell_area
Ex 3 day 1816,1,1,-0.0006,4.1465,3.1696,3.77,-7146.28,990,148,33669
Ex 3 day 1816,1,2,-0.0006,4.2453,3.11,3.77,-7316.63,939,104,33669
Ex 3 day 1816,1,3,-0.0006,3.7696,2.8263,3.77,-6496.79,992,66,33669
Ex 3 day 1816,1,4,-0.0006,3.8653,2.4012,4.24,-6661.61,913,53,33669
Ex 3 day 1816,1,5,-0.0006,3.7761,2.6052,3.3,-6507.92,985,170,33669
Ex 3 day 1816,1,6,-0.0006,4.0502,2.9356,3.77,-6980.33,1038,107,33669
Ex 3 day 1816,1,7,-0.0006,3.8577,2.8942,3.77,-6648.6,968,185,33669
Ex 3 day 1816,1,8,-0.0006,3.7911,2.8487,3.77,-6533.79,1004,85,33669
Ex 3 day 1816,1,9,-0.0006,3.1141,2.2727,4.71,-5367.02,956,125,33669
Ex 3 day 1816,1,10,-0.0006,2.9359,2.283,3.77,-5059.89,951,187,33669
Ex 3 day 1816,1,11,-0.0006,2.784,2.2235,3.77,-4798.17,964,163,33669
Ex 3 day 1816,1,12,-0.0006,2.9346,2.1198,3.3,-5057.7,924,39,33669
Ex 3 day 1816,1,13,-0.0006,2.9885,2.0506,4.24,-5150.48,899,96,33669
Ex 3 day 1816,1,14,-0.0006,2.9148,2.1417,3.77,-5023.53,957,80,33669
Ex 3 day 1816,1,15,-0.0006,2.4088,1.6695,4.24,-4151.39,994,113,33669
Ex 3 day 1816,1,16,-0.0006,2.526,1.7142,3.3,-4353.51,1015,68,33669
Ex 3 day 1816,1,17,-0.0006,2.1621,1.5871,4.24,-3726.31,1004,136,33669
Ex 3 day 1816,1,18,-0.0006,2.3796,1.8494,3.77,-4101.07,947,72,33669
Ex 3 day 1816,1,19,-0.0006,2.4434,1.5498,4.24,-4211.14,1026,76,33669
Ex 3 day 1816,1,20,-0.0006,2.1158,1.7101,2.83,-3646.42,957,103,33669
Ex 3 day 1816,1,21,-0.0006,1.9142,1.4555,4.71,-3299.1,911,71,33669
Ex 3 day 1816,1,22,-0.0006,2.0926,1.7386,2.83,-3606.45,1006,63,33669
Ex 3 day 1816,1,23,-0.0006,2.1515,1.6257,3.3,-3708.02,993,177,33669
Ex 3 day 1816,1,24,-0.0006,2.1192,1.4568,3.3,-3652.28,970,103,33669
Ex 3 day 1816,1,25,-0.0006,2.1296,1.3861,3.3,-3670.29,971,88,33669
Ex 3 day 1816,1,26,-0.0006,1.999,1.5877,3.77,-3445.21,945,40,33669
Ex 3 day 1816,1,27,-0.0006,1.8951,1.4804,4.71,-3266.15,970,115,33669
Ex 3 day 1816,1,28,-0.0006,1.9357,1.3004,3.77,-3336.03,910,35,33669
Ex 3 day 1816,1,29,-0.0006,2.2189,1.8233,3.77,-3824.19,932,124,33669
