Total Cells: 7
Total Foci: 160

Head (first 20 rows):
   experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 1816        1        1              -0.0006               4.1465                    3.1696         3.77              -7146.28     990     148
Ex 3 day 1816        1        2              -0.0006               4.2453                    3.1100         3.77              -7316.63     939     104
Ex 3 day 1816        1        3              -0.0006               3.7696                    2.8263         3.77              -6496.79     992      66
Ex 3 day 1816        1        4              -0.0006               3.8653                    2.4012         4.24              -6661.61     913      53
Ex 3 day 1816        1        5              -0.0006               3.7761                    2.6052         3.30              -6507.92     985     170
Ex 3 day 1816        1        6              -0.0006               4.0502                    2.9356         3.77              -6980.33    1038     107
Ex 3 day 1816        1        7              -0.0006               3.8577                    2.8942         3.77              -6648.60     968     185
Ex 3 day 1816        1        8              -0.0006               3.7911                    2.8487         3.77              -6533.79    1004      85
Ex 3 day 1816        1        9              -0.0006               3.1141                    2.2727         4.71              -5367.02     956     125
Ex 3 day 1816        1       10              -0.0006               2.9359                    2.2830         3.77              -5059.89     951     187
Ex 3 day 1816        1       11              -0.0006               2.7840                    2.2235         3.77              -4798.17     964     163
Ex 3 day 1816        1       12              -0.0006               2.9346                    2.1198         3.30              -5057.70     924      39
Ex 3 day 1816        1       13              -0.0006               2.9885                    2.0506         4.24              -5150.48     899      96
Ex 3 day 1816        1       14              -0.0006               2.9148                    2.1417         3.77              -5023.53     957      80
Ex 3 day 1816        1       15              -0.0006               2.4088                    1.6695         4.24              -4151.39     994     113
Ex 3 day 1816        1       16              -0.0006               2.5260                    1.7142         3.30              -4353.51    1015      68
Ex 3 day 1816        1       17              -0.0006               2.1621                    1.5871         4.24              -3726.31    1004     136
Ex 3 day 1816        1       18              -0.0006               2.3796                    1.8494         3.77              -4101.07     947      72
Ex 3 day 1816        1       19              -0.0006               2.4434                    1.5498         4.24              -4211.14    1026      76
Ex 3 day 1816        1       20              -0.0006               2.1158                    1.7101         2.83              -3646.42     957     103
