Total Cells: 22
Total Foci: 138

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 181        1        1              -0.0061               3.6023                    2.3610         4.24               -590.28     996     284
Ex 3 day 181        1        2              -0.0061               3.1229                    2.2722         3.30               -511.71    1000     261
Ex 3 day 181        1        3              -0.0061               2.8585                    2.2193         4.71               -468.40    1066     284
Ex 3 day 181        1        4              -0.0061               3.1355                    2.6183         2.83               -513.79    1014     246
Ex 3 day 181        1        5              -0.0061               2.6637                    1.8941         3.77               -436.48    1053     261
Ex 3 day 181        1        6              -0.0061               1.7134                    1.4577         2.83               -280.75     975     266
Ex 3 day 181        1        7              -0.0061               2.6283                    2.0907         2.83               -430.68    1055     232
Ex 3 day 181        1        8              -0.0061               1.1492                    1.1584         3.77               -188.31    1045     276
Ex 3 day 181        1        9              -0.0061               1.9395                    1.3736         3.77               -317.81     984     225
Ex 3 day 181        1       10              -0.0061               1.6402                    1.3064         2.83               -268.77    1017     257
Ex 3 day 181        4       11               0.0366               4.1460                    3.4914         2.83                113.23     338     392
Ex 3 day 181        4       12               0.0366               3.8149                    2.8266         3.77                104.18     337     315
Ex 3 day 181        4       13               0.0366               4.0345                    2.8017         3.30                110.18     267     296
Ex 3 day 181        4       14               0.0366               4.1529                    2.8415         3.30                113.41     290     293
Ex 3 day 181        4       15               0.0366               3.4977                    2.4988         3.77                 95.52     262     314
Ex 3 day 181        4       16               0.0366               3.5295                    2.4956         3.30                 96.39     313     288
Ex 3 day 181        4       17               0.0366               3.5666                    2.0513         4.24                 97.40     242     315
Ex 3 day 181        4       18               0.0366               3.5194                    3.0568         2.83                 96.11     287     306
Ex 3 day 181        4       19               0.0366               3.1665                    2.3279         3.77                 86.48     284     376
Ex 3 day 181        4       20               0.0366               3.4580                    2.9319         2.83                 94.44     307     321
