Total Cells: 88
Total Foci: 648

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 04        1        1               0.1182               2.8464                    1.9305         4.24                 24.08     585       7
Ex 3 day 04        1        2               0.1182               2.6153                    1.7845         4.24                 22.13     589      34
Ex 3 day 04        1        3               0.1182               2.5300                    1.9455         3.30                 21.40     579      44
Ex 3 day 04        1        4               0.1182               2.4889                    2.0383         2.83                 21.06     568      54
Ex 3 day 04        1        5               0.1182               2.6117                    1.9943         3.30                 22.09     553      38
Ex 3 day 04        1        6               0.1182               2.1744                    1.4867         3.30                 18.40     552      60
Ex 3 day 04        1        7               0.1182               2.4162                    1.8918         2.83                 20.44     534      72
Ex 3 day 04        1        8               0.1182               2.1104                    1.7961         2.83                 17.85     570      67
Ex 3 day 04        1        9               0.1182               1.4978                    1.0939         2.83                 12.67     554       5
Ex 3 day 04        1       10               0.1182               1.8116                    1.4113         3.77                 15.33     591      49
Ex 3 day 04        1       11               0.1182               1.8094                    1.3424         4.24                 15.31     579      67
Ex 3 day 04        3       12               0.0725               2.9994                    1.9984         2.83                 41.40    1135      24
Ex 3 day 04        3       13               0.0725               2.1901                    1.8737         2.83                 30.23    1128      12
Ex 3 day 04        4       14               0.0541               3.5452                    2.9734         2.83                 65.57    1381      19
Ex 3 day 04        4       15               0.0541               2.5270                    1.9434         2.83                 46.74    1341      10
Ex 3 day 04        4       16               0.0541               3.0847                    2.2143         2.83                 57.06    1384       6
Ex 3 day 04        4       17               0.0541               2.0228                    1.7784         2.83                 37.42    1364      14
Ex 3 day 04        4       18               0.0541               2.7671                    2.0348         2.83                 51.18    1360      32
Ex 3 day 04        4       19               0.0541               2.2425                    1.7558         2.83                 41.48    1354       9
Ex 3 day 04        4       20               0.0541               2.6480                    2.0408         2.83                 48.98    1338       3
