Total Cells: 7
Total Foci: 136

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 185        1        1               0.0588               3.4278                    2.3878         3.30                 58.27     836     239
Ex 3 day 185        1        2               0.0588               3.0157                    2.0397         3.30                 51.27     823     222
Ex 3 day 185        1        3               0.0588               2.6303                    2.0482         3.77                 44.72     796     267
Ex 3 day 185        1        4               0.0588               2.1204                    1.5848         3.30                 36.05     781     260
Ex 3 day 185        1        5               0.0588               2.3795                    1.7472         3.30                 40.45     806     271
Ex 3 day 185        1        6               0.0588               1.7953                    1.1620         3.30                 30.52     792     281
Ex 3 day 185        1        7               0.0588               1.8250                    1.4097         3.77                 31.03     859     271
Ex 3 day 185        1        8               0.0588               1.2505                    0.8897         4.24                 21.26     846     256
Ex 3 day 185        2        9               0.0508               3.9159                    3.4111         2.83                 77.10     824     338
Ex 3 day 185        2       10               0.0508               3.8712                    2.7903         3.30                 76.22     873     348
Ex 3 day 185        2       11               0.0508               3.6406                    2.9365         2.83                 71.68     826     350
Ex 3 day 185        2       12               0.0508               3.2582                    2.5472         3.77                 64.15     807     336
Ex 3 day 185        2       13               0.0508               3.4793                    2.2388         3.30                 68.51     868     318
Ex 3 day 185        2       14               0.0508               3.0646                    2.3436         3.77                 60.34     854     352
Ex 3 day 185        2       15               0.0508               3.3428                    2.3610         3.77                 65.82     825     365
Ex 3 day 185        2       16               0.0508               3.0152                    2.0799         3.30                 59.37     790     348
Ex 3 day 185        2       17               0.0508               2.5676                    1.7041         4.24                 50.56     810     356
Ex 3 day 185        2       18               0.0508               2.5297                    2.0539         3.77                 49.81     844     307
Ex 3 day 185        2       19               0.0508               1.9781                    1.4924         3.30                 38.95     834     343
Ex 3 day 185        2       20               0.0508               2.2553                    1.9071         2.83                 44.41     777     321
