experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 01;1;1;0,1227;4,0579;3,2105;2,8300;33,0700;859;0;4909
Ex 3 day 01;1;2;0,1227;3,0363;2,0439;4,2400;24,7500;868;21;4909
Ex 3 day 01;1;3;0,1227;2,0584;1,5686;3,7700;16,7800;871;46;4909
Ex 3 day 01;1;4;0,1227;2,1372;1,5377;3,3000;17,4200;885;50;4909
Ex 3 day 01;1;5;0,1227;1,9892;1,4387;4,2400;16,2100;896;45;4909
Ex 3 day 01;2;6;0,1823;2,7755;2,3839;2,8300;15,2200;1376;43;3874
Ex 3 day 01;2;7;0,1823;3,2328;2,6610;2,8300;17,7300;1360;36;3874
Ex 3 day 01;2;8;0,1823;3,5587;3,0892;2,8300;19,5200;1379;59;3874
Ex 3 day 01;2;9;0,1823;2,9452;1,9480;3,3000;16,1600;1360;65;3874
Ex 3 day 01;2;10;0,1823;2,8727;2,0261;3,3000;15,7600;1374;90;3874
Ex 3 day 01;2;11;0,1823;2,0359;1,6651;2,8300;11,1700;1363;53;3874
Ex 3 day 01;3;12;0,1632;3,7122;3,1958;2,8300;22,7500;234;98;8324
Ex 3 day 01;3;13;0,1632;3,7530;3,1845;2,8300;23,0000;281;75;8324
Ex 3 day 01;3;14;0,1632;3,4178;2,4210;3,3000;20,9500;261;91;8324
Ex 3 day 01;3;15;0,1632;2,9713;2,5571;2,8300;18,2100;248;77;8324
Ex 3 day 01;3;16;0,1632;2,6247;2,3039;2,8300;16,0900;223;97;8324
Ex 3 day 01;3;17;0,1632;1,8646;1,3146;3,3000;11,4300;276;101;8324
Ex 3 day 01;3;18;0,1632;1,8947;1,5644;2,8300;11,6100;278;84;8324
Ex 3 day 01;3;19;0,1632;2,2948;1,8980;2,8300;14,0700;247;102;8324
Ex 3 day 01;3;20;0,1632;2,1707;1,5813;3,3000;13,3000;286;95;8324
Ex 3 day 01;3;21;0,1632;1,5098;1,1478;2,8300;9,2500;229;86;8324
Ex 3 day 01;5;22;0,1352;3,4898;2,6627;3,7700;25,8100;0;86;4706
Ex 3 day 01;5;23;0,1352;3,0140;2,0809;3,3000;22,3000;33;71;4706
Ex 3 day 01;5;24;0,1352;2,3097;1,9746;2,8300;17,0800;41;89;4706
Ex 3 day 01;5;25;0,1352;1,8204;1,3871;3,3000;13,4700;7;64;4706
Ex 3 day 01;5;26;0,1352;2,3937;2,0749;2,8300;17,7100;13;51;4706
Ex 3 day 01;5;27;0,1352;1,8772;1,5553;2,8300;13,8900;20;60;4706
Ex 3 day 01;5;28;0,1352;2,0518;1,7712;2,8300;15,1800;59;75;4706
Ex 3 day 01;5;29;0,1352;1,8139;1,2852;4,2400;13,4200;50;67;4706
Ex 3 day 01;6;30;0,2453;3,6089;2,6115;3,7700;14,7100;1052;124;4482
Ex 3 day 01;6;31;0,2453;1,9625;1,5915;2,8300;8,0000;1051;104;4482
Ex 3 day 01;6;32;0,2453;2,3171;1,7290;3,3000;9,4400;1029;96;4482
Ex 3 day 01;6;33;0,2453;2,2513;1,8838;2,8300;9,1800;1034;99;4482
Ex 3 day 01;6;34;0,2453;2,1625;1,4736;3,3000;8,8100;1067;146;4482
