Total Cells: 63
Total Foci: 358

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 01        1        1               0.1227               4.0579                    3.2105         2.83                 33.07     859       0
Ex 3 day 01        1        2               0.1227               3.0363                    2.0439         4.24                 24.75     868      21
Ex 3 day 01        1        3               0.1227               2.0584                    1.5686         3.77                 16.78     871      46
Ex 3 day 01        1        4               0.1227               2.1372                    1.5377         3.30                 17.42     885      50
Ex 3 day 01        1        5               0.1227               1.9892                    1.4387         4.24                 16.21     896      45
Ex 3 day 01        2        6               0.1823               2.7755                    2.3839         2.83                 15.22    1376      43
Ex 3 day 01        2        7               0.1823               3.2328                    2.6610         2.83                 17.73    1360      36
Ex 3 day 01        2        8               0.1823               3.5587                    3.0892         2.83                 19.52    1379      59
Ex 3 day 01        2        9               0.1823               2.9452                    1.9480         3.30                 16.16    1360      65
Ex 3 day 01        2       10               0.1823               2.8727                    2.0261         3.30                 15.76    1374      90
Ex 3 day 01        2       11               0.1823               2.0359                    1.6651         2.83                 11.17    1363      53
Ex 3 day 01        3       12               0.1632               3.7122                    3.1958         2.83                 22.75     234      98
Ex 3 day 01        3       13               0.1632               3.7530                    3.1845         2.83                 23.00     281      75
Ex 3 day 01        3       14               0.1632               3.4178                    2.4210         3.30                 20.95     261      91
Ex 3 day 01        3       15               0.1632               2.9713                    2.5571         2.83                 18.21     248      77
Ex 3 day 01        3       16               0.1632               2.6247                    2.3039         2.83                 16.09     223      97
Ex 3 day 01        3       17               0.1632               1.8646                    1.3146         3.30                 11.43     276     101
Ex 3 day 01        3       18               0.1632               1.8947                    1.5644         2.83                 11.61     278      84
Ex 3 day 01        3       19               0.1632               2.2948                    1.8980         2.83                 14.07     247     102
Ex 3 day 01        3       20               0.1632               2.1707                    1.5813         3.30                 13.30     286      95
