Total Cells: 57
Total Foci: 367

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 05        1        1               0.1777               3.7700                    2.8470         2.83                 21.22     178      36
Ex 3 day 05        1        2               0.1777               2.0753                    1.7185         2.83                 11.68     179      23
Ex 3 day 05        1        3               0.1777               2.6113                    2.1653         2.83                 14.70     191       9
Ex 3 day 05        1        4               0.1777               2.5990                    2.2378         2.83                 14.63     159      29
Ex 3 day 05        1        5               0.1777               2.0656                    1.7820         2.83                 11.63     195      20
Ex 3 day 05        1        6               0.1777               2.7415                    2.2239         2.83                 15.43     181      11
Ex 3 day 05        1        7               0.1777               2.0136                    1.6240         2.83                 11.33     167      30
Ex 3 day 05        1        8               0.1777               2.4503                    2.0718         2.83                 13.79     185      55
Ex 3 day 05        1        9               0.1777               1.7608                    1.1986         3.30                  9.91     204      29
Ex 3 day 05        2       10               0.1257               3.1830                    2.6282         2.83                 25.32     861      14
Ex 3 day 05        2       11               0.1257               2.4214                    1.9084         2.83                 19.26     840       5
Ex 3 day 05        2       12               0.1257               2.0912                    1.8551         2.83                 16.63     866       0
Ex 3 day 05        2       13               0.1257               1.0870                    0.9426         3.77                  8.65     852       0
Ex 3 day 05        2       14               0.1257               2.0124                    1.5275         2.83                 16.01     858      29
Ex 3 day 05        2       15               0.1257               1.8303                    1.5715         2.83                 14.56     867      34
Ex 3 day 05        2       16               0.1257               2.1178                    1.6795         2.83                 16.85     844      37
Ex 3 day 05        2       17               0.1257               1.9403                    1.3944         2.83                 15.43     873       8
Ex 3 day 05        2       18               0.1257               2.1862                    1.2906         3.30                 17.39     872      26
Ex 3 day 05        2       19               0.1257               2.1027                    1.7524         2.83                 16.73     865      52
Ex 3 day 05        3       20               0.1316               3.1474                    2.4981         2.83                 23.92     353      57
