experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 186,1,1,0.0562,4.5618,3.3262,3.3,81.1,609,233
Ex 3 day 186,1,2,0.0562,4.4385,2.8369,3.3,78.91,582,282
Ex 3 day 186,1,3,0.0562,3.6962,2.6508,3.3,65.71,590,232
Ex 3 day 186,1,4,0.0562,3.0657,1.7032,5.19,54.5,602,203
Ex 3 day 186,1,5,0.0562,3.6317,2.715,3.3,64.57,565,267
Ex 3 day 186,1,6,0.0562,3.1291,2.2067,3.3,55.63,617,261
Ex 3 day 186,1,7,0.0562,2.4313,2.064,2.83,43.23,594,266
Ex 3 day 186,1,8,0.0562,2.3582,1.7988,3.3,41.92,607,254
Ex 3 day 186,1,9,0.0562,2.0893,1.6989,3.77,37.14,571,246
Ex 3 day 186,1,10,0.0562,2.2922,1.4767,4.24,40.75,603,281
Ex 3 day 186,1,11,0.0562,2.212,1.4489,3.3,39.33,589,216
Ex 3 day 186,1,12,0.0562,1.9211,1.5789,2.83,34.15,575,257
Ex 3 day 186,1,13,0.0562,1.8274,1.6123,2.83,32.49,616,250
Ex 3 day 186,2,14,0.0248,4.5869,3.0988,3.3,184.88,667,305
Ex 3 day 186,2,15,0.0248,4.3239,3.0953,3.3,174.28,630,318
Ex 3 day 186,2,16,0.0248,3.9719,3.0163,3.77,160.09,709,243
Ex 3 day 186,2,17,0.0248,3.6656,2.5137,3.3,147.74,665,284
Ex 3 day 186,2,18,0.0248,3.578,2.474,3.3,144.22,649,220
Ex 3 day 186,2,19,0.0248,3.2683,2.4057,3.3,131.73,656,264
Ex 3 day 186,2,20,0.0248,3.2772,2.4994,3.77,132.09,636,287
Ex 3 day 186,2,21,0.0248,2.7966,1.7938,3.3,112.72,630,223
Ex 3 day 186,2,22,0.0248,2.8988,2.2223,3.77,116.84,696,299
Ex 3 day 186,2,23,0.0248,2.8894,2.0245,3.3,116.46,654,228
Ex 3 day 186,2,24,0.0248,2.7558,2.3542,2.83,111.07,640,237
Ex 3 day 186,2,25,0.0248,3.0194,2.2204,3.3,121.7,646,320
Ex 3 day 186,2,26,0.0248,2.954,2.0857,3.3,119.06,698,308
Ex 3 day 186,2,27,0.0248,2.3751,1.8446,3.77,95.73,653,332
Ex 3 day 186,2,28,0.0248,2.3649,1.7984,3.77,95.32,683,243
Ex 3 day 186,2,29,0.0248,1.9635,1.2205,3.77,79.14,674,256
Ex 3 day 186,4,30,0.0254,4.1569,2.7063,3.3,163.38,1272,562
Ex 3 day 186,4,31,0.0254,3.8845,3.0028,3.77,152.68,1320,479
Ex 3 day 186,4,32,0.0254,3.7094,2.7122,3.3,145.79,1285,551
Ex 3 day 186,4,33,0.0254,3.911,2.8854,3.77,153.72,1264,519
Ex 3 day 186,4,34,0.0254,3.6256,2.4553,4.24,142.5,1278,439
Ex 3 day 186,4,35,0.0254,3.5743,2.7483,3.77,140.49,1215,498
Ex 3 day 186,4,36,0.0254,3.7947,2.5564,3.3,149.15,1278,604
Ex 3 day 186,4,37,0.0254,3.58,2.5933,3.3,140.71,1290,579
Ex 3 day 186,4,38,0.0254,3.3417,2.4386,3.3,131.34,1320,503
Ex 3 day 186,4,39,0.0254,3.2987,2.4749,3.77,129.65,1336,472
Ex 3 day 186,4,40,0.0254,3.2362,2.2415,3.3,127.2,1283,520
Ex 3 day 186,4,41,0.0254,2.9684,2.2014,3.77,116.67,1244,574
Ex 3 day 186,4,42,0.0254,2.6781,2.0694,3.77,105.26,1232,562
Ex 3 day 186,4,43,0.0254,2.712,1.6813,4.24,106.59,1282,463
Ex 3 day 186,4,44,0.0254,2.5372,1.8452,3.3,99.72,1289,569
Ex 3 day 186,4,45,0.0254,2.7599,1.814,4.24,108.47,1262,485
Ex 3 day 186,4,46,0.0254,2.5992,1.7299,3.3,102.16,1219,532
Ex 3 day 186,4,47,0.0254,2.3094,1.6938,3.77,90.77,1258,584
Ex 3 day 186,4,48,0.0254,2.2935,1.4653,3.3,90.14,1252,507
Ex 3 day 186,4,49,0.0254,2.1546,1.5335,3.3,84.69,1214,520
Ex 3 day 186,4,50,0.0254,2.4703,1.8047,3.3,97.09,1254,484
Ex 3 day 186,4,51,0.0254,1.9889,1.516,4.71,78.17,1235,534
Ex 3 day 186,4,52,0.0254,1.666,1.3542,4.71,65.48,1303,551
Ex 3 day 186,4,53,0.0254,2.1011,1.8251,2.83,82.58,1259,450
Ex 3 day 186,4,54,0.0254,2.165,1.3227,4.24,85.09,1273,505
Ex 3 day 186,4,55,0.0254,1.8711,1.3592,3.3,73.54,1253,567
Ex 3 day 186,4,56,0.0254,1.6363,1.339,2.83,64.31,1246,554
Ex 3 day 186,5,57,0.0636,3.7682,2.8903,3.3,59.28,335,558
Ex 3 day 186,5,58,0.0636,3.461,2.5351,3.77,54.44,381,507
Ex 3 day 186,5,59,0.0636,3.8461,2.6018,3.3,60.5,370,551
Ex 3 day 186,5,60,0.0636,3.4083,2.3675,4.24,53.61,365,517
Ex 3 day 186,5,61,0.0636,4.036,2.7076,3.3,63.49,363,500
Ex 3 day 186,5,62,0.0636,3.2661,2.4092,3.3,51.38,350,520
Ex 3 day 186,5,63,0.0636,3.1486,2.4563,3.77,49.53,276,527
Ex 3 day 186,5,64,0.0636,3.2127,2.3496,3.77,50.54,386,554
Ex 3 day 186,5,65,0.0636,3.4572,2.521,3.77,54.38,363,574
Ex 3 day 186,5,66,0.0636,2.6599,1.8178,3.3,41.84,336,534
Ex 3 day 186,5,67,0.0636,2.764,2.3474,2.83,43.48,300,572
Ex 3 day 186,5,68,0.0636,2.8,1.9954,3.3,44.05,375,570
Ex 3 day 186,5,69,0.0636,2.7403,1.9786,3.77,43.11,388,531
Ex 3 day 186,5,70,0.0636,2.8355,2.3542,2.83,44.6,365,606
Ex 3 day 186,5,71,0.0636,2.7494,1.9985,3.77,43.25,341,508
Ex 3 day 186,5,72,0.0636,2.4532,1.9093,3.77,38.59,287,570
Ex 3 day 186,5,73,0.0636,2.4318,1.722,4.24,38.25,339,601
Ex 3 day 186,5,74,0.0636,2.1816,1.7551,3.77,34.32,314,603
Ex 3 day 186,5,75,0.0636,2.0857,1.6157,3.3,32.81,294,586
Ex 3 day 186,5,76,0.0636,2.145,1.4557,4.24,33.74,322,500
Ex 3 day 186,5,77,0.0636,2.116,1.6529,3.77,33.29,310,495
Ex 3 day 186,5,78,0.0636,2.2936,1.9105,2.83,36.08,335,588
Ex 3 day 186,5,79,0.0636,2.2313,1.3997,3.3,35.1,321,574
Ex 3 day 186,5,80,0.0636,1.947,1.3322,3.3,30.63,315,546
Ex 3 day 186,5,81,0.0636,2.2395,1.6619,3.77,35.23,381,593
Ex 3 day 186,5,82,0.0636,1.8239,1.1114,4.24,28.69,330,520
Ex 3 day 186,5,83,0.0636,0.9843,0.9192,3.77,15.48,345,575
Ex 3 day 186,5,84,0.0636,1.8536,1.2516,3.3,29.16,309,565
Ex 3 day 186,5,85,0.0636,1.9719,1.7224,2.83,31.02,315,485
Ex 3 day 186,5,86,0.0636,2.0228,1.4956,3.77,31.82,407,539
Ex 3 day 186,5,87,0.0636,1.568,1.3707,2.83,24.66,317,563
Ex 3 day 186,5,88,0.0636,2.0096,1.6229,3.3,31.61,328,606
Ex 3 day 186,5,89,0.0636,1.9495,1.5121,3.77,30.67,374,489
Ex 3 day 186,5,90,0.0636,1.7412,1.3443,2.83,27.39,319,526
Ex 3 day 186,5,91,0.0636,1.8242,1.0457,4.24,28.7,364,538
Ex 3 day 186,5,92,0.0636,2.3,1.5137,3.3,36.18,301,600
Ex 3 day 186,5,93,0.0636,1.774,1.4152,2.83,27.91,328,588
