Total Cells: 6
Total Foci: 136

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 186        1        1               0.0562               4.5618                    3.3262         3.30                 81.10     609     233
Ex 3 day 186        1        2               0.0562               4.4385                    2.8369         3.30                 78.91     582     282
Ex 3 day 186        1        3               0.0562               3.6962                    2.6508         3.30                 65.71     590     232
Ex 3 day 186        1        4               0.0562               3.0657                    1.7032         5.19                 54.50     602     203
Ex 3 day 186        1        5               0.0562               3.6317                    2.7150         3.30                 64.57     565     267
Ex 3 day 186        1        6               0.0562               3.1291                    2.2067         3.30                 55.63     617     261
Ex 3 day 186        1        7               0.0562               2.4313                    2.0640         2.83                 43.23     594     266
Ex 3 day 186        1        8               0.0562               2.3582                    1.7988         3.30                 41.92     607     254
Ex 3 day 186        1        9               0.0562               2.0893                    1.6989         3.77                 37.14     571     246
Ex 3 day 186        1       10               0.0562               2.2922                    1.4767         4.24                 40.75     603     281
Ex 3 day 186        1       11               0.0562               2.2120                    1.4489         3.30                 39.33     589     216
Ex 3 day 186        1       12               0.0562               1.9211                    1.5789         2.83                 34.15     575     257
Ex 3 day 186        1       13               0.0562               1.8274                    1.6123         2.83                 32.49     616     250
Ex 3 day 186        2       14               0.0248               4.5869                    3.0988         3.30                184.88     667     305
Ex 3 day 186        2       15               0.0248               4.3239                    3.0953         3.30                174.28     630     318
Ex 3 day 186        2       16               0.0248               3.9719                    3.0163         3.77                160.09     709     243
Ex 3 day 186        2       17               0.0248               3.6656                    2.5137         3.30                147.74     665     284
Ex 3 day 186        2       18               0.0248               3.5780                    2.4740         3.30                144.22     649     220
Ex 3 day 186        2       19               0.0248               3.2683                    2.4057         3.30                131.73     656     264
Ex 3 day 186        2       20               0.0248               3.2772                    2.4994         3.77                132.09     636     287
