experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 184;1;1;0,0699;3,6369;2,7475;3,7700;52,0000;403;273;15176
Ex 3 day 184;1;2;0,0699;3,3077;2,5260;3,7700;47,2900;415;306;15176
Ex 3 day 184;1;3;0,0699;3,3988;2,3553;3,3000;48,5900;407;252;15176
Ex 3 day 184;1;4;0,0699;3,1095;2,0548;4,2400;44,4600;415;241;15176
Ex 3 day 184;1;5;0,0699;3,0029;2,3474;3,7700;42,9300;450;219;15176
Ex 3 day 184;1;6;0,0699;2,7879;2,3286;3,7700;39,8600;358;277;15176
Ex 3 day 184;1;7;0,0699;3,0082;2,2107;3,3000;43,0100;359;303;15176
Ex 3 day 184;1;8;0,0699;2,5822;1,7945;4,7100;36,9200;340;289;15176
Ex 3 day 184;1;9;0,0699;2,7801;2,0465;3,7700;39,7500;374;288;15176
Ex 3 day 184;1;10;0,0699;2,4395;1,7344;3,3000;34,8800;427;271;15176
Ex 3 day 184;1;11;0,0699;2,3643;1,7022;3,3000;33,8000;332;313;15176
Ex 3 day 184;1;12;0,0699;2,8012;1,9923;3,7700;40,0500;414;226;15176
Ex 3 day 184;1;13;0,0699;2,4207;1,8720;3,7700;34,6100;317;292;15176
Ex 3 day 184;1;14;0,0699;2,5127;1,7226;3,3000;35,9200;450;263;15176
Ex 3 day 184;1;15;0,0699;2,1034;1,6310;2,8300;30,0700;376;269;15176
Ex 3 day 184;1;16;0,0699;1,8266;1,2853;3,3000;26,1200;399;301;15176
Ex 3 day 184;2;17;0,0379;4,4315;3,1492;3,3000;116,8800;712;516;19620
Ex 3 day 184;2;18;0,0379;4,0095;2,7947;3,3000;105,7500;645;576;19620
Ex 3 day 184;2;19;0,0379;3,8948;3,0582;3,7700;102,7300;670;597;19620
Ex 3 day 184;2;20;0,0379;3,8853;2,9391;3,7700;102,4800;685;508;19620
Ex 3 day 184;2;21;0,0379;3,7234;3,2193;2,8300;98,2100;659;571;19620
Ex 3 day 184;2;22;0,0379;3,7436;2,8308;3,7700;98,7400;691;535;19620
Ex 3 day 184;2;23;0,0379;3,6849;2,7033;3,7700;97,1900;637;597;19620
Ex 3 day 184;2;24;0,0379;3,7198;2,6812;3,7700;98,1100;639;561;19620
Ex 3 day 184;2;25;0,0379;3,4163;2,4530;2,8300;90,1100;648;494;19620
Ex 3 day 184;2;26;0,0379;2,8320;2,3395;3,7700;74,7000;627;510;19620
Ex 3 day 184;2;27;0,0379;2,8369;2,4804;2,8300;74,8300;699;569;19620
Ex 3 day 184;2;28;0,0379;2,0288;1,3928;4,2400;53,5100;721;536;19620
Ex 3 day 184;2;29;0,0379;2,9665;2,1096;3,7700;78,2400;707;614;19620
Ex 3 day 184;2;30;0,0379;2,5163;2,1156;2,8300;66,3700;693;581;19620
Ex 3 day 184;2;31;0,0379;2,5541;2,1969;2,8300;67,3700;729;524;19620
Ex 3 day 184;2;32;0,0379;1,8249;1,6032;2,8300;48,1300;689;567;19620
Ex 3 day 184;2;33;0,0379;2,1091;1,4953;3,3000;55,6300;657;581;19620
Ex 3 day 184;2;34;0,0379;1,5241;1,2323;3,7700;40,2000;682;556;19620
Ex 3 day 184;2;35;0,0379;1,8298;1,3195;2,8300;48,2600;723;548;19620
Ex 3 day 184;2;36;0,0379;1,5869;0,8752;3,3000;41,8600;678;543;19620
Ex 3 day 184;2;37;0,0379;2,6267;2,1797;2,8300;69,2800;728;590;19620
Ex 3 day 184;2;38;0,0379;1,9502;1,5812;2,8300;51,4400;678;569;19620
Ex 3 day 184;2;39;0,0379;1,6342;1,3847;2,8300;43,1000;638;531;19620
Ex 3 day 184;2;40;0,0379;1,8730;1,6873;2,8300;49,4000;735;552;19620
Ex 3 day 184;2;41;0,0379;1,8680;1,5988;2,8300;49,2700;700;557;19620
Ex 3 day 184;2;42;0,0379;1,5766;1,1275;3,3000;41,5800;670;535;19620
Ex 3 day 184;2;43;0,0379;1,7861;1,1574;3,3000;47,1100;671;557;19620
Ex 3 day 184;2;44;0,0379;1,5933;1,2273;4,2400;42,0200;671;500;19620
Ex 3 day 184;2;45;0,0379;2,1158;1,4988;3,7700;55,8100;641;610;19620
Ex 3 day 184;2;46;0,0379;1,5339;1,0618;2,8300;40,4600;672;546;19620
Ex 3 day 184;2;47;0,0379;2,1436;1,6673;2,8300;56,5400;648;515;19620
Ex 3 day 184;2;48;0,0379;2,0480;1,6342;2,8300;54,0200;657;522;19620
Ex 3 day 184;2;49;0,0379;1,6546;1,2358;2,8300;43,6400;734;572;19620
Ex 3 day 184;2;50;0,0379;2,0874;1,6270;2,8300;55,0600;720;532;19620
Ex 3 day 184;2;51;0,0379;1,8706;1,4265;2,8300;49,3400;624;534;19620
Ex 3 day 184;3;52;0,1231;2,5370;2,1131;2,8300;20,6100;669;788;7873
Ex 3 day 184;3;53;0,1231;2,8692;2,5527;2,8300;23,3100;662;812;7873
Ex 3 day 184;3;54;0,1231;3,1006;2,3502;2,8300;25,1900;654;770;7873
Ex 3 day 184;3;55;0,1231;2,6464;2,3260;2,8300;21,5000;697;804;7873
Ex 3 day 184;3;56;0,1231;2,4626;1,6110;3,3000;20,0100;674;820;7873
Ex 3 day 184;3;57;0,1231;2,4831;1,8068;3,7700;20,1700;676;798;7873
Ex 3 day 184;3;58;0,1231;2,1165;1,2945;4,2400;17,1900;633;748;7873
Ex 3 day 184;3;59;0,1231;2,2772;1,9588;2,8300;18,5000;657;789;7873
