Total Cells: 3
Total Foci: 59

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 184        1        1               0.0699               3.6369                    2.7475         3.77                 52.00     403     273
Ex 3 day 184        1        2               0.0699               3.3077                    2.5260         3.77                 47.29     415     306
Ex 3 day 184        1        3               0.0699               3.3988                    2.3553         3.30                 48.59     407     252
Ex 3 day 184        1        4               0.0699               3.1095                    2.0548         4.24                 44.46     415     241
Ex 3 day 184        1        5               0.0699               3.0029                    2.3474         3.77                 42.93     450     219
Ex 3 day 184        1        6               0.0699               2.7879                    2.3286         3.77                 39.86     358     277
Ex 3 day 184        1        7               0.0699               3.0082                    2.2107         3.30                 43.01     359     303
Ex 3 day 184        1        8               0.0699               2.5822                    1.7945         4.71                 36.92     340     289
Ex 3 day 184        1        9               0.0699               2.7801                    2.0465         3.77                 39.75     374     288
Ex 3 day 184        1       10               0.0699               2.4395                    1.7344         3.30                 34.88     427     271
Ex 3 day 184        1       11               0.0699               2.3643                    1.7022         3.30                 33.80     332     313
Ex 3 day 184        1       12               0.0699               2.8012                    1.9923         3.77                 40.05     414     226
Ex 3 day 184        1       13               0.0699               2.4207                    1.8720         3.77                 34.61     317     292
Ex 3 day 184        1       14               0.0699               2.5127                    1.7226         3.30                 35.92     450     263
Ex 3 day 184        1       15               0.0699               2.1034                    1.6310         2.83                 30.07     376     269
Ex 3 day 184        1       16               0.0699               1.8266                    1.2853         3.30                 26.12     399     301
Ex 3 day 184        2       17               0.0379               4.4315                    3.1492         3.30                116.88     712     516
Ex 3 day 184        2       18               0.0379               4.0095                    2.7947         3.30                105.75     645     576
Ex 3 day 184        2       19               0.0379               3.8948                    3.0582         3.77                102.73     670     597
Ex 3 day 184        2       20               0.0379               3.8853                    2.9391         3.77                102.48     685     508
