experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 07,1,1,0.1056,2.7132,2.1732,2.83,25.68,826,0
Ex 3 day 07,1,2,0.1056,2.7621,2.059,3.3,26.14,839,0
Ex 3 day 07,1,3,0.1056,2.1191,1.8554,2.83,20.06,847,14
Ex 3 day 07,1,4,0.1056,2.281,1.9168,2.83,21.59,885,16
Ex 3 day 07,1,5,0.1056,2.5185,2.1115,2.83,23.84,871,31
Ex 3 day 07,1,6,0.1056,1.755,1.3367,2.83,16.61,845,27
Ex 3 day 07,1,7,0.1056,2.7755,2.3221,2.83,26.27,859,33
Ex 3 day 07,1,8,0.1056,2.2742,1.8553,2.83,21.53,883,56
Ex 3 day 07,1,9,0.1056,1.8684,1.517,2.83,17.68,892,23
Ex 3 day 07,1,10,0.1056,1.7423,1.1098,4.71,16.49,868,50
Ex 3 day 07,1,11,0.1056,1.606,1.0526,2.83,15.2,872,7
Ex 3 day 07,1,12,0.1056,1.5157,1.1687,2.83,14.35,901,57
Ex 3 day 07,1,13,0.1056,2.1403,1.8108,2.83,20.26,891,42
Ex 3 day 07,2,14,0.1995,2.9746,2.2912,3.77,14.91,1231,33
Ex 3 day 07,2,15,0.1995,2.9178,1.9785,3.3,14.63,1214,0
Ex 3 day 07,2,16,0.1995,2.9039,2.4773,2.83,14.56,1236,4
Ex 3 day 07,2,17,0.1995,2.5892,2.2839,2.83,12.98,1206,28
Ex 3 day 07,2,18,0.1995,2.0052,1.5837,2.83,10.05,1220,8
Ex 3 day 07,2,19,0.1995,2.4927,1.9976,2.83,12.5,1245,0
Ex 3 day 07,2,20,0.1995,1.6245,1.2458,3.3,8.14,1224,16
Ex 3 day 07,3,21,0.1927,2.8637,2.5214,2.83,14.86,485,11
Ex 3 day 07,3,22,0.1927,2.4198,1.7732,2.83,12.56,480,27
Ex 3 day 07,3,23,0.1927,2.1337,1.4727,4.24,11.07,487,55
Ex 3 day 07,3,24,0.1927,2.0241,1.7005,2.83,10.5,504,32
Ex 3 day 07,3,25,0.1927,1.6884,1.7108,4.71,8.76,501,20
Ex 3 day 07,3,26,0.1927,1.9496,1.3256,2.83,10.12,495,34
Ex 3 day 07,3,27,0.1927,1.5862,1.4436,3.3,8.23,480,41
Ex 3 day 07,3,28,0.1927,1.8987,1.4855,3.77,9.85,471,50
Ex 3 day 07,3,29,0.1927,2.1137,1.7466,2.83,10.97,476,39
Ex 3 day 07,4,30,0.1702,3.9189,3.2805,2.83,23.03,1111,55
Ex 3 day 07,4,31,0.1702,2.8748,2.2961,2.83,16.89,1098,77
Ex 3 day 07,4,32,0.1702,2.4216,2.1483,2.83,14.23,1108,63
Ex 3 day 07,4,33,0.1702,2.7093,1.8214,2.83,15.92,1142,86
Ex 3 day 07,4,34,0.1702,1.6107,1.5792,3.77,9.47,1097,48
Ex 3 day 07,4,35,0.1702,2.138,1.8737,2.83,12.56,1111,82
Ex 3 day 07,4,36,0.1702,1.387,1.215,3.77,8.15,1095,35
Ex 3 day 07,4,37,0.1702,2.4688,1.9606,2.83,14.51,1136,60
Ex 3 day 07,4,38,0.1702,1.6113,1.4263,2.83,9.47,1124,100
Ex 3 day 07,5,39,0.1789,3.9442,3.4359,2.83,22.04,637,89
Ex 3 day 07,5,40,0.1789,2.6685,1.9719,3.77,14.91,651,79
Ex 3 day 07,5,41,0.1789,2.6314,2.2474,2.83,14.71,672,83
Ex 3 day 07,5,42,0.1789,1.8813,1.4058,4.24,10.51,678,64
Ex 3 day 07,5,43,0.1789,1.9118,1.5717,2.83,10.68,652,91
Ex 3 day 07,5,44,0.1789,1.7274,1.37,2.83,9.65,664,70
Ex 3 day 07,5,45,0.1789,1.795,1.5161,2.83,10.03,649,65
Ex 3 day 07,6,46,0.1734,2.7445,2.2133,2.83,15.82,791,85
Ex 3 day 07,6,47,0.1734,2.2685,1.9706,2.83,13.08,774,61
Ex 3 day 07,6,48,0.1734,2.4014,2.0361,2.83,13.85,784,80
Ex 3 day 07,6,49,0.1734,2.4765,2.0346,2.83,14.28,762,70
Ex 3 day 07,6,50,0.1734,1.5567,1.4137,3.77,8.98,807,72
Ex 3 day 07,6,51,0.1734,2.3425,1.9628,2.83,13.51,799,74
Ex 3 day 07,6,52,0.1734,2.0978,1.475,3.3,12.1,801,60
Ex 3 day 07,7,53,0.1748,4.2025,3.7186,2.83,24.04,549,125
Ex 3 day 07,7,54,0.1748,1.8424,1.5552,3.77,10.54,559,141
Ex 3 day 07,8,55,0.1822,2.7798,2.1214,2.83,15.25,982,110
Ex 3 day 07,8,56,0.1822,3.2746,2.5582,2.83,17.97,1024,123
Ex 3 day 07,8,57,0.1822,2.4325,1.9723,2.83,13.35,991,143
Ex 3 day 07,8,58,0.1822,2.8733,2.0064,2.83,15.77,996,116
Ex 3 day 07,8,59,0.1822,2.8787,2.1329,2.83,15.8,1009,98
Ex 3 day 07,8,60,0.1822,2.1586,1.4845,2.83,11.84,1004,123
Ex 3 day 07,8,61,0.1822,2.061,1.6125,2.83,11.31,1008,117
Ex 3 day 07,8,62,0.1822,2.9719,2.1323,2.83,16.31,978,140
Ex 3 day 07,8,63,0.1822,2.4912,1.8561,2.83,13.67,990,128
Ex 3 day 07,8,64,0.1822,2.2833,1.836,2.83,12.53,979,123
Ex 3 day 07,8,65,0.1822,1.7048,1.2226,3.3,9.35,1029,113
Ex 3 day 07,8,66,0.1822,2.4641,1.9786,2.83,13.52,1000,145
Ex 3 day 07,8,67,0.1822,2.2642,1.7549,2.83,12.42,1013,111
Ex 3 day 07,8,68,0.1822,1.9153,1.4657,2.83,10.51,984,145
Ex 3 day 07,8,69,0.1822,1.7359,1.5269,2.83,9.53,1007,131
Ex 3 day 07,8,70,0.1822,2.1441,1.6037,2.83,11.76,1019,124
Ex 3 day 07,8,71,0.1822,1.7382,1.2469,2.83,9.54,995,133
Ex 3 day 07,9,72,0.2409,3.1196,2.3135,3.3,12.95,458,132
Ex 3 day 07,9,73,0.2409,2.3449,1.907,2.83,9.73,483,134
Ex 3 day 07,9,74,0.2409,2.0394,1.6953,2.83,8.47,471,147
Ex 3 day 07,9,75,0.2409,2.5664,2.2141,2.83,10.65,474,165
Ex 3 day 07,9,76,0.2409,2.3481,1.8782,2.83,9.75,484,143
Ex 3 day 07,9,77,0.2409,1.9434,1.3527,4.24,8.07,458,156
Ex 3 day 07,10,78,0.1669,3.1836,2.0438,3.3,19.07,937,147
Ex 3 day 07,10,79,0.1669,2.5611,2.1757,3.77,15.34,913,141
Ex 3 day 07,10,80,0.1669,2.3001,2.0036,2.83,13.78,899,161
Ex 3 day 07,10,81,0.1669,2.3218,1.57,3.3,13.91,910,155
Ex 3 day 07,10,82,0.1669,2.3269,1.8044,3.77,13.94,916,165
Ex 3 day 07,10,83,0.1669,2.514,2.2138,2.83,15.06,907,126
Ex 3 day 07,10,84,0.1669,2.2271,1.8438,2.83,13.34,899,143
Ex 3 day 07,10,85,0.1669,2.4268,2.0651,2.83,14.54,918,127
Ex 3 day 07,10,86,0.1669,2.3262,1.9244,2.83,13.94,930,161
Ex 3 day 07,11,87,0.2453,1.8717,1.9987,3.77,7.63,373,176
Ex 3 day 07,11,88,0.2453,2.8049,2.3301,2.83,11.44,396,212
Ex 3 day 07,11,89,0.2453,2.3591,1.914,2.83,9.62,374,202
Ex 3 day 07,11,90,0.2453,1.7196,1.4395,2.83,7.01,383,195
Ex 3 day 07,11,91,0.2453,2.1191,1.8918,2.83,8.64,385,221
Ex 3 day 07,11,92,0.2453,2.2939,1.6538,2.83,9.35,383,186
Ex 3 day 07,11,93,0.2453,2.1306,1.8662,2.83,8.69,389,195
Ex 3 day 07,11,94,0.2453,1.9551,1.6419,2.83,7.97,366,203
Ex 3 day 07,12,95,0.1714,3.1091,2.2847,3.3,18.14,784,211
Ex 3 day 07,12,96,0.1714,1.9077,1.4862,4.71,11.13,795,192
Ex 3 day 07,13,97,0.1664,2.3886,1.8803,2.83,14.36,1062,214
Ex 3 day 07,13,98,0.1664,2.7343,2.0854,2.83,16.43,1060,227
Ex 3 day 07,13,99,0.1664,2.8601,2.0757,2.83,17.19,1062,206
Ex 3 day 07,13,100,0.1664,2.3275,1.876,2.83,13.99,1035,220
