Total Cells: 21
Total Foci: 40

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 06        1        1               0.2281               2.7776                    1.8527         3.30                 12.18    1237      38
Ex 3 day 06        2        2               0.3150               2.6134                    1.9643         3.30                  8.30    1267     167
Ex 3 day 06        3        3               0.2747               2.5159                    2.1870         2.83                  9.16     589     188
Ex 3 day 06        3        4               0.2747               2.0527                    1.7096         3.77                  7.47     584     164
Ex 3 day 06        4        5               0.2358               2.2527                    1.5431         4.71                  9.55     670     333
Ex 3 day 06        5        6               0.1591               2.7857                    2.1202         3.77                 17.51     610     310
Ex 3 day 06        5        7               0.1591               2.6593                    1.9632         3.77                 16.71     612     324
Ex 3 day 06        6        8               0.2965               2.9770                    2.2530         3.77                 10.04     759     340
Ex 3 day 06        6        9               0.2965               2.6316                    1.8547         4.24                  8.87     735     335
Ex 3 day 06        7       10               0.2008               3.1328                    2.4380         3.77                 15.60     525     405
Ex 3 day 06        7       11               0.2008               2.4906                    1.5909         4.24                 12.40     504     402
Ex 3 day 06        7       12               0.2008               2.2627                    1.7906         3.77                 11.27     522     391
Ex 3 day 06        8       13               0.2754               2.4736                    2.1344         2.83                  8.98     796     730
Ex 3 day 06        8       14               0.2754               1.7213                    1.5382         4.24                  6.25     802     744
Ex 3 day 06        9       15               0.3046               2.5155                    1.8233         4.24                  8.26     910     768
Ex 3 day 06       10       16               0.1426               2.2471                    1.6422         3.77                 15.76     802     747
Ex 3 day 06       10       17               0.1426               1.6472                    1.2601         4.24                 11.55     818     759
Ex 3 day 06       10       18               0.1426               2.2985                    1.6861         2.83                 16.12     782     754
Ex 3 day 06       11       19               0.2125               2.8939                    2.1401         3.77                 13.62     554     804
Ex 3 day 06       11       20               0.2125               2.8205                    1.9713         3.30                 13.27     555     783
