experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 186;1;1;0,0562;4,5618;3,3262;3,3000;81,1000;609;233;5334
Ex 3 day 186;1;2;0,0562;4,4385;2,8369;3,3000;78,9100;582;282;5334
Ex 3 day 186;1;3;0,0562;3,6962;2,6508;3,3000;65,7100;590;232;5334
Ex 3 day 186;1;4;0,0562;3,0657;1,7032;5,1900;54,5000;602;203;5334
Ex 3 day 186;1;5;0,0562;3,6317;2,7150;3,3000;64,5700;565;267;5334
Ex 3 day 186;1;6;0,0562;3,1291;2,2067;3,3000;55,6300;617;261;5334
Ex 3 day 186;1;7;0,0562;2,4313;2,0640;2,8300;43,2300;594;266;5334
Ex 3 day 186;1;8;0,0562;2,3582;1,7988;3,3000;41,9200;607;254;5334
Ex 3 day 186;1;9;0,0562;2,0893;1,6989;3,7700;37,1400;571;246;5334
Ex 3 day 186;1;10;0,0562;2,2922;1,4767;4,2400;40,7500;603;281;5334
Ex 3 day 186;1;11;0,0562;2,2120;1,4489;3,3000;39,3300;589;216;5334
Ex 3 day 186;1;12;0,0562;1,9211;1,5789;2,8300;34,1500;575;257;5334
Ex 3 day 186;1;13;0,0562;1,8274;1,6123;2,8300;32,4900;616;250;5334
Ex 3 day 186;2;14;0,0248;4,5869;3,0988;3,3000;184,8800;667;305;12895
Ex 3 day 186;2;15;0,0248;4,3239;3,0953;3,3000;174,2800;630;318;12895
Ex 3 day 186;2;16;0,0248;3,9719;3,0163;3,7700;160,0900;709;243;12895
Ex 3 day 186;2;17;0,0248;3,6656;2,5137;3,3000;147,7400;665;284;12895
Ex 3 day 186;2;18;0,0248;3,5780;2,4740;3,3000;144,2200;649;220;12895
Ex 3 day 186;2;19;0,0248;3,2683;2,4057;3,3000;131,7300;656;264;12895
Ex 3 day 186;2;20;0,0248;3,2772;2,4994;3,7700;132,0900;636;287;12895
Ex 3 day 186;2;21;0,0248;2,7966;1,7938;3,3000;112,7200;630;223;12895
Ex 3 day 186;2;22;0,0248;2,8988;2,2223;3,7700;116,8400;696;299;12895
Ex 3 day 186;2;23;0,0248;2,8894;2,0245;3,3000;116,4600;654;228;12895
Ex 3 day 186;2;24;0,0248;2,7558;2,3542;2,8300;111,0700;640;237;12895
Ex 3 day 186;2;25;0,0248;3,0194;2,2204;3,3000;121,7000;646;320;12895
Ex 3 day 186;2;26;0,0248;2,9540;2,0857;3,3000;119,0600;698;308;12895
Ex 3 day 186;2;27;0,0248;2,3751;1,8446;3,7700;95,7300;653;332;12895
Ex 3 day 186;2;28;0,0248;2,3649;1,7984;3,7700;95,3200;683;243;12895
Ex 3 day 186;2;29;0,0248;1,9635;1,2205;3,7700;79,1400;674;256;12895
Ex 3 day 186;4;30;0,0254;4,1569;2,7063;3,3000;163,3800;1272;562;25183
Ex 3 day 186;4;31;0,0254;3,8845;3,0028;3,7700;152,6800;1320;479;25183
Ex 3 day 186;4;32;0,0254;3,7094;2,7122;3,3000;145,7900;1285;551;25183
Ex 3 day 186;4;33;0,0254;3,9110;2,8854;3,7700;153,7200;1264;519;25183
Ex 3 day 186;4;34;0,0254;3,6256;2,4553;4,2400;142,5000;1278;439;25183
Ex 3 day 186;4;35;0,0254;3,5743;2,7483;3,7700;140,4900;1215;498;25183
Ex 3 day 186;4;36;0,0254;3,7947;2,5564;3,3000;149,1500;1278;604;25183
Ex 3 day 186;4;37;0,0254;3,5800;2,5933;3,3000;140,7100;1290;579;25183
Ex 3 day 186;4;38;0,0254;3,3417;2,4386;3,3000;131,3400;1320;503;25183
Ex 3 day 186;4;39;0,0254;3,2987;2,4749;3,7700;129,6500;1336;472;25183
Ex 3 day 186;4;40;0,0254;3,2362;2,2415;3,3000;127,2000;1283;520;25183
Ex 3 day 186;4;41;0,0254;2,9684;2,2014;3,7700;116,6700;1244;574;25183
Ex 3 day 186;4;42;0,0254;2,6781;2,0694;3,7700;105,2600;1232;562;25183
Ex 3 day 186;4;43;0,0254;2,7120;1,6813;4,2400;106,5900;1282;463;25183
Ex 3 day 186;4;44;0,0254;2,5372;1,8452;3,3000;99,7200;1289;569;25183
Ex 3 day 186;4;45;0,0254;2,7599;1,8140;4,2400;108,4700;1262;485;25183
Ex 3 day 186;4;46;0,0254;2,5992;1,7299;3,3000;102,1600;1219;532;25183
Ex 3 day 186;4;47;0,0254;2,3094;1,6938;3,7700;90,7700;1258;584;25183
Ex 3 day 186;4;48;0,0254;2,2935;1,4653;3,3000;90,1400;1252;507;25183
Ex 3 day 186;4;49;0,0254;2,1546;1,5335;3,3000;84,6900;1214;520;25183
Ex 3 day 186;4;50;0,0254;2,4703;1,8047;3,3000;97,0900;1254;484;25183
Ex 3 day 186;4;51;0,0254;1,9889;1,5160;4,7100;78,1700;1235;534;25183
Ex 3 day 186;4;52;0,0254;1,6660;1,3542;4,7100;65,4800;1303;551;25183
Ex 3 day 186;4;53;0,0254;2,1011;1,8251;2,8300;82,5800;1259;450;25183
Ex 3 day 186;4;54;0,0254;2,1650;1,3227;4,2400;85,0900;1273;505;25183
Ex 3 day 186;4;55;0,0254;1,8711;1,3592;3,3000;73,5400;1253;567;25183
Ex 3 day 186;4;56;0,0254;1,6363;1,3390;2,8300;64,3100;1246;554;25183
Ex 3 day 186;5;57;0,0636;3,7682;2,8903;3,3000;59,2800;335;558;21182
Ex 3 day 186;5;58;0,0636;3,4610;2,5351;3,7700;54,4400;381;507;21182
Ex 3 day 186;5;59;0,0636;3,8461;2,6018;3,3000;60,5000;370;551;21182
Ex 3 day 186;5;60;0,0636;3,4083;2,3675;4,2400;53,6100;365;517;21182
Ex 3 day 186;5;61;0,0636;4,0360;2,7076;3,3000;63,4900;363;500;21182
