 ,Area,Mean,Min,Max
1,1.111E-5,255,255,255
2,1.111E-5,255,255,255
3,0.089,255,255,255
4,6.111E-4,255,255,255
5,1.333E-4,255,255,255
6,2.222E-5,255,255,255
7,1.444E-4,255,255,255
8,1.444E-4,255,255,255
9,1.444E-4,255,255,255
10,5.556E-5,255,255,255
11,2.222E-5,255,255,255
12,6.667E-5,255,255,255
13,5.556E-5,255,255,255
14,7.667E-4,255,255,255
15,1.111E-5,255,255,255
16,2.889E-4,255,255,255
17,3.889E-4,255,255,255
18,1.111E-5,255,255,255
19,1.111E-5,255,255,255
20,5.556E-5,255,255,255
21,2.222E-5,255,255,255
22,6.667E-5,255,255,255
23,1.111E-5,255,255,255
24,1.111E-5,255,255,255
25,1.111E-5,255,255,255
26,3.444E-4,255,255,255
27,2.222E-5,255,255,255
28,4.444E-4,255,255,255
29,1.111E-4,255,255,255
30,3.333E-4,255,255,255
31,1.111E-5,255,255,255
32,2.222E-5,255,255,255
33,7.444E-4,255,255,255
34,1.111E-5,255,255,255
35,1.111E-5,255,255,255
36,1.111E-5,255,255,255
37,9.222E-4,255,255,255
38,2.222E-5,255,255,255
39,4.444E-5,255,255,255
40,1.111E-5,255,255,255
41,1.111E-4,255,255,255
42,1.111E-5,255,255,255
43,3.333E-5,255,255,255
44,6.222E-4,255,255,255
45,2.444E-4,255,255,255
46,4.444E-5,255,255,255
47,1.667E-4,255,255,255
48,1.111E-5,255,255,255
49,2.667E-4,255,255,255
50,8.000E-4,255,255,255
51,2.222E-5,255,255,255
52,1.111E-5,255,255,255
53,2.222E-5,255,255,255
54,1.667E-4,255,255,255
55,5.222E-4,255,255,255
56,4.444E-5,255,255,255
57,1.111E-4,255,255,255
58,1.111E-5,255,255,255
59,3.333E-5,255,255,255
60,7.778E-5,255,255,255
61,2.222E-5,255,255,255
62,1.111E-5,255,255,255
63,4.444E-5,255,255,255
64,1.111E-5,255,255,255
65,2.222E-5,255,255,255
66,1.111E-5,255,255,255
67,1.111E-5,255,255,255
68,2.222E-5,255,255,255
69,2.222E-5,255,255,255
70,5.556E-5,255,255,255
71,1.111E-5,255,255,255
72,1.111E-5,255,255,255
73,3.333E-5,255,255,255
74,3.333E-5,255,255,255
75,1.111E-5,255,255,255
76,7.222E-4,255,255,255
77,6.333E-4,255,255,255
78,1.111E-5,255,255,255
79,1.111E-5,255,255,255
80,1.111E-5,255,255,255
81,4.444E-5,255,255,255
82,1.667E-4,255,255,255
83,3.444E-4,255,255,255
84,0.002,255,255,255
85,1.111E-5,255,255,255
86,1.111E-5,255,255,255
87,2.556E-4,255,255,255
88,0.004,255,255,255
89,0.002,255,255,255
90,2.333E-4,255,255,255
91,3.333E-5,255,255,255
92,2.889E-4,255,255,255
93,1.111E-5,255,255,255
94,7.778E-4,255,255,255
95,1.111E-4,255,255,255
96,0.001,255,255,255
97,0.002,255,255,255
98,1.111E-5,255,255,255
99,1.222E-4,255,255,255
100,1.111E-4,255,255,255
101,0.004,255,255,255
102,1.111E-5,255,255,255
103,1.556E-4,255,255,255
104,3.000E-4,255,255,255
105,0.007,255,255,255
106,3.667E-4,255,255,255
107,2.222E-5,255,255,255
108,1.111E-5,255,255,255
109,1.333E-4,255,255,255
110,4.444E-5,255,255,255
111,0.002,255,255,255
112,3.889E-4,255,255,255
113,2.333E-4,255,255,255
114,2.000E-4,255,255,255
115,1.111E-5,255,255,255
116,1.111E-5,255,255,255
