Total Cells: 8
Total Foci: 93

Head (first 20 rows):
   experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 1815        1        1               0.1944               2.4261                    2.1076         2.83                 12.48    1013     133
Ex 3 day 1815        1        2               0.1944               2.2518                    1.6706         3.30                 11.58    1046     137
Ex 3 day 1815        2        3               0.0662               3.1123                    2.2221         4.71                 46.98     204     186
Ex 3 day 1815        2        4               0.0662               3.1032                    2.6878         2.83                 46.84     278     243
Ex 3 day 1815        2        5               0.0662               2.7256                    2.1369         4.71                 41.14     249     273
Ex 3 day 1815        2        6               0.0662               2.9085                    2.2293         2.83                 43.90     256     253
Ex 3 day 1815        2        7               0.0662               2.9601                    1.8775         5.19                 44.68     201     265
Ex 3 day 1815        2        8               0.0662               2.7488                    2.0925         2.83                 41.49     195     286
Ex 3 day 1815        2        9               0.0662               3.0434                    1.8440         5.19                 45.94     215     214
Ex 3 day 1815        2       10               0.0662               2.1213                    1.6726         2.83                 32.02     259     218
Ex 3 day 1815        2       11               0.0662               1.8590                    1.4669         2.83                 28.06     263     244
Ex 3 day 1815        2       12               0.0662               2.8030                    1.6121         5.66                 42.31     237     198
Ex 3 day 1815        2       13               0.0662               2.3007                    1.6046         4.71                 34.73     188     215
Ex 3 day 1815        2       14               0.0662               2.1327                    1.6899         2.83                 32.19     224     298
Ex 3 day 1815        2       15               0.0662               2.4075                    2.0263         2.83                 36.34     191     300
Ex 3 day 1815        2       16               0.0662               2.7677                    1.9443         3.30                 41.78     206     296
Ex 3 day 1815        2       17               0.0662               2.7382                    1.8205         4.71                 41.33     294     255
Ex 3 day 1815        2       18               0.0662               2.4518                    2.1306         2.83                 37.01     230     245
Ex 3 day 1815        2       19               0.0662               2.2199                    2.0493         2.83                 33.51     268     280
Ex 3 day 1815        2       20               0.0662               1.9286                    1.5021         2.83                 29.11     236     258
