Total Cells: 7
Total Foci: 190

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 188        1        1               0.0428               3.0077                    2.4682         2.83                 70.26    1361     140
Ex 3 day 188        1        2               0.0428               2.6244                    1.8983         2.83                 61.31    1391      86
Ex 3 day 188        1        3               0.0428               1.8928                    1.8445         4.71                 44.21    1377     127
Ex 3 day 188        1        4               0.0428               2.0547                    1.2737         3.30                 48.00    1391     217
Ex 3 day 188        1        5               0.0428               2.8017                    2.2455         2.83                 65.45    1368     169
Ex 3 day 188        1        6               0.0428               2.9057                    1.9872         3.30                 67.88    1391     175
Ex 3 day 188        1        7               0.0428               2.1615                    1.6010         2.83                 50.49    1355     228
Ex 3 day 188        1        8               0.0428               2.4471                    2.0884         2.83                 57.16    1389     107
Ex 3 day 188        1        9               0.0428               2.9065                    2.4550         2.83                 67.89    1358     214
Ex 3 day 188        1       10               0.0428               2.3195                    1.9449         2.83                 54.18    1346     212
Ex 3 day 188        1       11               0.0428               2.1764                    1.5997         2.83                 50.84    1361     126
Ex 3 day 188        1       12               0.0428               2.0676                    1.6043         2.83                 48.30    1384     242
Ex 3 day 188        1       13               0.0428               1.9940                    1.6826         2.83                 46.58    1381     177
Ex 3 day 188        1       14               0.0428               2.3931                    1.6332         2.83                 55.90    1366     240
Ex 3 day 188        1       15               0.0428               3.1377                    0.9218         5.19                 73.30    1391     243
Ex 3 day 188        1       16               0.0428               2.0814                    1.2769         4.24                 48.62    1351     181
Ex 3 day 188        1       17               0.0428               1.4377                    1.1355         2.83                 33.59    1338     182
Ex 3 day 188        1       18               0.0428               2.0402                    1.5494         3.30                 47.66    1391     190
Ex 3 day 188        1       19               0.0428               1.2902                    1.0189         5.66                 30.14    1391     227
Ex 3 day 188        1       20               0.0428               1.4696                    1.0990         2.83                 34.33    1381     209
