experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 1821;1;1;0,0168;4,2451;3,0574;3,3000;252,3100;257;158;28323
Ex 3 day 1821;1;2;0,0168;4,0598;3,1388;3,7700;241,3000;267;143;28323
Ex 3 day 1821;1;3;0,0168;3,9956;3,5323;2,8300;237,4900;281;160;28323
Ex 3 day 1821;1;4;0,0168;3,9664;2,9843;3,7700;235,7500;284;127;28323
Ex 3 day 1821;1;5;0,0168;4,0228;2,8474;3,3000;239,1000;230;188;28323
Ex 3 day 1821;1;6;0,0168;4,0923;2,9037;3,3000;243,2300;254;77;28323
Ex 3 day 1821;1;7;0,0168;3,8340;2,7841;3,3000;227,8800;315;89;28323
Ex 3 day 1821;1;8;0,0168;3,8452;2,6943;3,3000;228,5500;257;224;28323
Ex 3 day 1821;1;9;0,0168;3,6173;2,8273;3,7700;215,0000;324;136;28323
Ex 3 day 1821;1;10;0,0168;3,4516;2,5123;3,3000;205,1500;227;174;28323
Ex 3 day 1821;1;11;0,0168;3,3594;2,2326;4,2400;199,6700;321;167;28323
Ex 3 day 1821;1;12;0,0168;3,1935;2,1650;3,3000;189,8100;245;142;28323
Ex 3 day 1821;1;13;0,0168;3,5914;3,0561;2,8300;213,4600;248;186;28323
Ex 3 day 1821;1;14;0,0168;3,5811;2,4670;3,3000;212,8400;283;88;28323
Ex 3 day 1821;1;15;0,0168;3,2126;2,4767;3,7700;190,9400;310;113;28323
Ex 3 day 1821;1;16;0,0168;3,5829;2,5902;3,7700;212,9500;234;84;28323
Ex 3 day 1821;1;17;0,0168;2,8148;2,4570;2,8300;167,3000;229;165;28323
Ex 3 day 1821;1;18;0,0168;3,2639;2,3980;3,3000;193,9900;313;195;28323
Ex 3 day 1821;1;19;0,0168;3,0048;1,9536;3,3000;178,5900;288;140;28323
Ex 3 day 1821;1;20;0,0168;2,8797;2,0355;4,7100;171,1600;276;191;28323
Ex 3 day 1821;1;21;0,0168;2,9200;2,5516;2,8300;173,5600;299;125;28323
Ex 3 day 1821;1;22;0,0168;2,6891;1,9227;3,3000;159,8300;267;201;28323
Ex 3 day 1821;1;23;0,0168;2,7972;1,6920;5,6600;166,2500;194;168;28323
Ex 3 day 1821;1;24;0,0168;2,6402;1,9213;3,3000;156,9200;326;194;28323
Ex 3 day 1821;1;25;0,0168;2,4031;1,7923;3,3000;142,8300;238;218;28323
Ex 3 day 1821;1;26;0,0168;2,6389;1,9760;3,7700;156,8500;252;173;28323
Ex 3 day 1821;1;27;0,0168;2,3701;1,9602;3,7700;140,8700;224;146;28323
Ex 3 day 1821;1;28;0,0168;2,1157;1,6990;5,1900;125,7500;199;192;28323
Ex 3 day 1821;1;29;0,0168;2,5153;1,9153;3,7700;149,5000;240;240;28323
Ex 3 day 1821;1;30;0,0168;2,3885;1,6849;4,2400;141,9600;206;205;28323
Ex 3 day 1821;1;31;0,0168;2,5575;2,1019;2,8300;152,0100;237;99;28323
Ex 3 day 1821;1;32;0,0168;2,5001;2,1395;2,8300;148,6000;339;158;28323
Ex 3 day 1821;1;33;0,0168;2,2402;1,9454;2,8300;133,1500;285;170;28323
Ex 3 day 1821;1;34;0,0168;1,8510;1,4491;2,8300;110,0200;263;103;28323
Ex 3 day 1821;1;35;0,0168;2,3217;1,9986;2,8300;137,9900;251;118;28323
Ex 3 day 1821;1;36;0,0168;1,7134;1,3736;2,8300;101,8400;254;93;28323
Ex 3 day 1821;1;37;0,0168;2,1204;1,6743;2,8300;126,0300;229;122;28323
Ex 3 day 1821;1;38;0,0168;2,1384;1,5505;3,3000;127,1000;236;149;28323
Ex 3 day 1821;1;39;0,0168;1,9421;1,4624;2,8300;115,4300;230;100;28323
Ex 3 day 1821;1;40;0,0168;2,1903;1,2834;5,6600;130,1800;297;170;28323
Ex 3 day 1821;2;41;0,0642;4,2004;3,6981;2,8300;65,4100;869;485;16155
Ex 3 day 1821;2;42;0,0642;4,1280;2,8356;3,3000;64,2900;915;494;16155
Ex 3 day 1821;2;43;0,0642;4,0475;2,9935;3,7700;63,0300;929;435;16155
Ex 3 day 1821;2;44;0,0642;4,0501;2,7775;3,3000;63,0700;877;447;16155
Ex 3 day 1821;2;45;0,0642;3,8361;3,4233;2,8300;59,7400;922;397;16155
Ex 3 day 1821;2;46;0,0642;3,7889;3,2873;2,8300;59,0000;843;417;16155
Ex 3 day 1821;2;47;0,0642;4,0878;2,8460;3,3000;63,6600;905;461;16155
Ex 3 day 1821;2;48;0,0642;3,7773;2,6592;3,3000;58,8200;872;504;16155
Ex 3 day 1821;2;49;0,0642;3,7185;3,2227;2,8300;57,9100;905;431;16155
Ex 3 day 1821;2;50;0,0642;3,4317;2,5145;3,7700;53,4400;860;452;16155
Ex 3 day 1821;2;51;0,0642;3,4804;2,4054;3,3000;54,2000;926;467;16155
Ex 3 day 1821;2;52;0,0642;3,6823;2,4954;3,3000;57,3400;938;422;16155
Ex 3 day 1821;2;53;0,0642;3,4875;2,3329;3,3000;54,3100;896;380;16155
