peak_id,global_x,global_y,intensity_mean,intensity_peak,foci_radius_pixels,foci_area_approx,cell_area
102,821,331,0.28,0.3153489,7.07,157.08,3636
103,571,388,0.42,0.47148117,7.07,157.08,4410
104,549,393,0.39,0.4378155,5.19,84.47,4410
105,561,409,0.48,0.48949787,7.07,157.08,4410
106,581,411,0.43,0.47309902,7.07,157.08,4410
107,585,429,0.32,0.32548353,7.07,157.08,4410
108,565,431,0.35,0.3527984,7.07,157.08,4410
109,572,412,0.49,0.5079367,3.3,34.21,4410
110,641,415,0.28,0.31111255,5.66,100.53,3925
111,658,413,0.26,0.27121747,3.3,34.21,3925
112,620,436,0.25,0.26092026,5.66,100.53,3925
113,50,447,0.32,0.34464785,3.3,34.21,4146
114,33,476,0.27,0.26915354,7.07,157.08,4146
115,34,447,0.28,0.2989645,2.83,25.13,4146
116,62,427,0.24,0.27520576,6.13,117.98,4146
117,1120,463,0.28,0.31021065,3.3,34.21,3963
118,1117,474,0.29,0.31890723,5.66,100.53,3963
119,1107,451,0.27,0.3137626,4.71,69.81,3963
120,1084,472,0.31,0.34320733,3.77,44.68,3963
121,1076,453,0.29,0.3000666,7.07,157.08,3963
122,1085,499,0.26,0.266217,7.07,157.08,3963
123,1104,495,0.29,0.28851286,7.07,157.08,3963
124,926,492,0.24,0.26224193,4.24,56.55,3294
125,661,511,0.4,0.4393822,3.77,44.68,8814
126,675,544,0.32,0.32519078,7.07,157.08,8814
127,636,546,0.36,0.36912927,7.07,157.08,8814
128,1242,528,0.26,0.28773227,3.3,34.21,3877
129,67,576,0.31,0.3555458,4.24,56.55,4248
130,82,566,0.4,0.43487433,3.3,34.21,4248
131,114,573,0.32,0.33491433,7.07,157.08,4248
132,87,550,0.36,0.38475713,3.3,34.21,4248
133,113,536,0.29,0.29588255,7.07,157.08,4248
134,1145,570,0.26,0.2787272,2.83,25.13,7414
135,1099,572,0.27,0.30378813,7.07,157.08,7414
136,1107,574,0.29,0.31703198,4.71,69.81,7414
137,265,635,0.42,0.45405108,4.24,56.55,13302
138,352,634,0.34,0.3866773,3.77,44.68,13302
139,329,713,0.35,0.3880582,3.77,44.68,13302
140,284,670,0.45,0.47809508,3.3,34.21,13302
141,315,684,0.45,0.47515982,4.71,69.81,13302
142,305,666,0.47,0.4939111,2.83,25.13,13302
143,318,595,0.29,0.32336304,4.71,69.81,13302
144,297,597,0.3,0.31698412,7.07,157.08,13302
145,334,691,0.39,0.4312051,5.66,100.53,13302
146,348,621,0.29,0.31766406,6.13,117.98,13302
147,338,663,0.43,0.48261085,7.07,157.08,13302
148,356,693,0.29,0.30816355,3.3,34.21,13302
149,313,654,0.47,0.49453384,4.71,69.81,13302
150,279,642,0.43,0.4570616,7.07,157.08,13302
151,300,636,0.45,0.47744504,2.83,25.13,13302
152,250,632,0.3,0.3247146,4.24,56.55,13302
153,356,657,0.33,0.35395896,4.71,69.81,13302
154,310,622,0.39,0.4192172,2.83,25.13,13302
155,345,708,0.28,0.3099243,6.13,117.98,13302
156,793,648,0.23,0.24824497,3.3,34.21,3455
157,1184,658,0.25,0.28237388,4.71,69.81,3841
158,1167,640,0.3,0.33074638,4.71,69.81,3841
159,1180,668,0.23,0.25215393,3.3,34.21,3841
160,0,676,0.22,0.26052678,2.83,25.13,3177
161,865,683,0.41,0.4634507,3.3,34.21,5098
162,877,691,0.32,0.3773529,3.77,44.68,5098
163,866,710,0.25,0.27808353,3.3,34.21,5098
164,855,686,0.31,0.33784804,2.83,25.13,5098
165,835,722,0.21,0.22919352,3.3,34.21,5098
166,630,687,0.43,0.4760252,7.07,157.08,4982
167,597,680,0.34,0.3761977,7.07,157.08,4982
168,638,671,0.34,0.3853877,7.07,157.08,4982
169,643,702,0.3,0.31374303,7.07,157.08,4982
170,451,691,0.27,0.3136845,7.07,157.08,5678
171,469,725,0.25,0.27766877,2.83,25.13,5678
172,471,690,0.28,0.30111247,3.3,34.21,5678
173,269,748,0.44,0.46967632,3.3,34.21,12425
174,252,747,0.43,0.4758256,6.13,117.98,12425
175,232,770,0.37,0.39426768,2.83,25.13,12425
176,236,772,0.36,0.37322876,4.71,69.81,12425
177,270,785,0.26,0.2950827,7.07,157.08,12425
178,223,750,0.37,0.38954383,7.07,157.08,12425
179,1124,776,0.26,0.27633542,3.3,34.21,5263
180,1098,773,0.22,0.24505328,2.83,25.13,5263
181,1111,774,0.25,0.27474812,4.24,56.55,5263
182,622,751,0.29,0.30925453,3.3,34.21,4675
183,1019,787,0.85,0.9999813,7.07,157.08,3437
184,992,776,0.45,0.53481954,7.07,157.08,3437
185,967,760,0.37,0.42397693,2.83,25.13,3437
186,997,810,0.32,0.3489805,5.66,100.53,3437
187,999,795,0.42,0.44397366,2.83,25.13,3437
188,973,801,0.31,0.32877025,7.07,157.08,3437
189,1221,851,0.38,0.4213851,3.3,34.21,3451
190,1231,816,0.26,0.2986952,2.83,25.13,3451
191,1261,832,0.21,0.23296836,2.83,25.13,3451
192,1206,847,0.26,0.28276345,3.3,34.21,3451
193,1232,838,0.28,0.29038742,3.3,34.21,3451
194,1230,852,0.31,0.33606815,2.83,25.13,3451
195,1248,857,0.23,0.22923568,7.07,157.08,3451
196,399,911,0.3,0.32315382,3.3,34.21,4283
197,431,926,0.32,0.3432384,3.3,34.21,4283
198,442,901,0.25,0.27095833,3.3,34.21,4283
199,407,903,0.27,0.33178738,7.07,157.08,4283
200,434,888,0.22,0.24488962,4.24,56.55,4283
201,418,883,0.24,0.25643477,3.77,44.68,4283
202,435,915,0.28,0.30775633,7.07,157.08,4283
203,420,923,0.3,0.323139,2.83,25.13,4283
204,390,930,0.24,0.27004924,2.83,25.13,4283
205,522,948,0.32,0.37313563,5.19,84.47,4095
206,1199,981,0.86,1.0,6.13,117.98,4778
207,1110,956,0.63,0.8721462,2.83,25.13,4778
208,1110,966,0.54,0.7759324,2.83,25.13,4778
209,1164,956,0.7,0.88623,2.83,25.13,4778
210,1180,965,0.58,0.7966405,2.83,25.13,4778
211,1111,950,0.53,0.79213214,2.83,25.13,4778
212,1148,967,0.77,0.91080725,3.3,34.21,4778
213,1124,953,0.55,0.79424983,2.83,25.13,4778
214,1171,965,0.61,0.8079025,2.83,25.13,4778
215,1156,966,0.7,0.90734756,2.83,25.13,4778
216,1147,956,0.64,0.85197866,2.83,25.13,4778
217,1115,967,0.5,0.75000435,2.83,25.13,4778
218,1163,966,0.61,0.83592945,2.83,25.13,4778
219,1126,967,0.51,0.75205135,2.83,25.13,4778
220,1133,961,0.58,0.80465555,2.83,25.13,4778
221,1133,956,0.59,0.8088784,2.83,25.13,4778
222,1116,949,0.43,0.67376745,2.83,25.13,4778
223,1156,956,0.63,0.82921326,2.83,25.13,4778
224,1130,967,0.52,0.75003445,2.83,25.13,4778
225,1132,965,0.56,0.7738624,2.83,25.13,4778
226,1130,950,0.54,0.7657896,2.83,25.13,4778
227,1117,957,0.54,0.7923684,2.83,25.13,4778
228,1121,961,0.56,0.38923022,5.19,84.47,4778
229,1175,957,0.52,0.36297128,7.07,157.08,4778
230,1156,993,0.31,0.3374444,2.83,25.13,4778
231,1139,934,0.25,0.26933303,7.07,157.08,4778
232,1041,981,0.98,1.0,3.77,44.68,150
233,1052,981,0.99,1.0,3.77,44.68,209
234,1067,981,0.99,1.0,3.77,44.68,209
235,1080,981,0.99,1.0,3.77,44.68,187
236,1092,981,0.99,1.0,3.77,44.68,308
237,1219,981,0.99,1.0,3.77,44.68,198
238,1202,981,0.99,1.0,3.77,44.68,198
239,1248,981,0.98,1.0,3.77,44.68,350
240,1239,981,0.99,1.0,3.77,44.68,350
241,1233,981,0.99,1.0,3.77,44.68,350
