ManualArea,TP_pixels,TP_%,FN_pixels,FN_%,FP_pixels,FP_%,ThresholdMethod,Bild
5282.0,5282,100.0,0.0,0.0,0.0,0.0,Triangle,1
5200.0,4405,84.71153846153847,795.0,15.28846153846154,0.0,0.0,Triangle,1
4443.0,3405,76.63740715732614,1038.0,23.36259284267387,0.0,0.0,Triangle,1
6840.0,6829,99.8391812865497,11.0,0.16081871345029242,0.0,0.0,Triangle,1
2493.0,2279,91.41596470116326,214.0,8.584035298836742,0.0,0.0,Triangle,1
5439.0,4937,90.77036219893363,502.0,9.229637801066373,0.0,0.0,Triangle,1
5798.0,5646,97.37840634701621,152.0,2.6215936529837873,0.0,0.0,Triangle,1
3751.0,3573,95.25459877366036,178.0,4.745401226339642,0.0,0.0,Triangle,1
6253.0,6226,99.56820726051495,27.0,0.4317927394850472,0.0,0.0,Triangle,1
6053.0,6053,100.0,0.0,0.0,0.0,0.0,Triangle,1
5141.0,4281,83.27173701614473,860.0,16.72826298385528,0.0,0.0,Triangle,1
2081.0,2025,97.30898606439212,56.0,2.691013935607881,0.0,0.0,Triangle,1
4425.0,4382,99.02824858757062,43.0,0.9717514124293786,0.0,0.0,Triangle,1
7406.0,7406,100.0,0.0,0.0,0.0,0.0,Triangle,1
4992.0,4603,92.20753205128204,389.0,7.792467948717949,0.0,0.0,Triangle,1
4283.0,4276,99.83656315666589,7.0,0.1634368433341116,0.0,0.0,Triangle,1
4444.0,4026,90.5940594059406,418.0,9.405940594059405,0.0,0.0,Triangle,1
5576.0,5575,99.98206599713056,1.0,0.01793400286944046,0.0,0.0,Triangle,1
5529.0,5514,99.72870320130222,15.0,0.27129679869777534,0.0,0.0,Triangle,1
3017.0,2834,93.93437189260855,183.0,6.065628107391449,0.0,0.0,Triangle,1
1317.0,1315,99.84813971146545,2.0,0.15186028853454822,0.0,0.0,Triangle,1
4828.0,4827,99.97928748964374,1.0,0.020712510356255178,0.0,0.0,Triangle,1
3062.0,3062,100.0,0.0,0.0,0.0,0.0,Triangle,1
5882.0,5879,99.9489969398164,3.0,0.05100306018361102,0.0,0.0,Triangle,1
7408.0,7048,95.14038876889849,360.0,4.859611231101512,0.0,0.0,Triangle,1
2617.0,2617,100.0,0.0,0.0,0.0,0.0,Triangle,1
2229.0,272,12.202781516375056,1957.0,87.79721848362495,0.0,0.0,Otsu,2
5687.0,4216,74.13398980130121,1471.0,25.866010198698785,0.0,0.0,Otsu,2
2786.0,831,29.827709978463744,1955.0,70.17229002153626,0.0,0.0,Otsu,2
3947.0,3089,78.26197111730428,858.0,21.73802888269572,0.0,0.0,Otsu,2
8817.0,7183,81.46761937166836,1634.0,18.532380628331634,0.0,0.0,Otsu,2
5938.0,1911,32.182553048164365,4027.0,67.81744695183563,0.0,0.0,Otsu,2
4661.0,2379,51.04054923836087,2282.0,48.95945076163913,0.0,0.0,Otsu,2
5206.0,3805,73.08874375720322,1401.0,26.91125624279677,0.0,0.0,Otsu,2
7227.0,5039,69.72464369724644,2188.0,30.275356302753565,0.0,0.0,Otsu,2
5287.0,4252,80.42368072630983,1035.0,19.576319273690185,0.0,0.0,Otsu,2
8533.0,7081,82.98371030118365,1452.0,17.016289698816358,0.0,0.0,Otsu,2
4492.0,3609,80.34283170080143,883.0,19.657168299198574,0.0,0.0,Otsu,2
9934.0,8158,82.12200523454801,1776.0,17.877994765451984,0.0,0.0,Otsu,2
4303.0,2836,65.90750639089008,1467.0,34.09249360910992,0.0,0.0,Otsu,2
3773.0,2934,77.76305327325736,839.0,22.236946726742644,0.0,0.0,Otsu,2
4430.0,2131,48.103837471783294,2299.0,51.896162528216706,0.0,0.0,Otsu,2
3942.0,3520,89.29477422628108,422.0,10.705225773718924,0.0,0.0,Otsu,2
4837.0,3920,81.04196816208393,917.0,18.958031837916064,0.0,0.0,Otsu,2
4670.0,3908,83.6830835117773,762.0,16.3169164882227,0.0,0.0,Otsu,2
7001.0,5442,77.73175260677047,1559.0,22.26824739322954,0.0,0.0,Otsu,2
4368.0,3243,74.2445054945055,1125.0,25.755494505494504,0.0,0.0,Otsu,2
