ManualArea,TP_pixels,TP_%,FN_pixels,FN_%,FP_pixels,FP_%,ThresholdMethod,ImageIndex
4757.0,4366,91.78053394996847,391.0,8.219466050031532,0.0,0.0,Triangle,1
3910.0,3405,87.0843989769821,505.0,12.915601023017903,0.0,0.0,Triangle,1
6262.0,6262,100.0,0.0,0.0,0.0,0.0,Triangle,1
2148.0,2148,100.0,0.0,0.0,0.0,0.0,Triangle,1
4816.0,4763,98.89950166112956,53.0,1.100498338870432,0.0,0.0,Triangle,1
5284.0,5284,100.0,0.0,0.0,0.0,0.0,Triangle,1
3316.0,3303,99.60796139927623,13.0,0.39203860072376356,0.0,0.0,Triangle,1
5795.0,5769,99.55133735979292,26.0,0.448662640207075,0.0,0.0,Triangle,1
5773.0,5773,100.0,0.0,0.0,0.0,0.0,Triangle,1
4059.0,4050,99.77827050997783,9.0,0.22172949002217296,0.0,0.0,Triangle,1
1941.0,1941,100.0,0.0,0.0,0.0,0.0,Triangle,1
4236.0,4231,99.8819641170916,5.0,0.11803588290840415,0.0,0.0,Triangle,1
6425.0,6425,100.0,0.0,0.0,0.0,0.0,Triangle,1
4168.0,4168,100.0,0.0,0.0,0.0,0.0,Triangle,1
2710.0,2710,100.0,0.0,0.0,0.0,0.0,Triangle,1
4939.0,4939,100.0,0.0,0.0,0.0,0.0,Triangle,1
3652.0,3645,99.80832420591457,7.0,0.19167579408543264,0.0,0.0,Triangle,1
5270.0,5270,100.0,0.0,0.0,0.0,0.0,Triangle,1
1017.0,1017,100.0,0.0,0.0,0.0,0.0,Triangle,1
2706.0,2703,99.88913525498891,3.0,0.11086474501108648,0.0,0.0,Triangle,1
899.0,899,100.0,0.0,0.0,0.0,0.0,Triangle,1
5028.0,4992,99.28400954653938,36.0,0.7159904534606205,0.0,0.0,Triangle,1
2350.0,2350,100.0,0.0,0.0,0.0,0.0,Triangle,1
5567.0,5563,99.92814801508891,4.0,0.07185198491108317,0.0,0.0,Triangle,1
6779.0,6774,99.92624280867385,5.0,0.0737571913261543,0.0,0.0,Triangle,1
2477.0,2477,100.0,0.0,0.0,0.0,0.0,Triangle,1
2115.0,295,13.947990543735225,1820.0,86.05200945626478,0.0,0.0,Otsu,2
5116.0,4274,83.54182955433933,842.0,16.458170445660674,0.0,0.0,Otsu,2
2486.0,831,33.4271922767498,1655.0,66.57280772325021,0.0,0.0,Otsu,2
4048.0,3111,76.85276679841897,937.0,23.147233201581027,0.0,0.0,Otsu,2
6029.0,1911,31.696798805772104,4118.0,68.30320119422791,0.0,0.0,Otsu,2
