experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1817,1,1,0.0889,3.9151,2.8415,3.77,44.03,210,38
Ex 3 day 1817,1,2,0.0889,3.5284,2.4972,3.3,39.68,182,17
Ex 3 day 1817,1,3,0.0889,3.8517,2.6487,3.77,43.31,258,50
Ex 3 day 1817,1,4,0.0889,3.6094,2.3947,3.3,40.59,228,19
Ex 3 day 1817,1,5,0.0889,3.4016,2.1272,4.24,38.25,258,29
Ex 3 day 1817,1,6,0.0889,3.5556,2.5771,2.83,39.98,290,6
Ex 3 day 1817,1,7,0.0889,2.6932,1.9187,4.24,30.29,280,17
Ex 3 day 1817,1,8,0.0889,3.0493,1.8597,3.3,34.29,248,0
Ex 3 day 1817,1,9,0.0889,2.0489,1.4152,3.3,23.04,262,0
Ex 3 day 1817,1,10,0.0889,2.4366,1.8618,3.77,27.4,239,11
Ex 3 day 1817,1,11,0.0889,1.8336,1.5346,3.77,20.62,246,23
Ex 3 day 1817,1,12,0.0889,2.2897,1.6184,3.3,25.75,192,39
Ex 3 day 1817,1,13,0.0889,2.311,1.8293,3.77,25.99,155,5
Ex 3 day 1817,1,14,0.0889,1.8201,1.5306,2.83,20.47,212,24
Ex 3 day 1817,1,15,0.0889,1.677,1.4745,3.77,18.86,241,48
Ex 3 day 1817,1,16,0.0889,2.203,1.927,2.83,24.77,283,41
Ex 3 day 1817,1,17,0.0889,2.0556,1.6759,2.83,23.12,272,31
Ex 3 day 1817,1,18,0.0889,2.2482,1.7968,2.83,25.28,274,0
Ex 3 day 1817,1,19,0.0889,1.8758,1.5066,3.77,21.09,293,26
Ex 3 day 1817,1,20,0.0889,1.8333,1.3481,3.3,20.62,197,25
Ex 3 day 1817,1,21,0.0889,1.9294,1.367,5.19,21.7,198,0
Ex 3 day 1817,1,22,0.0889,1.9515,1.3079,3.3,21.95,280,31
Ex 3 day 1817,1,23,0.0889,1.8195,1.4224,2.83,20.46,243,36
Ex 3 day 1817,1,24,0.0889,2.3206,1.6107,2.83,26.1,178,36
Ex 3 day 1817,1,25,0.0889,1.7464,1.3886,2.83,19.64,186,0
Ex 3 day 1817,2,26,-0.0077,4.3963,3.1945,3.77,-567.73,710,427
Ex 3 day 1817,2,27,-0.0077,4.1353,3.024,3.77,-534.03,859,397
Ex 3 day 1817,2,28,-0.0077,3.8582,2.8519,3.77,-498.24,780,492
Ex 3 day 1817,2,29,-0.0077,3.8694,2.4752,4.24,-499.69,853,440
Ex 3 day 1817,2,30,-0.0077,3.6153,2.7675,3.77,-466.88,788,465
Ex 3 day 1817,2,31,-0.0077,3.8365,2.583,3.3,-495.44,770,419
Ex 3 day 1817,2,32,-0.0077,3.146,2.0525,3.3,-406.26,782,357
Ex 3 day 1817,2,33,-0.0077,3.4714,2.6164,3.77,-448.29,802,373
Ex 3 day 1817,2,34,-0.0077,3.4491,2.3365,4.24,-445.41,795,483
Ex 3 day 1817,2,35,-0.0077,3.2824,2.3851,3.3,-423.88,814,473
Ex 3 day 1817,2,36,-0.0077,2.7743,1.9474,3.3,-358.27,861,468
Ex 3 day 1817,2,37,-0.0077,3.1729,2.1464,3.3,-409.74,734,438
Ex 3 day 1817,2,38,-0.0077,3.3938,2.278,3.3,-438.26,733,424
Ex 3 day 1817,2,39,-0.0077,3.2101,2.6391,2.83,-414.54,757,503
Ex 3 day 1817,2,40,-0.0077,3.6778,3.0972,2.83,-474.94,822,448
Ex 3 day 1817,2,41,-0.0077,3.2183,2.0497,4.24,-415.6,703,404
Ex 3 day 1817,2,42,-0.0077,3.118,2.0571,3.3,-402.65,775,471
Ex 3 day 1817,2,43,-0.0077,3.0416,2.4313,2.83,-392.79,794,521
Ex 3 day 1817,2,44,-0.0077,3.0664,2.3213,3.77,-395.99,825,473
Ex 3 day 1817,2,45,-0.0077,3.0622,2.2802,3.3,-395.44,749,455
Ex 3 day 1817,2,46,-0.0077,2.4692,1.7054,3.3,-318.86,781,380
Ex 3 day 1817,2,47,-0.0077,3.1911,1.9937,4.24,-412.1,753,387
Ex 3 day 1817,2,48,-0.0077,3.0333,2.2504,3.3,-391.72,819,389
Ex 3 day 1817,2,49,-0.0077,2.4826,1.7144,3.3,-320.6,812,445
Ex 3 day 1817,2,50,-0.0077,2.8155,2.4156,2.83,-363.59,799,400
Ex 3 day 1817,2,51,-0.0077,2.4531,1.8565,3.3,-316.78,856,492
Ex 3 day 1817,2,52,-0.0077,2.8723,2.3335,2.83,-370.93,720,482
Ex 3 day 1817,2,53,-0.0077,2.4425,1.3581,4.24,-315.43,800,450
Ex 3 day 1817,2,54,-0.0077,2.0026,1.7311,3.77,-258.61,845,390
Ex 3 day 1817,2,55,-0.0077,1.65,1.4791,4.71,-213.08,769,356
Ex 3 day 1817,2,56,-0.0077,2.144,1.3094,3.77,-276.87,790,423
Ex 3 day 1817,2,57,-0.0077,2.2164,2.04,2.83,-286.23,869,498
Ex 3 day 1817,2,58,-0.0077,2.0189,1.3516,3.77,-260.72,746,405
Ex 3 day 1817,2,59,-0.0077,2.1721,1.5979,3.3,-280.5,768,406
Ex 3 day 1817,2,60,-0.0077,2.5991,2.2505,2.83,-335.64,791,398
