experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1820,1,1,-0.0001,4.3844,3.1322,3.3,-33516.14,701,298
Ex 3 day 1820,1,2,-0.0001,4.201,3.0702,3.77,-32114.76,708,315
Ex 3 day 1820,1,3,-0.0001,3.7619,2.6718,3.77,-28757.76,768,241
Ex 3 day 1820,1,4,-0.0001,3.9239,3.0364,3.77,-29996.06,759,297
Ex 3 day 1820,1,5,-0.0001,3.648,2.6396,3.77,-27887.34,756,280
Ex 3 day 1820,1,6,-0.0001,3.9022,2.7622,3.77,-29829.94,772,260
Ex 3 day 1820,1,7,-0.0001,3.6629,2.6802,3.77,-28000.84,673,173
Ex 3 day 1820,1,8,-0.0001,4.0958,2.7852,3.3,-31309.94,700,161
Ex 3 day 1820,1,9,-0.0001,3.4352,2.2539,3.3,-26260.0,652,202
Ex 3 day 1820,1,10,-0.0001,3.8193,3.3459,2.83,-29196.46,652,173
Ex 3 day 1820,1,11,-0.0001,3.4303,2.3095,4.24,-26222.95,681,321
Ex 3 day 1820,1,12,-0.0001,3.5015,2.5445,3.3,-26767.4,685,204
Ex 3 day 1820,1,13,-0.0001,3.1025,2.4108,3.77,-23717.11,767,314
Ex 3 day 1820,1,14,-0.0001,2.8716,2.0762,4.71,-21952.25,693,270
Ex 3 day 1820,1,15,-0.0001,2.4599,2.134,2.83,-18804.87,664,203
Ex 3 day 1820,1,16,-0.0001,3.3542,2.411,3.77,-25640.96,734,315
Ex 3 day 1820,1,17,-0.0001,2.7481,1.8678,3.3,-21007.93,665,235
Ex 3 day 1820,1,18,-0.0001,2.8281,1.9792,3.3,-21619.11,750,262
Ex 3 day 1820,1,19,-0.0001,2.5794,1.8559,4.24,-19718.55,776,207
Ex 3 day 1820,1,20,-0.0001,2.8351,2.2234,2.83,-21672.92,701,185
Ex 3 day 1820,1,21,-0.0001,2.7901,1.7707,4.24,-21328.58,751,208
Ex 3 day 1820,1,22,-0.0001,2.471,1.8265,3.77,-18889.44,795,283
Ex 3 day 1820,1,23,-0.0001,2.8293,2.0047,3.77,-21628.64,742,304
Ex 3 day 1820,1,24,-0.0001,2.5429,2.1098,2.83,-19439.11,819,244
Ex 3 day 1820,1,25,-0.0001,2.502,1.8992,3.3,-19126.89,718,256
Ex 3 day 1820,1,26,-0.0001,2.3956,1.6611,3.3,-18312.81,715,291
Ex 3 day 1820,1,27,-0.0001,2.9588,2.0504,3.3,-22618.71,739,356
Ex 3 day 1820,1,28,-0.0001,2.8621,2.0893,3.3,-21879.49,695,218
Ex 3 day 1820,1,29,-0.0001,2.0772,1.6539,3.77,-15879.1,694,236
Ex 3 day 1820,1,30,-0.0001,2.9266,2.4054,2.83,-22372.09,757,268
Ex 3 day 1820,1,31,-0.0001,2.5236,1.8679,3.77,-19291.3,753,229
Ex 3 day 1820,1,32,-0.0001,2.8158,1.9977,3.77,-21525.02,745,330
Ex 3 day 1820,1,33,-0.0001,3.0388,2.3207,2.83,-23229.89,638,212
Ex 3 day 1820,1,34,-0.0001,2.7956,1.9344,3.3,-21371.02,720,350
Ex 3 day 1820,1,35,-0.0001,2.6001,1.9387,3.3,-19876.43,663,309
Ex 3 day 1820,1,36,-0.0001,2.4448,1.8306,3.77,-18689.03,879,253
Ex 3 day 1820,1,37,-0.0001,2.5032,1.7557,4.24,-19136.06,817,304
Ex 3 day 1820,1,38,-0.0001,3.0887,2.5299,2.83,-23611.37,645,186
Ex 3 day 1820,1,39,-0.0001,2.411,1.6386,4.24,-18430.55,799,249
Ex 3 day 1820,1,40,-0.0001,2.6405,1.8591,3.3,-20185.01,704,150
Ex 3 day 1820,1,41,-0.0001,2.7289,2.3808,2.83,-20861.0,659,150
Ex 3 day 1820,1,42,-0.0001,2.4033,2.1343,2.83,-18372.28,815,263
Ex 3 day 1820,1,43,-0.0001,2.6058,1.9176,3.77,-19920.05,671,279
Ex 3 day 1820,1,44,-0.0001,2.1482,1.6158,3.77,-16421.66,720,186
Ex 3 day 1820,1,45,-0.0001,2.5868,1.8217,3.77,-19774.56,786,260
Ex 3 day 1820,1,46,-0.0001,2.4799,1.7355,3.3,-18957.38,684,335
Ex 3 day 1820,1,47,-0.0001,2.3236,1.786,3.77,-17762.55,859,263
Ex 3 day 1820,1,48,-0.0001,2.3025,1.8993,2.83,-17601.26,626,288
Ex 3 day 1820,1,49,-0.0001,2.5359,1.6525,3.3,-19385.99,727,328
Ex 3 day 1820,1,50,-0.0001,2.1418,1.6286,2.83,-16373.23,635,329
Ex 3 day 1820,1,51,-0.0001,2.5234,1.7906,3.3,-19290.31,715,269
Ex 3 day 1820,1,52,-0.0001,2.3854,1.7866,3.3,-18235.15,849,279
Ex 3 day 1820,1,53,-0.0001,2.1878,1.6949,3.77,-16724.71,689,249
Ex 3 day 1820,1,54,-0.0001,2.2443,1.7715,3.77,-17156.71,862,284
Ex 3 day 1820,1,55,-0.0001,2.2427,1.8386,3.77,-17144.1,766,343
Ex 3 day 1820,1,56,-0.0001,2.2125,1.6819,2.83,-16913.18,849,344
Ex 3 day 1820,1,57,-0.0001,1.6115,1.2709,5.19,-12319.34,724,222
Ex 3 day 1820,1,58,-0.0001,2.5391,1.7287,3.3,-19409.75,842,262
Ex 3 day 1820,1,59,-0.0001,2.1493,1.6807,2.83,-16430.44,736,266
Ex 3 day 1820,1,60,-0.0001,1.9556,1.3074,3.3,-14949.56,730,247
Ex 3 day 1820,1,61,-0.0001,2.1226,1.7293,2.83,-16225.95,624,226
Ex 3 day 1820,1,62,-0.0001,2.107,1.4473,3.3,-16106.89,744,242
Ex 3 day 1820,1,63,-0.0001,2.3461,1.5379,4.71,-17935.1,723,241
Ex 3 day 1820,1,64,-0.0001,1.9241,1.4692,2.83,-14708.53,784,283
Ex 3 day 1820,1,65,-0.0001,2.031,1.55,3.77,-15526.19,845,246
Ex 3 day 1820,1,66,-0.0001,1.8965,1.5179,3.77,-14497.8,805,292
