Total Cells: 7
Total Foci: 229

Head (first 20 rows):
   experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 1813        1        1               0.0438               4.3221                    3.0182         3.30                 98.58     805     170
Ex 3 day 1813        1        2               0.0438               4.1641                    2.8633         3.30                 94.98     830     166
Ex 3 day 1813        1        3               0.0438               3.5494                    2.7439         3.77                 80.95     849     152
Ex 3 day 1813        1        4               0.0438               3.7276                    2.7714         3.77                 85.02     833     206
Ex 3 day 1813        1        5               0.0438               3.8406                    2.7756         3.77                 87.60     856     186
Ex 3 day 1813        1        6               0.0438               3.5558                    2.4804         3.30                 81.10     800     207
Ex 3 day 1813        1        7               0.0438               3.4473                    2.4643         3.30                 78.63     813     188
Ex 3 day 1813        1        8               0.0438               3.2697                    2.6450         3.77                 74.58     826     182
Ex 3 day 1813        1        9               0.0438               3.7368                    2.7466         3.30                 85.23     811     132
Ex 3 day 1813        1       10               0.0438               3.3810                    2.2812         3.30                 77.11     809     119
Ex 3 day 1813        1       11               0.0438               3.3919                    2.6102         3.77                 77.36     818     213
Ex 3 day 1813        1       12               0.0438               2.9030                    2.1382         3.30                 66.21     796     150
Ex 3 day 1813        1       13               0.0438               3.1885                    2.3499         3.77                 72.72     844     111
Ex 3 day 1813        1       14               0.0438               2.6714                    1.9453         3.77                 60.93     858     172
Ex 3 day 1813        1       15               0.0438               2.3321                    1.6636         3.30                 53.19     840     138
Ex 3 day 1813        1       16               0.0438               2.6725                    1.9758         3.30                 60.95     874     157
Ex 3 day 1813        1       17               0.0438               2.4141                    1.7130         3.30                 55.06     877     145
Ex 3 day 1813        1       18               0.0438               1.8178                    1.2078         4.24                 41.46     833     225
Ex 3 day 1813        1       19               0.0438               1.9845                    1.4721         3.30                 45.26     806     194
Ex 3 day 1813        1       20               0.0438               2.0074                    1.7438         2.83                 45.78     849     126
