experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1813,1,1,0.0438,4.3221,3.0182,3.3,98.58,805,170
Ex 3 day 1813,1,2,0.0438,4.1641,2.8633,3.3,94.98,830,166
Ex 3 day 1813,1,3,0.0438,3.5494,2.7439,3.77,80.95,849,152
Ex 3 day 1813,1,4,0.0438,3.7276,2.7714,3.77,85.02,833,206
Ex 3 day 1813,1,5,0.0438,3.8406,2.7756,3.77,87.6,856,186
Ex 3 day 1813,1,6,0.0438,3.5558,2.4804,3.3,81.1,800,207
Ex 3 day 1813,1,7,0.0438,3.4473,2.4643,3.3,78.63,813,188
Ex 3 day 1813,1,8,0.0438,3.2697,2.645,3.77,74.58,826,182
Ex 3 day 1813,1,9,0.0438,3.7368,2.7466,3.3,85.23,811,132
Ex 3 day 1813,1,10,0.0438,3.381,2.2812,3.3,77.11,809,119
Ex 3 day 1813,1,11,0.0438,3.3919,2.6102,3.77,77.36,818,213
Ex 3 day 1813,1,12,0.0438,2.903,2.1382,3.3,66.21,796,150
Ex 3 day 1813,1,13,0.0438,3.1885,2.3499,3.77,72.72,844,111
Ex 3 day 1813,1,14,0.0438,2.6714,1.9453,3.77,60.93,858,172
Ex 3 day 1813,1,15,0.0438,2.3321,1.6636,3.3,53.19,840,138
Ex 3 day 1813,1,16,0.0438,2.6725,1.9758,3.3,60.95,874,157
Ex 3 day 1813,1,17,0.0438,2.4141,1.713,3.3,55.06,877,145
Ex 3 day 1813,1,18,0.0438,1.8178,1.2078,4.24,41.46,833,225
Ex 3 day 1813,1,19,0.0438,1.9845,1.4721,3.3,45.26,806,194
Ex 3 day 1813,1,20,0.0438,2.0074,1.7438,2.83,45.78,849,126
Ex 3 day 1813,1,21,0.0438,2.3354,1.6999,3.3,53.27,870,195
Ex 3 day 1813,1,22,0.0438,1.8829,1.1599,3.3,42.94,819,157
Ex 3 day 1813,1,23,0.0438,2.1142,1.7965,2.83,48.22,862,206
Ex 3 day 1813,1,24,0.0438,1.7003,1.3199,4.71,38.78,792,178
Ex 3 day 1813,1,25,0.0438,1.7777,1.2503,3.3,40.55,799,159
Ex 3 day 1813,1,26,0.0438,1.9481,1.5226,3.77,44.43,780,154
Ex 3 day 1813,2,27,0.0307,4.4589,3.2308,3.77,145.43,288,296
Ex 3 day 1813,2,28,0.0307,4.0602,3.0838,3.77,132.42,350,232
Ex 3 day 1813,2,29,0.0307,3.8406,2.9235,3.77,125.26,256,272
Ex 3 day 1813,2,30,0.0307,3.9824,2.9654,3.77,129.89,322,272
Ex 3 day 1813,2,31,0.0307,3.8203,2.8032,3.3,124.6,302,245
Ex 3 day 1813,2,32,0.0307,3.9251,2.9837,3.77,128.01,297,195
Ex 3 day 1813,2,33,0.0307,3.8535,2.6786,3.3,125.68,324,285
Ex 3 day 1813,2,34,0.0307,3.9184,2.7989,3.3,127.8,289,226
Ex 3 day 1813,2,35,0.0307,3.5792,2.4626,3.3,116.73,238,235
Ex 3 day 1813,2,36,0.0307,3.8842,2.8572,3.3,126.68,302,310
Ex 3 day 1813,2,37,0.0307,3.5508,2.6681,3.77,115.81,209,209
Ex 3 day 1813,2,38,0.0307,3.8072,2.784,3.77,124.17,224,225
Ex 3 day 1813,2,39,0.0307,3.5008,2.7431,3.77,114.18,260,288
Ex 3 day 1813,2,40,0.0307,3.4887,2.591,3.77,113.78,295,162
Ex 3 day 1813,2,41,0.0307,3.1607,2.3494,3.77,103.09,205,283
Ex 3 day 1813,2,42,0.0307,2.9688,2.3299,3.77,96.83,260,244
Ex 3 day 1813,2,43,0.0307,3.0288,2.211,3.77,98.78,322,218
Ex 3 day 1813,2,44,0.0307,3.3518,2.1456,4.24,109.32,299,264
Ex 3 day 1813,2,45,0.0307,3.3547,2.5151,3.3,109.41,272,241
Ex 3 day 1813,2,46,0.0307,3.2746,2.1814,4.24,106.8,252,224
Ex 3 day 1813,2,47,0.0307,3.172,2.4448,3.77,103.45,227,204
Ex 3 day 1813,2,48,0.0307,2.7596,1.9603,4.71,90.01,216,273
Ex 3 day 1813,2,49,0.0307,3.013,2.2567,3.77,98.27,228,259
Ex 3 day 1813,2,50,0.0307,2.6685,1.7699,4.24,87.03,331,207
Ex 3 day 1813,2,51,0.0307,2.8234,2.1196,3.3,92.09,226,297
Ex 3 day 1813,2,52,0.0307,2.7334,1.8573,3.3,89.15,279,184
Ex 3 day 1813,2,53,0.0307,2.3796,1.8601,3.77,77.61,324,300
Ex 3 day 1813,2,54,0.0307,2.3668,1.9102,3.77,77.19,210,247
Ex 3 day 1813,2,55,0.0307,2.334,1.8876,2.83,76.12,279,281
Ex 3 day 1813,2,56,0.0307,2.4163,1.8961,3.77,78.81,348,196
Ex 3 day 1813,2,57,0.0307,2.4868,1.7884,3.3,81.1,217,292
Ex 3 day 1813,2,58,0.0307,2.0665,1.8556,2.83,67.4,323,232
Ex 3 day 1813,2,59,0.0307,2.2718,1.4934,3.3,74.09,255,257
Ex 3 day 1813,2,60,0.0307,2.1119,1.5086,3.3,68.88,273,172
Ex 3 day 1813,2,61,0.0307,1.9969,1.431,2.83,65.13,273,260
Ex 3 day 1813,2,62,0.0307,2.2978,1.4604,3.3,74.94,348,262
Ex 3 day 1813,2,63,0.0307,1.5591,0.9837,3.3,50.85,292,177
Ex 3 day 1813,2,64,0.0307,2.1847,1.7527,2.83,71.25,339,188
Ex 3 day 1813,2,65,0.0307,1.5712,1.2039,4.24,51.24,318,173
Ex 3 day 1813,2,66,0.0307,1.5781,1.2345,2.83,51.47,339,267
Ex 3 day 1813,2,67,0.0307,1.3836,1.1979,3.77,45.13,321,184
Ex 3 day 1813,2,68,0.0307,1.8676,1.3056,2.83,60.91,239,182
Ex 3 day 1813,3,69,0.0371,3.8314,2.402,4.24,103.39,665,368
Ex 3 day 1813,3,70,0.0371,3.7061,2.7446,3.3,100.01,673,385
Ex 3 day 1813,3,71,0.0371,3.346,2.4685,4.24,90.29,700,397
Ex 3 day 1813,3,72,0.0371,3.6558,2.884,3.77,98.65,694,371
Ex 3 day 1813,3,73,0.0371,3.6498,2.7614,3.77,98.49,644,337
Ex 3 day 1813,3,74,0.0371,3.8499,2.8114,3.3,103.89,685,432
Ex 3 day 1813,3,75,0.0371,3.7219,2.7853,3.77,100.43,728,416
Ex 3 day 1813,3,76,0.0371,3.4237,2.4342,3.3,92.39,686,404
Ex 3 day 1813,3,77,0.0371,3.1088,2.4274,3.77,83.89,713,384
Ex 3 day 1813,3,78,0.0371,2.8489,2.1874,3.77,76.88,709,417
Ex 3 day 1813,3,79,0.0371,2.8914,2.1771,3.77,78.02,617,397
Ex 3 day 1813,3,80,0.0371,3.0005,2.2854,3.77,80.97,664,353
Ex 3 day 1813,3,81,0.0371,2.6525,1.9806,3.77,71.58,698,358
Ex 3 day 1813,3,82,0.0371,2.6127,1.9193,3.3,70.5,641,360
Ex 3 day 1813,3,83,0.0371,2.6634,1.8526,3.3,71.87,649,397
Ex 3 day 1813,3,84,0.0371,2.5168,1.7122,4.24,67.91,612,371
Ex 3 day 1813,3,85,0.0371,2.1824,1.1802,6.6,58.89,770,432
Ex 3 day 1813,3,86,0.0371,2.2512,1.3115,4.24,60.75,762,392
Ex 3 day 1813,3,87,0.0371,2.1413,1.4706,3.3,57.78,676,407
Ex 3 day 1813,3,88,0.0371,1.9176,1.3653,3.3,51.75,633,346
Ex 3 day 1813,3,89,0.0371,2.0354,1.3028,4.71,54.92,744,392
Ex 3 day 1813,3,90,0.0371,1.8348,1.3165,3.77,49.51,709,371
Ex 3 day 1813,4,91,0.0143,3.9977,3.0357,3.77,279.41,970,435
Ex 3 day 1813,4,92,0.0143,3.991,2.9285,3.77,278.94,1036,403
