experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1819,2,75,0.0105,2.3761,1.8111,2.83,227.36,403,228
Ex 3 day 1819,2,76,0.0105,2.627,2.2153,2.83,251.36,441,165
Ex 3 day 1819,2,77,0.0105,2.2827,1.5284,2.83,218.42,358,237
Ex 3 day 1819,2,78,0.0105,2.6613,1.7279,2.83,254.64,496,174
Ex 3 day 1819,2,79,0.0105,2.7887,2.2475,2.83,266.83,412,104
Ex 3 day 1819,2,80,0.0105,2.4853,1.973,2.83,237.8,532,169
Ex 3 day 1819,2,81,0.0105,2.4537,1.5112,3.3,234.77,369,125
Ex 3 day 1819,2,82,0.0105,1.8743,1.5161,2.83,179.34,510,201
Ex 3 day 1819,2,83,0.0105,2.2832,1.6064,2.83,218.46,433,178
Ex 3 day 1819,2,84,0.0105,2.1085,1.5119,3.3,201.75,471,153
Ex 3 day 1819,2,85,0.0105,1.9021,1.1637,3.3,182.0,360,218
Ex 3 day 1819,2,86,0.0105,1.8946,1.5008,2.83,181.28,481,103
Ex 3 day 1819,2,87,0.0105,1.9691,1.6343,2.83,188.41,392,97
Ex 3 day 1819,2,88,0.0105,1.8276,1.1252,4.24,174.87,519,155
Ex 3 day 1819,2,89,0.0105,2.3825,1.9106,2.83,227.96,441,204
Ex 3 day 1819,2,90,0.0105,1.9676,1.4691,3.77,188.26,424,252
Ex 3 day 1819,2,91,0.0105,1.3784,1.1624,4.24,131.89,379,167
Ex 3 day 1819,2,92,0.0105,1.9431,1.5802,2.83,185.92,506,171
Ex 3 day 1819,2,93,0.0105,2.054,1.666,2.83,196.53,391,151
Ex 3 day 1819,2,94,0.0105,2.1146,1.6543,2.83,202.33,470,52
Ex 3 day 1819,2,95,0.0105,1.6881,1.0681,3.3,161.52,498,163
Ex 3 day 1819,2,96,0.0105,1.5911,1.3087,3.3,152.24,374,136
Ex 3 day 1819,2,97,0.0105,1.8043,1.4777,2.83,172.64,546,165
Ex 3 day 1819,2,98,0.0105,1.6978,1.1984,4.24,162.45,499,88
Ex 3 day 1819,2,99,0.0105,1.6875,1.3178,2.83,161.47,396,140
Ex 3 day 1819,2,100,0.0105,1.8695,1.2988,3.77,178.87,392,120
