experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 18;1;1;0,1044;3,9280;2,7883;3,3000;37,6100;372;108;4202
Ex 3 day 18;1;2;0,1044;3,5481;3,1046;2,8300;33,9700;377;130;4202
Ex 3 day 18;1;3;0,1044;3,0395;2,1292;3,3000;29,1000;391;126;4202
Ex 3 day 18;1;4;0,1044;2,3864;1,7446;4,2400;22,8500;363;132;4202
Ex 3 day 18;1;5;0,1044;2,4419;2,1811;2,8300;23,3800;319;107;4202
Ex 3 day 18;1;6;0,1044;2,1556;1,4972;3,7700;20,6400;352;107;4202
Ex 3 day 18;2;7;0,1227;4,0192;3,4302;2,8300;32,7500;370;150;4809
Ex 3 day 18;2;8;0,1227;3,8987;3,1961;2,8300;31,7700;328;170;4809
Ex 3 day 18;2;9;0,1227;3,8082;2,6868;3,3000;31,0300;319;186;4809
Ex 3 day 18;2;10;0,1227;3,8703;2,6061;3,3000;31,5400;359;196;4809
Ex 3 day 18;2;11;0,1227;3,1646;2,5650;2,8300;25,7900;338;144;4809
Ex 3 day 18;2;12;0,1227;3,4514;2,3514;3,3000;28,1200;324;146;4809
Ex 3 day 18;2;13;0,1227;3,1429;2,6074;2,8300;25,6100;380;164;4809
Ex 3 day 18;2;14;0,1227;3,1699;2,2198;3,3000;25,8300;354;211;4809
Ex 3 day 18;2;15;0,1227;2,8945;2,0466;3,3000;23,5900;365;170;4809
Ex 3 day 18;2;16;0,1227;2,4952;1,7761;3,3000;20,3300;358;144;4809
Ex 3 day 18;2;17;0,1227;1,9545;1,4319;3,7700;15,9300;349;185;4809
Ex 3 day 18;2;18;0,1227;2,5879;1,8047;3,3000;21,0900;335;190;4809
Ex 3 day 18;2;19;0,1227;2,1083;1,3864;3,3000;17,1800;357;162;4809
Ex 3 day 18;2;20;0,1227;2,5841;2,1239;2,8300;21,0600;373;166;4809
Ex 3 day 18;2;21;0,1227;2,2107;1,9258;2,8300;18,0100;375;145;4809
Ex 3 day 18;2;22;0,1227;1,7987;1,2150;3,3000;14,6600;340;167;4809
Ex 3 day 18;3;23;-0,0283;2,9658;2,4108;3,7700;-104,9700;1011;207;11449
Ex 3 day 18;3;24;-0,0283;2,5003;1,9139;3,7700;-88,4900;1016;241;11449
Ex 3 day 18;3;25;-0,0283;3,2840;2,1088;4,2400;-116,2300;982;242;11449
Ex 3 day 18;3;26;-0,0283;3,1169;2,5798;2,8300;-110,3100;1021;268;11449
Ex 3 day 18;3;27;-0,0283;2,4266;1,6410;3,3000;-85,8800;998;233;11449
Ex 3 day 18;3;28;-0,0283;3,2249;2,3408;3,3000;-114,1300;1030;223;11449
Ex 3 day 18;3;29;-0,0283;2,5784;1,8750;2,8300;-91,2600;1008;304;11449
Ex 3 day 18;3;30;-0,0283;2,5486;2,1584;2,8300;-90,2000;1036;279;11449
Ex 3 day 18;3;31;-0,0283;2,1897;1,8185;2,8300;-77,5000;1039;236;11449
Ex 3 day 18;3;32;-0,0283;2,3116;1,7216;2,8300;-81,8100;1015;305;11449
Ex 3 day 18;3;33;-0,0283;2,2174;1,5841;3,7700;-78,4800;1021;254;11449
Ex 3 day 18;3;34;-0,0283;2,6183;1,6839;3,3000;-92,6700;1042;262;11449
Ex 3 day 18;3;35;-0,0283;2,2420;1,5127;2,8300;-79,3500;1054;290;11449
Ex 3 day 18;3;36;-0,0283;1,9234;1,3400;3,3000;-68,0700;1035;266;11449
Ex 3 day 18;3;37;-0,0283;2,2433;1,5113;2,8300;-79,4000;961;262;11449
Ex 3 day 18;3;38;-0,0283;2,0973;1,4271;3,3000;-74,2300;1004;219;11449
Ex 3 day 18;3;39;-0,0283;2,0991;1,5478;2,8300;-74,2900;1039;298;11449
Ex 3 day 18;3;40;-0,0283;2,1537;1,7372;2,8300;-76,2200;1039;301;11449
Ex 3 day 18;3;41;-0,0283;1,7928;1,2227;3,3000;-63,4500;1021;226;11449
Ex 3 day 18;3;42;-0,0283;1,8322;1,4438;2,8300;-64,8500;1002;308;11449
Ex 3 day 18;3;43;-0,0283;1,9872;1,4136;3,3000;-70,3300;1054;253;11449
Ex 3 day 18;3;44;-0,0283;1,6700;1,2780;3,7700;-59,1000;1024;197;11449
Ex 3 day 18;3;45;-0,0283;2,0061;1,3948;5,1900;-71,0000;1007;269;11449
Ex 3 day 18;4;46;0,0214;4,6151;3,1523;3,3000;216,1400;1296;391;22522
Ex 3 day 18;4;47;0,0214;4,2754;3,1348;3,7700;200,2300;1269;408;22522
Ex 3 day 18;4;48;0,0214;4,2510;3,0289;3,3000;199,0900;1233;422;22522
Ex 3 day 18;4;49;0,0214;3,8635;3,0108;3,7700;180,9400;1305;360;22522
Ex 3 day 18;4;50;0,0214;3,7735;2,9498;3,7700;176,7200;1181;433;22522
Ex 3 day 18;4;51;0,0214;3,9882;2,8234;3,3000;186,7800;1244;327;22522
Ex 3 day 18;4;52;0,0214;3,6189;2,3934;3,3000;169,4800;1298;403;22522
Ex 3 day 18;4;53;0,0214;3,4132;2,3657;3,3000;159,8500;1274;381;22522
Ex 3 day 18;4;54;0,0214;3,6585;2,7159;3,7700;171,3400;1191;328;22522
Ex 3 day 18;4;55;0,0214;3,4376;2,4482;3,7700;161,0000;1196;345;22522
Ex 3 day 18;4;56;0,0214;3,2712;2,4236;3,3000;153,2000;1253;465;22522
Ex 3 day 18;4;57;0,0214;2,4492;1,7174;3,3000;114,7000;1224;394;22522
Ex 3 day 18;4;58;0,0214;2,8578;2,0887;4,7100;133,8400;1214;451;22522
Ex 3 day 18;4;59;0,0214;2,6970;1,6789;3,3000;126,3100;1259;452;22522
Ex 3 day 18;4;60;0,0214;2,7241;1,6129;4,2400;127,5800;1259;349;22522
Ex 3 day 18;4;61;0,0214;2,9071;2,3862;2,8300;136,1500;1227;350;22522
Ex 3 day 18;4;62;0,0214;2,9121;2,0610;3,3000;136,3800;1270;437;22522
Ex 3 day 18;4;63;0,0214;2,6742;2,2036;2,8300;125,2400;1292;373;22522
Ex 3 day 18;4;64;0,0214;3,0358;2,1387;3,3000;142,1800;1241;396;22522
Ex 3 day 18;4;65;0,0214;2,3358;1,7378;4,2400;109,3900;1247;370;22522
Ex 3 day 18;4;66;0,0214;2,1979;1,7195;2,8300;102,9300;1213;395;22522
Ex 3 day 18;4;67;0,0214;2,4241;1,9180;3,7700;113,5300;1235;369;22522
Ex 3 day 18;4;68;0,0214;1,8483;1,6076;3,7700;86,5600;1214;420;22522
Ex 3 day 18;4;69;0,0214;1,9762;1,5876;4,7100;92,5500;1190;392;22522
Ex 3 day 18;4;70;0,0214;1,6310;1,2055;2,8300;76,3800;1184;414;22522
Ex 3 day 18;4;71;0,0214;2,4486;2,0279;2,8300;114,6800;1272;470;22522
Ex 3 day 18;4;72;0,0214;2,0493;1,7428;2,8300;95,9700;1214;372;22522
Ex 3 day 18;4;73;0,0214;2,2107;1,7895;2,8300;103,5400;1213;383;22522
Ex 3 day 18;4;74;0,0214;2,2991;2,0125;2,8300;107,6700;1209;381;22522
Ex 3 day 18;4;75;0,0214;1,9619;1,4194;3,3000;91,8800;1202;396;22522
Ex 3 day 18;4;76;0,0214;2,3906;1,7364;2,8300;111,9600;1192;448;22522
Ex 3 day 18;4;77;0,0214;2,1775;1,7874;2,8300;101,9800;1155;441;22522
Ex 3 day 18;4;78;0,0214;1,4600;1,0423;5,1900;68,3800;1200;415;22522
Ex 3 day 18;4;79;0,0214;1,8323;1,4714;2,8300;85,8100;1208;415;22522
Ex 3 day 18;4;80;0,0214;2,0489;1,6938;2,8300;95,9500;1172;413;22522
Ex 3 day 18;4;81;0,0214;2,0005;1,6336;2,8300;93,6900;1215;406;22522
Ex 3 day 18;4;82;0,0214;2,0650;1,5150;3,3000;96,7100;1264;438;22522
Ex 3 day 18;4;83;0,0214;1,8798;1,2914;3,7700;88,0400;1252;411;22522
Ex 3 day 18;4;84;0,0214;1,9416;1,5227;2,8300;90,9300;1230;338;22522
Ex 3 day 18;4;85;0,0214;1,6362;1,3562;2,8300;76,6300;1199;448;22522
Ex 3 day 18;4;86;0,0214;1,4678;1,1674;2,8300;68,7400;1200;357;22522
Ex 3 day 18;4;87;0,0214;2,1332;1,7493;2,8300;99,9000;1211;430;22522
Ex 3 day 18;4;88;0,0214;1,2898;1,0373;3,7700;60,4000;1268;334;22522
Ex 3 day 18;4;89;0,0214;1,7436;1,1896;4,2400;81,6600;1295;441;22522
Ex 3 day 18;5;90;-0,0111;4,6351;3,2047;3,3000;-416,6100;370;609;32604
