 ,Area,Mean,Min,Max
1,1.667E-4,255,255,255
2,4.111E-4,255,255,255
3,1.111E-5,255,255,255
4,8.889E-5,255,255,255
5,0.001,255,255,255
6,3.556E-4,255,255,255
7,1.111E-5,255,255,255
8,3.333E-5,255,255,255
9,6.000E-4,255,255,255
10,2.222E-5,255,255,255
11,0.001,255,255,255
12,2.222E-5,255,255,255
13,1.000E-4,255,255,255
14,1.111E-5,255,255,255
15,1.111E-5,255,255,255
16,1.444E-4,255,255,255
17,2.111E-4,255,255,255
18,2.111E-4,255,255,255
19,3.556E-4,255,255,255
20,2.222E-5,255,255,255
21,2.222E-5,255,255,255
22,1.778E-4,255,255,255
23,2.222E-5,255,255,255
24,7.778E-5,255,255,255
25,6.667E-5,255,255,255
26,1.111E-5,255,255,255
27,2.111E-4,255,255,255
28,2.222E-5,255,255,255
29,3.222E-4,255,255,255
30,1.667E-4,255,255,255
31,1.111E-5,255,255,255
32,2.222E-5,255,255,255
33,4.111E-4,255,255,255
34,1.111E-5,255,255,255
35,4.111E-4,255,255,255
36,4.778E-4,255,255,255
37,7.778E-5,255,255,255
38,5.556E-5,255,255,255
39,1.111E-5,255,255,255
40,1.111E-5,255,255,255
41,1.111E-5,255,255,255
42,6.667E-5,255,255,255
43,4.444E-5,255,255,255
44,3.333E-5,255,255,255
45,3.333E-5,255,255,255
46,1.000E-4,255,255,255
47,1.111E-5,255,255,255
48,1.111E-5,255,255,255
49,4.889E-4,255,255,255
50,7.556E-4,255,255,255
51,1.111E-5,255,255,255
52,2.222E-5,255,255,255
53,1.667E-4,255,255,255
54,1.111E-5,255,255,255
55,1.556E-4,255,255,255
56,4.444E-5,255,255,255
57,6.667E-5,255,255,255
58,3.333E-5,255,255,255
59,5.556E-5,255,255,255
60,1.111E-5,255,255,255
61,1.111E-5,255,255,255
62,3.333E-5,255,255,255
63,1.111E-5,255,255,255
64,7.778E-5,255,255,255
65,1.222E-4,255,255,255
66,0.001,255,255,255
67,3.778E-4,255,255,255
68,4.444E-5,255,255,255
69,1.111E-5,255,255,255
70,6.667E-5,255,255,255
71,1.111E-5,255,255,255
72,4.444E-5,255,255,255
73,3.333E-5,255,255,255
74,1.111E-5,255,255,255
75,3.333E-5,255,255,255
76,4.444E-5,255,255,255
77,4.444E-5,255,255,255
78,1.111E-5,255,255,255
79,1.111E-5,255,255,255
80,5.556E-5,255,255,255
81,1.111E-5,255,255,255
82,3.333E-5,255,255,255
83,3.333E-5,255,255,255
84,5.556E-5,255,255,255
85,1.111E-5,255,255,255
86,0.001,255,255,255
87,1.111E-5,255,255,255
88,2.222E-5,255,255,255
89,2.222E-5,255,255,255
90,1.111E-5,255,255,255
91,4.444E-5,255,255,255
