experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y,cell_area
Ex 3 day 18,1,1,0.1044,3.928,2.7883,3.3,37.61,372,108,4202
Ex 3 day 18,1,2,0.1044,3.5481,3.1046,2.83,33.97,377,130,4202
Ex 3 day 18,1,3,0.1044,3.0395,2.1292,3.3,29.1,391,126,4202
Ex 3 day 18,1,4,0.1044,2.3864,1.7446,4.24,22.85,363,132,4202
Ex 3 day 18,1,5,0.1044,2.4419,2.1811,2.83,23.38,319,107,4202
Ex 3 day 18,1,6,0.1044,2.1556,1.4972,3.77,20.64,352,107,4202
Ex 3 day 18,2,7,0.1227,4.0192,3.4302,2.83,32.75,370,150,4809
Ex 3 day 18,2,8,0.1227,3.8987,3.1961,2.83,31.77,328,170,4809
Ex 3 day 18,2,9,0.1227,3.8082,2.6868,3.3,31.03,319,186,4809
Ex 3 day 18,2,10,0.1227,3.8703,2.6061,3.3,31.54,359,196,4809
Ex 3 day 18,2,11,0.1227,3.1646,2.565,2.83,25.79,338,144,4809
Ex 3 day 18,2,12,0.1227,3.4514,2.3514,3.3,28.12,324,146,4809
Ex 3 day 18,2,13,0.1227,3.1429,2.6074,2.83,25.61,380,164,4809
Ex 3 day 18,2,14,0.1227,3.1699,2.2198,3.3,25.83,354,211,4809
Ex 3 day 18,2,15,0.1227,2.8945,2.0466,3.3,23.59,365,170,4809
Ex 3 day 18,2,16,0.1227,2.4952,1.7761,3.3,20.33,358,144,4809
Ex 3 day 18,2,17,0.1227,1.9545,1.4319,3.77,15.93,349,185,4809
Ex 3 day 18,2,18,0.1227,2.5879,1.8047,3.3,21.09,335,190,4809
Ex 3 day 18,2,19,0.1227,2.1083,1.3864,3.3,17.18,357,162,4809
Ex 3 day 18,2,20,0.1227,2.5841,2.1239,2.83,21.06,373,166,4809
Ex 3 day 18,2,21,0.1227,2.2107,1.9258,2.83,18.01,375,145,4809
Ex 3 day 18,2,22,0.1227,1.7987,1.215,3.3,14.66,340,167,4809
Ex 3 day 18,3,23,-0.0283,2.9658,2.4108,3.77,-104.97,1011,207,11449
Ex 3 day 18,3,24,-0.0283,2.5003,1.9139,3.77,-88.49,1016,241,11449
Ex 3 day 18,3,25,-0.0283,3.284,2.1088,4.24,-116.23,982,242,11449
Ex 3 day 18,3,26,-0.0283,3.1169,2.5798,2.83,-110.31,1021,268,11449
Ex 3 day 18,3,27,-0.0283,2.4266,1.641,3.3,-85.88,998,233,11449
Ex 3 day 18,3,28,-0.0283,3.2249,2.3408,3.3,-114.13,1030,223,11449
Ex 3 day 18,3,29,-0.0283,2.5784,1.875,2.83,-91.26,1008,304,11449
Ex 3 day 18,3,30,-0.0283,2.5486,2.1584,2.83,-90.2,1036,279,11449
Ex 3 day 18,3,31,-0.0283,2.1897,1.8185,2.83,-77.5,1039,236,11449
Ex 3 day 18,3,32,-0.0283,2.3116,1.7216,2.83,-81.81,1015,305,11449
Ex 3 day 18,3,33,-0.0283,2.2174,1.5841,3.77,-78.48,1021,254,11449
Ex 3 day 18,3,34,-0.0283,2.6183,1.6839,3.3,-92.67,1042,262,11449
Ex 3 day 18,3,35,-0.0283,2.242,1.5127,2.83,-79.35,1054,290,11449
Ex 3 day 18,3,36,-0.0283,1.9234,1.34,3.3,-68.07,1035,266,11449
Ex 3 day 18,3,37,-0.0283,2.2433,1.5113,2.83,-79.4,961,262,11449
Ex 3 day 18,3,38,-0.0283,2.0973,1.4271,3.3,-74.23,1004,219,11449
Ex 3 day 18,3,39,-0.0283,2.0991,1.5478,2.83,-74.29,1039,298,11449
Ex 3 day 18,3,40,-0.0283,2.1537,1.7372,2.83,-76.22,1039,301,11449
Ex 3 day 18,3,41,-0.0283,1.7928,1.2227,3.3,-63.45,1021,226,11449
Ex 3 day 18,3,42,-0.0283,1.8322,1.4438,2.83,-64.85,1002,308,11449
Ex 3 day 18,3,43,-0.0283,1.9872,1.4136,3.3,-70.33,1054,253,11449
Ex 3 day 18,3,44,-0.0283,1.67,1.278,3.77,-59.1,1024,197,11449
Ex 3 day 18,3,45,-0.0283,2.0061,1.3948,5.19,-71.0,1007,269,11449
Ex 3 day 18,4,46,0.0214,4.6151,3.1523,3.3,216.14,1296,391,22522
Ex 3 day 18,4,47,0.0214,4.2754,3.1348,3.77,200.23,1269,408,22522
Ex 3 day 18,4,48,0.0214,4.251,3.0289,3.3,199.09,1233,422,22522
Ex 3 day 18,4,49,0.0214,3.8635,3.0108,3.77,180.94,1305,360,22522
Ex 3 day 18,4,50,0.0214,3.7735,2.9498,3.77,176.72,1181,433,22522
Ex 3 day 18,4,51,0.0214,3.9882,2.8234,3.3,186.78,1244,327,22522
Ex 3 day 18,4,52,0.0214,3.6189,2.3934,3.3,169.48,1298,403,22522
Ex 3 day 18,4,53,0.0214,3.4132,2.3657,3.3,159.85,1274,381,22522
Ex 3 day 18,4,54,0.0214,3.6585,2.7159,3.77,171.34,1191,328,22522
Ex 3 day 18,4,55,0.0214,3.4376,2.4482,3.77,161.0,1196,345,22522
Ex 3 day 18,4,56,0.0214,3.2712,2.4236,3.3,153.2,1253,465,22522
Ex 3 day 18,4,57,0.0214,2.4492,1.7174,3.3,114.7,1224,394,22522
Ex 3 day 18,4,58,0.0214,2.8578,2.0887,4.71,133.84,1214,451,22522
Ex 3 day 18,4,59,0.0214,2.697,1.6789,3.3,126.31,1259,452,22522
Ex 3 day 18,4,60,0.0214,2.7241,1.6129,4.24,127.58,1259,349,22522
Ex 3 day 18,4,61,0.0214,2.9071,2.3862,2.83,136.15,1227,350,22522
Ex 3 day 18,4,62,0.0214,2.9121,2.061,3.3,136.38,1270,437,22522
Ex 3 day 18,4,63,0.0214,2.6742,2.2036,2.83,125.24,1292,373,22522
Ex 3 day 18,4,64,0.0214,3.0358,2.1387,3.3,142.18,1241,396,22522
Ex 3 day 18,4,65,0.0214,2.3358,1.7378,4.24,109.39,1247,370,22522
Ex 3 day 18,4,66,0.0214,2.1979,1.7195,2.83,102.93,1213,395,22522
Ex 3 day 18,4,67,0.0214,2.4241,1.918,3.77,113.53,1235,369,22522
Ex 3 day 18,4,68,0.0214,1.8483,1.6076,3.77,86.56,1214,420,22522
Ex 3 day 18,4,69,0.0214,1.9762,1.5876,4.71,92.55,1190,392,22522
Ex 3 day 18,4,70,0.0214,1.631,1.2055,2.83,76.38,1184,414,22522
Ex 3 day 18,4,71,0.0214,2.4486,2.0279,2.83,114.68,1272,470,22522
Ex 3 day 18,4,72,0.0214,2.0493,1.7428,2.83,95.97,1214,372,22522
Ex 3 day 18,4,73,0.0214,2.2107,1.7895,2.83,103.54,1213,383,22522
Ex 3 day 18,4,74,0.0214,2.2991,2.0125,2.83,107.67,1209,381,22522
Ex 3 day 18,4,75,0.0214,1.9619,1.4194,3.3,91.88,1202,396,22522
Ex 3 day 18,4,76,0.0214,2.3906,1.7364,2.83,111.96,1192,448,22522
Ex 3 day 18,4,77,0.0214,2.1775,1.7874,2.83,101.98,1155,441,22522
Ex 3 day 18,4,78,0.0214,1.46,1.0423,5.19,68.38,1200,415,22522
Ex 3 day 18,4,79,0.0214,1.8323,1.4714,2.83,85.81,1208,415,22522
Ex 3 day 18,4,80,0.0214,2.0489,1.6938,2.83,95.95,1172,413,22522
Ex 3 day 18,4,81,0.0214,2.0005,1.6336,2.83,93.69,1215,406,22522
Ex 3 day 18,4,82,0.0214,2.065,1.515,3.3,96.71,1264,438,22522
Ex 3 day 18,4,83,0.0214,1.8798,1.2914,3.77,88.04,1252,411,22522
Ex 3 day 18,4,84,0.0214,1.9416,1.5227,2.83,90.93,1230,338,22522
Ex 3 day 18,4,85,0.0214,1.6362,1.3562,2.83,76.63,1199,448,22522
Ex 3 day 18,4,86,0.0214,1.4678,1.1674,2.83,68.74,1200,357,22522
Ex 3 day 18,4,87,0.0214,2.1332,1.7493,2.83,99.9,1211,430,22522
Ex 3 day 18,4,88,0.0214,1.2898,1.0373,3.77,60.4,1268,334,22522
Ex 3 day 18,4,89,0.0214,1.7436,1.1896,4.24,81.66,1295,441,22522
Ex 3 day 18,5,90,-0.0111,4.6351,3.2047,3.3,-415.96,370,609,32604
Ex 3 day 18,5,91,-0.0111,4.4253,3.869,2.83,-397.13,387,699,32604
Ex 3 day 18,5,92,-0.0111,4.3866,3.16,3.3,-393.65,295,599,32604
Ex 3 day 18,5,93,-0.0111,4.2725,3.019,3.3,-383.42,337,621,32604
Ex 3 day 18,5,94,-0.0111,4.0404,2.9323,3.3,-362.59,443,714,32604
Ex 3 day 18,5,95,-0.0111,3.8535,2.8778,3.77,-345.82,313,651,32604
Ex 3 day 18,5,96,-0.0111,4.248,2.9804,3.3,-381.22,458,698,32604
Ex 3 day 18,5,97,-0.0111,3.9438,2.9426,3.77,-353.92,330,696,32604
Ex 3 day 18,5,98,-0.0111,4.0972,2.7636,3.3,-367.69,360,664,32604
Ex 3 day 18,5,99,-0.0111,3.4774,2.6096,3.77,-312.06,315,635,32604
Ex 3 day 18,5,100,-0.0111,3.7042,2.623,3.3,-332.42,374,672,32604
Ex 3 day 18,5,101,-0.0111,3.732,2.5297,3.3,-334.92,428,602,32604
Ex 3 day 18,5,102,-0.0111,3.6032,2.9557,2.83,-323.36,332,726,32604
Ex 3 day 18,5,103,-0.0111,3.3095,2.3663,4.71,-297.0,278,586,32604
Ex 3 day 18,5,104,-0.0111,3.6326,2.6362,3.3,-325.99,450,649,32604
Ex 3 day 18,5,105,-0.0111,3.1,2.6252,2.83,-278.2,297,682,32604
Ex 3 day 18,5,106,-0.0111,2.9848,2.627,2.83,-267.86,382,641,32604
Ex 3 day 18,5,107,-0.0111,2.6492,2.1944,4.24,-237.74,429,652,32604
Ex 3 day 18,5,108,-0.0111,2.6177,2.1339,2.83,-234.92,375,592,32604
Ex 3 day 18,5,109,-0.0111,3.0035,2.3706,3.77,-269.54,353,638,32604
Ex 3 day 18,5,110,-0.0111,2.8805,2.0301,3.3,-258.5,425,713,32604
Ex 3 day 18,5,111,-0.0111,2.7444,2.1148,3.77,-246.28,363,560,32604
Ex 3 day 18,5,112,-0.0111,2.1539,1.8334,4.71,-193.29,445,629,32604
Ex 3 day 18,5,113,-0.0111,2.5162,1.8628,3.77,-225.81,409,613,32604
Ex 3 day 18,5,114,-0.0111,2.7406,2.0018,3.3,-245.95,390,675,32604
Ex 3 day 18,5,115,-0.0111,2.0256,1.5085,2.83,-181.78,401,627,32604
Ex 3 day 18,5,116,-0.0111,2.3833,2.0398,2.83,-213.88,426,631,32604
Ex 3 day 18,5,117,-0.0111,2.6867,2.0423,3.3,-241.1,368,709,32604
Ex 3 day 18,5,118,-0.0111,2.5041,2.1074,2.83,-224.72,359,706,32604
Ex 3 day 18,5,119,-0.0111,2.3725,1.6569,3.3,-212.91,325,611,32604
Ex 3 day 18,5,120,-0.0111,2.6108,2.2493,2.83,-234.29,352,712,32604
Ex 3 day 18,5,121,-0.0111,1.6499,1.3092,7.07,-148.07,409,691,32604
Ex 3 day 18,5,122,-0.0111,2.1749,1.3656,3.3,-195.18,384,611,32604
Ex 3 day 18,5,123,-0.0111,2.0122,1.6517,2.83,-180.58,310,607,32604
Ex 3 day 18,5,124,-0.0111,2.2599,1.5328,4.71,-202.8,413,598,32604
Ex 3 day 18,5,125,-0.0111,1.9384,1.1289,4.24,-173.95,413,651,32604
Ex 3 day 18,5,126,-0.0111,2.154,1.6714,3.77,-193.3,390,595,32604
Ex 3 day 18,5,127,-0.0111,1.6115,1.0256,3.3,-144.61,278,609,32604
Ex 3 day 18,5,128,-0.0111,2.5209,2.057,2.83,-226.23,290,655,32604
Ex 3 day 18,5,129,-0.0111,2.387,2.0405,2.83,-214.22,376,638,32604
Ex 3 day 18,5,130,-0.0111,2.0822,1.3258,5.66,-186.86,364,585,32604
Ex 3 day 18,5,131,-0.0111,1.1732,1.1551,6.13,-105.29,428,577,32604
Ex 3 day 18,5,132,-0.0111,2.2026,1.538,4.71,-197.66,346,601,32604
Ex 3 day 18,5,133,-0.0111,1.3041,1.1765,4.71,-117.03,340,672,32604
Ex 3 day 18,5,134,-0.0111,1.6783,1.4158,2.83,-150.62,265,635,32604
Ex 3 day 18,5,135,-0.0111,1.7246,1.5385,2.83,-154.77,335,737,32604
Ex 3 day 18,5,136,-0.0111,1.7952,1.4782,2.83,-161.1,402,647,32604
Ex 3 day 18,5,137,-0.0111,2.0787,1.6088,2.83,-186.54,350,622,32604
Ex 3 day 18,5,138,-0.0111,1.7108,1.4053,2.83,-153.53,309,616,32604
Ex 3 day 18,6,139,0.0127,4.4928,3.1167,3.3,354.12,294,787,24266
Ex 3 day 18,6,140,0.0127,4.5147,3.2235,3.3,355.85,327,825,24266
Ex 3 day 18,6,141,0.0127,4.4457,3.0593,3.3,350.41,369,818,24266
Ex 3 day 18,6,142,0.0127,4.0394,2.7846,3.3,318.39,331,806,24266
Ex 3 day 18,6,143,0.0127,4.1906,2.9231,3.3,330.31,368,949,24266
Ex 3 day 18,6,144,0.0127,4.4842,3.7391,2.83,353.45,260,834,24266
Ex 3 day 18,6,145,0.0127,4.3877,2.7989,3.3,345.84,334,784,24266
Ex 3 day 18,6,146,0.0127,3.9357,2.6336,3.3,310.22,260,787,24266
Ex 3 day 18,6,147,0.0127,3.8942,2.7514,3.3,306.94,288,903,24266
Ex 3 day 18,6,148,0.0127,3.4626,2.9573,2.83,272.92,349,792,24266
Ex 3 day 18,6,149,0.0127,3.1784,2.1376,4.24,250.52,315,872,24266
Ex 3 day 18,6,150,0.0127,3.6292,2.5227,3.3,286.05,262,887,24266
Ex 3 day 18,6,151,0.0127,3.3661,2.2843,3.3,265.31,315,760,24266
Ex 3 day 18,6,152,0.0127,3.4493,2.8604,2.83,271.87,328,760,24266
Ex 3 day 18,6,153,0.0127,2.7274,1.8137,4.24,214.97,304,819,24266
Ex 3 day 18,6,154,0.0127,2.6808,1.8401,3.3,211.3,369,851,24266
Ex 3 day 18,6,155,0.0127,2.6301,1.8948,3.3,207.3,318,846,24266
Ex 3 day 18,6,156,0.0127,2.9816,2.0933,3.77,235.01,340,768,24266
Ex 3 day 18,6,157,0.0127,3.1745,2.1677,3.3,250.21,366,931,24266
Ex 3 day 18,6,158,0.0127,3.641,2.7344,2.83,286.98,346,828,24266
Ex 3 day 18,6,159,0.0127,3.2959,2.8788,2.83,259.78,282,819,24266
Ex 3 day 18,6,160,0.0127,3.0067,2.3676,2.83,236.99,306,844,24266
Ex 3 day 18,6,161,0.0127,2.4473,2.1216,2.83,192.9,354,841,24266
Ex 3 day 18,6,162,0.0127,2.0744,1.6068,2.83,163.5,366,836,24266
Ex 3 day 18,6,163,0.0127,2.7195,2.1939,2.83,214.35,370,895,24266
Ex 3 day 18,6,164,0.0127,2.7515,2.4471,2.83,216.87,356,785,24266
Ex 3 day 18,6,165,0.0127,2.3962,2.0008,2.83,188.87,342,897,24266
Ex 3 day 18,6,166,0.0127,2.7605,2.3745,2.83,217.59,259,853,24266
Ex 3 day 18,6,167,0.0127,2.3427,1.6755,2.83,184.65,330,857,24266
Ex 3 day 18,6,168,0.0127,2.8653,2.0893,2.83,225.84,387,745,24266
Ex 3 day 18,6,169,0.0127,2.0662,1.4835,3.3,162.86,253,810,24266
Ex 3 day 18,6,170,0.0127,1.9756,1.7741,2.83,155.71,328,883,24266
Ex 3 day 18,6,171,0.0127,2.2501,1.8425,2.83,177.36,286,875,24266
Ex 3 day 18,6,172,0.0127,2.4563,1.9151,2.83,193.61,384,772,24266
Ex 3 day 18,6,173,0.0127,2.4517,2.0312,2.83,193.24,358,904,24266
Ex 3 day 18,6,174,0.0127,1.4706,1.2526,2.83,115.92,380,744,24266
Ex 3 day 18,6,175,0.0127,2.1925,1.7583,2.83,172.81,336,903,24266
Ex 3 day 18,6,176,0.0127,2.2621,1.77,2.83,178.3,308,906,24266
Ex 3 day 18,6,177,0.0127,2.0603,1.542,2.83,162.39,309,777,24266
Ex 3 day 18,6,178,0.0127,2.3624,1.9909,2.83,186.2,349,891,24266
Ex 3 day 18,6,179,0.0127,2.3424,1.9102,2.83,184.63,284,868,24266
Ex 3 day 18,6,180,0.0127,1.5707,1.2157,2.83,123.8,300,744,24266
Ex 3 day 18,6,181,0.0127,2.3139,1.7679,2.83,182.39,331,897,24266
Ex 3 day 18,6,182,0.0127,2.1934,1.5845,3.3,172.88,288,860,24266
Ex 3 day 18,6,183,0.0127,2.0337,1.4019,3.3,160.3,356,866,24266
Ex 3 day 18,6,184,0.0127,2.1269,1.6021,2.83,167.64,294,884,24266
Ex 3 day 18,6,185,0.0127,0.2018,1.1178,5.19,15.91,334,848,24266
Ex 3 day 18,6,186,0.0127,2.4256,1.9519,2.83,191.19,390,779,24266
Ex 3 day 18,6,187,0.0127,2.0993,1.7585,2.83,165.47,304,909,24266
Ex 3 day 18,6,188,0.0127,2.0906,1.8667,2.83,164.78,351,876,24266
Ex 3 day 18,6,189,0.0127,2.1844,1.8231,2.83,172.18,308,798,24266
Ex 3 day 18,6,190,0.0127,1.4023,1.1261,2.83,110.53,374,796,24266
Ex 3 day 18,6,191,0.0127,2.314,1.6695,3.3,182.39,250,835,24266
Ex 3 day 18,6,192,0.0127,1.2501,0.8096,2.83,98.53,268,867,24266
Ex 3 day 18,6,193,0.0127,1.8562,1.4637,2.83,146.31,382,785,24266
Ex 3 day 18,6,194,0.0127,2.2544,1.7846,2.83,177.69,256,866,24266
Ex 3 day 18,6,195,0.0127,1.9893,1.4665,2.83,156.8,348,916,24266
Ex 3 day 18,6,196,0.0127,2.0405,1.763,2.83,160.83,319,906,24266
Ex 3 day 18,6,197,0.0127,1.8497,1.0931,2.83,145.79,346,744,24266
Ex 3 day 18,6,198,0.0127,1.735,1.349,3.3,136.75,339,914,24266
Ex 3 day 18,6,199,0.0127,1.6017,1.1633,3.3,126.24,346,946,24266
Ex 3 day 18,6,200,0.0127,0.9497,1.133,6.6,74.85,367,767,24266
Ex 3 day 18,6,201,0.0127,1.7897,1.5299,2.83,141.07,281,795,24266
Ex 3 day 18,6,202,0.0127,1.7153,1.2288,2.83,135.2,339,750,24266
Ex 3 day 18,6,203,0.0127,1.6906,1.324,2.83,133.25,385,759,24266
Ex 3 day 18,6,204,0.0127,1.8166,1.4892,2.83,143.18,357,922,24266
Ex 3 day 18,6,205,0.0127,1.6587,1.1239,3.77,130.74,349,805,24266
Ex 3 day 18,6,206,0.0127,1.8196,1.4733,3.77,143.42,345,888,24266
Ex 3 day 18,6,207,0.0127,1.473,0.8498,2.83,116.11,313,744,24266
Ex 3 day 18,6,208,0.0127,1.9247,1.6182,2.83,151.71,365,908,24266
Ex 3 day 18,6,209,0.0127,2.2079,1.2505,4.24,174.02,367,875,24266
Ex 3 day 18,6,210,0.0127,2.0282,1.8179,2.83,159.86,315,791,24266
Ex 3 day 18,6,211,0.0127,1.5979,1.3909,3.77,125.95,332,870,24266
Ex 3 day 18,6,212,0.0127,1.7917,1.3871,2.83,141.22,331,926,24266
Ex 3 day 18,7,213,0.0144,4.5822,3.6729,2.83,317.59,421,858,18174
Ex 3 day 18,7,214,0.0144,4.6515,3.2515,3.3,322.39,441,815,18174
Ex 3 day 18,7,215,0.0144,4.3502,2.9873,3.3,301.51,386,884,18174
Ex 3 day 18,7,216,0.0144,4.0622,3.0907,3.77,281.55,393,845,18174
Ex 3 day 18,7,217,0.0144,4.2601,3.0588,3.3,295.26,438,922,18174
Ex 3 day 18,7,218,0.0144,3.7742,3.2651,2.83,261.59,443,873,18174
Ex 3 day 18,7,219,0.0144,3.7426,2.5891,3.3,259.4,454,934,18174
Ex 3 day 18,7,220,0.0144,3.5228,3.0453,2.83,244.16,416,843,18174
Ex 3 day 18,7,221,0.0144,3.5508,2.9827,2.83,246.11,454,902,18174
Ex 3 day 18,7,222,0.0144,2.7601,2.286,2.83,191.3,393,793,18174
Ex 3 day 18,7,223,0.0144,3.0424,2.6774,2.83,210.86,403,806,18174
Ex 3 day 18,7,224,0.0144,3.519,2.975,2.83,243.9,417,960,18174
Ex 3 day 18,7,225,0.0144,3.0008,2.1764,3.3,207.98,411,829,18174
Ex 3 day 18,7,226,0.0144,3.0995,2.1906,3.3,214.82,414,938,18174
Ex 3 day 18,7,227,0.0144,3.0847,2.1427,3.3,213.8,394,897,18174
Ex 3 day 18,7,228,0.0144,2.6132,2.0969,3.77,181.12,415,885,18174
