Total Cells: 7
Total Foci: 250

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 18        1        1               0.1044               3.9280                    2.7883         3.30                 37.61     372     108
Ex 3 day 18        1        2               0.1044               3.5481                    3.1046         2.83                 33.97     377     130
Ex 3 day 18        1        3               0.1044               3.0395                    2.1292         3.30                 29.10     391     126
Ex 3 day 18        1        4               0.1044               2.3864                    1.7446         4.24                 22.85     363     132
Ex 3 day 18        1        5               0.1044               2.4419                    2.1811         2.83                 23.38     319     107
Ex 3 day 18        1        6               0.1044               2.1556                    1.4972         3.77                 20.64     352     107
Ex 3 day 18        2        7               0.1227               4.0192                    3.4302         2.83                 32.75     370     150
Ex 3 day 18        2        8               0.1227               3.8987                    3.1961         2.83                 31.77     328     170
Ex 3 day 18        2        9               0.1227               3.8082                    2.6868         3.30                 31.03     319     186
Ex 3 day 18        2       10               0.1227               3.8703                    2.6061         3.30                 31.54     359     196
Ex 3 day 18        2       11               0.1227               3.1646                    2.5650         2.83                 25.79     338     144
Ex 3 day 18        2       12               0.1227               3.4514                    2.3514         3.30                 28.12     324     146
Ex 3 day 18        2       13               0.1227               3.1429                    2.6074         2.83                 25.61     380     164
Ex 3 day 18        2       14               0.1227               3.1699                    2.2198         3.30                 25.83     354     211
Ex 3 day 18        2       15               0.1227               2.8945                    2.0466         3.30                 23.59     365     170
Ex 3 day 18        2       16               0.1227               2.4952                    1.7761         3.30                 20.33     358     144
Ex 3 day 18        2       17               0.1227               1.9545                    1.4319         3.77                 15.93     349     185
Ex 3 day 18        2       18               0.1227               2.5879                    1.8047         3.30                 21.09     335     190
Ex 3 day 18        2       19               0.1227               2.1083                    1.3864         3.30                 17.18     357     162
Ex 3 day 18        2       20               0.1227               2.5841                    2.1239         2.83                 21.06     373     166
