experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 189,1,1,0.015,4.3476,3.7948,2.83,289.72,1128,426
Ex 3 day 189,1,2,0.015,3.3377,2.3691,4.24,222.42,1024,356
Ex 3 day 189,1,3,0.015,3.6497,3.1241,2.83,243.21,1094,403
Ex 3 day 189,1,4,0.015,3.4375,2.141,4.24,229.07,1122,459
Ex 3 day 189,1,5,0.015,3.3057,2.1284,4.24,220.29,1120,365
Ex 3 day 189,1,6,0.015,3.2703,2.837,2.83,217.93,1145,439
Ex 3 day 189,1,7,0.015,3.2048,2.8079,2.83,213.56,1115,421
Ex 3 day 189,1,8,0.015,2.9879,2.4751,2.83,199.11,1054,336
Ex 3 day 189,1,9,0.015,2.7535,2.3053,2.83,183.49,1006,295
Ex 3 day 189,1,10,0.015,3.0333,2.2233,3.3,202.13,1063,386
Ex 3 day 189,1,11,0.015,2.6022,2.101,2.83,173.41,1044,370
Ex 3 day 189,1,12,0.015,2.2577,1.8628,2.83,150.45,1024,413
Ex 3 day 189,1,13,0.015,2.3294,2.0338,2.83,155.23,1004,319
Ex 3 day 189,1,14,0.015,2.2343,1.7823,2.83,148.89,1167,419
Ex 3 day 189,1,15,0.015,2.3244,2.0292,2.83,154.89,1102,348
Ex 3 day 189,1,16,0.015,1.7535,1.5027,2.83,116.85,1123,398
Ex 3 day 189,1,17,0.015,2.0432,1.4516,3.3,136.16,1092,367
Ex 3 day 189,1,18,0.015,2.3097,1.8706,2.83,153.92,1101,442
Ex 3 day 189,1,19,0.015,2.0005,1.4883,2.83,133.31,1088,304
Ex 3 day 189,1,20,0.015,1.8738,1.5768,3.77,124.87,1081,293
Ex 3 day 189,1,21,0.015,1.2413,1.3882,4.24,82.72,1152,404
Ex 3 day 189,1,22,0.015,2.3666,1.9236,2.83,157.71,1161,400
Ex 3 day 189,1,23,0.015,2.2485,1.5941,3.3,149.84,1098,357
Ex 3 day 189,1,24,0.015,1.2455,1.1225,3.77,83.0,1139,394
Ex 3 day 189,2,25,0.0419,3.8141,3.3281,2.83,90.98,461,359
Ex 3 day 189,2,26,0.0419,4.0437,2.9811,3.77,96.46,404,396
Ex 3 day 189,2,27,0.0419,3.765,2.3688,4.24,89.81,433,381
Ex 3 day 189,2,28,0.0419,3.9915,2.8872,3.77,95.22,370,394
Ex 3 day 189,2,29,0.0419,3.4717,2.6513,3.77,82.82,440,396
Ex 3 day 189,2,30,0.0419,3.8226,2.8366,3.77,91.19,494,327
Ex 3 day 189,2,31,0.0419,3.718,2.3365,4.24,88.69,390,371
Ex 3 day 189,2,32,0.0419,3.6471,2.7356,3.77,87.0,425,406
Ex 3 day 189,2,33,0.0419,3.1655,2.2062,3.3,75.51,401,336
Ex 3 day 189,2,34,0.0419,3.2791,2.8181,2.83,78.22,417,362
Ex 3 day 189,2,35,0.0419,2.9541,2.1307,3.77,70.47,440,350
Ex 3 day 189,2,36,0.0419,3.2392,2.4012,3.3,77.27,457,325
Ex 3 day 189,2,37,0.0419,2.6997,1.9017,3.3,64.4,434,324
Ex 3 day 189,2,38,0.0419,2.5537,2.1363,2.83,60.92,473,369
Ex 3 day 189,2,39,0.0419,2.3659,1.6696,3.3,56.44,382,428
Ex 3 day 189,2,40,0.0419,2.2371,1.5495,3.77,53.37,370,416
Ex 3 day 189,2,41,0.0419,2.1618,1.8453,2.83,51.57,385,420
Ex 3 day 189,2,42,0.0419,2.0543,1.2988,3.3,49.0,472,401
Ex 3 day 189,2,43,0.0419,1.495,1.2456,2.83,35.66,457,337
Ex 3 day 189,2,44,0.0419,1.9209,1.4628,3.77,45.82,375,340
