Total Cells: 2
Total Foci: 44

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 189        1        1                0.015               4.3476                    3.7948         2.83                289.72    1128     426
Ex 3 day 189        1        2                0.015               3.3377                    2.3691         4.24                222.42    1024     356
Ex 3 day 189        1        3                0.015               3.6497                    3.1241         2.83                243.21    1094     403
Ex 3 day 189        1        4                0.015               3.4375                    2.1410         4.24                229.07    1122     459
Ex 3 day 189        1        5                0.015               3.3057                    2.1284         4.24                220.29    1120     365
Ex 3 day 189        1        6                0.015               3.2703                    2.8370         2.83                217.93    1145     439
Ex 3 day 189        1        7                0.015               3.2048                    2.8079         2.83                213.56    1115     421
Ex 3 day 189        1        8                0.015               2.9879                    2.4751         2.83                199.11    1054     336
Ex 3 day 189        1        9                0.015               2.7535                    2.3053         2.83                183.49    1006     295
Ex 3 day 189        1       10                0.015               3.0333                    2.2233         3.30                202.13    1063     386
Ex 3 day 189        1       11                0.015               2.6022                    2.1010         2.83                173.41    1044     370
Ex 3 day 189        1       12                0.015               2.2577                    1.8628         2.83                150.45    1024     413
Ex 3 day 189        1       13                0.015               2.3294                    2.0338         2.83                155.23    1004     319
Ex 3 day 189        1       14                0.015               2.2343                    1.7823         2.83                148.89    1167     419
Ex 3 day 189        1       15                0.015               2.3244                    2.0292         2.83                154.89    1102     348
Ex 3 day 189        1       16                0.015               1.7535                    1.5027         2.83                116.85    1123     398
Ex 3 day 189        1       17                0.015               2.0432                    1.4516         3.30                136.16    1092     367
Ex 3 day 189        1       18                0.015               2.3097                    1.8706         2.83                153.92    1101     442
Ex 3 day 189        1       19                0.015               2.0005                    1.4883         2.83                133.31    1088     304
Ex 3 day 189        1       20                0.015               1.8738                    1.5768         3.77                124.87    1081     293
