Total Cells: 9
Total Foci: 239

Head (first 20 rows):
   experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 1818        1        1               0.0305               3.6231                    2.7843         2.83                118.84     819     242
Ex 3 day 1818        1        2               0.0305               3.5715                    2.8842         2.83                117.14     799     234
Ex 3 day 1818        1        3               0.0305               3.5370                    2.8970         2.83                116.01     789     192
Ex 3 day 1818        1        4               0.0305               3.5835                    2.7020         2.83                117.53     878     236
Ex 3 day 1818        1        5               0.0305               2.8106                    2.3375         2.83                 92.19     860     230
Ex 3 day 1818        1        6               0.0305               2.9274                    1.8609         3.30                 96.02     874     225
Ex 3 day 1818        1        7               0.0305               2.6019                    2.2128         2.83                 85.34     899     108
Ex 3 day 1818        1        8               0.0305               3.4053                    2.8406         2.83                111.69     777      62
Ex 3 day 1818        1        9               0.0305               3.1989                    2.7503         2.83                104.92     823      46
Ex 3 day 1818        1       10               0.0305               2.2965                    1.9874         2.83                 75.32     905     212
Ex 3 day 1818        1       11               0.0305               2.7070                    2.1938         3.77                 88.79     875     188
Ex 3 day 1818        1       12               0.0305               2.8369                    2.3373         2.83                 93.05     841     255
Ex 3 day 1818        1       13               0.0305               2.8823                    2.2718         2.83                 94.54     802      67
Ex 3 day 1818        1       14               0.0305               3.1944                    2.5034         2.83                104.77     774      79
Ex 3 day 1818        1       15               0.0305               2.3704                    2.3003         2.83                 77.75     872     256
Ex 3 day 1818        1       16               0.0305               1.9191                    1.7622         2.83                 62.94     782     112
Ex 3 day 1818        1       17               0.0305               3.2524                    2.5598         2.83                106.68     815     198
Ex 3 day 1818        1       18               0.0305               2.5355                    2.0150         2.83                 83.16     802      96
Ex 3 day 1818        1       19               0.0305               2.7572                    2.1102         2.83                 90.43     857     142
Ex 3 day 1818        1       20               0.0305               1.8515                    1.5537         2.83                 60.73     904     220
