experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 1820;1;1;-0,0001;4,3844;3,1322;3,3000;-33516,1400;701;298;49650
Ex 3 day 1820;1;2;-0,0001;4,2010;3,0702;3,7700;-32114,7600;708;315;49650
Ex 3 day 1820;1;3;-0,0001;3,7619;2,6718;3,7700;-28757,7600;768;241;49650
Ex 3 day 1820;1;4;-0,0001;3,9239;3,0364;3,7700;-29996,0600;759;297;49650
Ex 3 day 1820;1;5;-0,0001;3,6480;2,6396;3,7700;-27887,3400;756;280;49650
Ex 3 day 1820;1;6;-0,0001;3,9022;2,7622;3,7700;-29829,9400;772;260;49650
Ex 3 day 1820;1;7;-0,0001;3,6629;2,6802;3,7700;-28000,8400;673;173;49650
Ex 3 day 1820;1;8;-0,0001;4,0958;2,7852;3,3000;-31309,9400;700;161;49650
Ex 3 day 1820;1;9;-0,0001;3,4352;2,2539;3,3000;-26260,0000;652;202;49650
Ex 3 day 1820;1;10;-0,0001;3,8193;3,3459;2,8300;-29196,4600;652;173;49650
Ex 3 day 1820;1;11;-0,0001;3,4303;2,3095;4,2400;-26222,9500;681;321;49650
Ex 3 day 1820;1;12;-0,0001;3,5015;2,5445;3,3000;-26767,4000;685;204;49650
Ex 3 day 1820;1;13;-0,0001;3,1025;2,4108;3,7700;-23717,1100;767;314;49650
Ex 3 day 1820;1;14;-0,0001;2,8716;2,0762;4,7100;-21952,2500;693;270;49650
Ex 3 day 1820;1;15;-0,0001;2,4599;2,1340;2,8300;-18804,8700;664;203;49650
Ex 3 day 1820;1;16;-0,0001;3,3542;2,4110;3,7700;-25640,9600;734;315;49650
Ex 3 day 1820;1;17;-0,0001;2,7481;1,8678;3,3000;-21007,9300;665;235;49650
Ex 3 day 1820;1;18;-0,0001;2,8281;1,9792;3,3000;-21619,1100;750;262;49650
Ex 3 day 1820;1;19;-0,0001;2,5794;1,8559;4,2400;-19718,5500;776;207;49650
Ex 3 day 1820;1;20;-0,0001;2,8351;2,2234;2,8300;-21672,9200;701;185;49650
Ex 3 day 1820;1;21;-0,0001;2,7901;1,7707;4,2400;-21328,5800;751;208;49650
Ex 3 day 1820;1;22;-0,0001;2,4710;1,8265;3,7700;-18889,4400;795;283;49650
Ex 3 day 1820;1;23;-0,0001;2,8293;2,0047;3,7700;-21628,6400;742;304;49650
Ex 3 day 1820;1;24;-0,0001;2,5429;2,1098;2,8300;-19439,1100;819;244;49650
Ex 3 day 1820;1;25;-0,0001;2,5020;1,8992;3,3000;-19126,8900;718;256;49650
Ex 3 day 1820;1;26;-0,0001;2,3956;1,6611;3,3000;-18312,8100;715;291;49650
Ex 3 day 1820;1;27;-0,0001;2,9588;2,0504;3,3000;-22618,7100;739;356;49650
Ex 3 day 1820;1;28;-0,0001;2,8621;2,0893;3,3000;-21879,4900;695;218;49650
Ex 3 day 1820;1;29;-0,0001;2,0772;1,6539;3,7700;-15879,1000;694;236;49650
Ex 3 day 1820;1;30;-0,0001;2,9266;2,4054;2,8300;-22372,0900;757;268;49650
Ex 3 day 1820;1;31;-0,0001;2,5236;1,8679;3,7700;-19291,3000;753;229;49650
Ex 3 day 1820;1;32;-0,0001;2,8158;1,9977;3,7700;-21525,0200;745;330;49650
Ex 3 day 1820;1;33;-0,0001;3,0388;2,3207;2,8300;-23229,8900;638;212;49650
Ex 3 day 1820;1;34;-0,0001;2,7956;1,9344;3,3000;-21371,0200;720;350;49650
Ex 3 day 1820;1;35;-0,0001;2,6001;1,9387;3,3000;-19876,4300;663;309;49650
Ex 3 day 1820;1;36;-0,0001;2,4448;1,8306;3,7700;-18689,0300;879;253;49650
Ex 3 day 1820;1;37;-0,0001;2,5032;1,7557;4,2400;-19136,0600;817;304;49650
Ex 3 day 1820;1;38;-0,0001;3,0887;2,5299;2,8300;-23611,3700;645;186;49650
Ex 3 day 1820;1;39;-0,0001;2,4110;1,6386;4,2400;-18430,5500;799;249;49650
Ex 3 day 1820;1;40;-0,0001;2,6405;1,8591;3,3000;-20185,0100;704;150;49650
Ex 3 day 1820;1;41;-0,0001;2,7289;2,3808;2,8300;-20861,0000;659;150;49650
Ex 3 day 1820;1;42;-0,0001;2,4033;2,1343;2,8300;-18372,2800;815;263;49650
Ex 3 day 1820;1;43;-0,0001;2,6058;1,9176;3,7700;-19920,0500;671;279;49650
Ex 3 day 1820;1;44;-0,0001;2,1482;1,6158;3,7700;-16421,6600;720;186;49650
Ex 3 day 1820;1;45;-0,0001;2,5868;1,8217;3,7700;-19774,5600;786;260;49650
Ex 3 day 1820;1;46;-0,0001;2,4799;1,7355;3,3000;-18957,3800;684;335;49650
Ex 3 day 1820;1;47;-0,0001;2,3236;1,7860;3,7700;-17762,5500;859;263;49650
Ex 3 day 1820;1;48;-0,0001;2,3025;1,8993;2,8300;-17601,2600;626;288;49650
Ex 3 day 1820;1;49;-0,0001;2,5359;1,6525;3,3000;-19385,9900;727;328;49650
Ex 3 day 1820;1;50;-0,0001;2,1418;1,6286;2,8300;-16373,2300;635;329;49650
Ex 3 day 1820;1;51;-0,0001;2,5234;1,7906;3,3000;-19290,3100;715;269;49650
Ex 3 day 1820;1;52;-0,0001;2,3854;1,7866;3,3000;-18235,1500;849;279;49650
Ex 3 day 1820;1;53;-0,0001;2,1878;1,6949;3,7700;-16724,7100;689;249;49650
Ex 3 day 1820;1;54;-0,0001;2,2443;1,7715;3,7700;-17156,7100;862;284;49650
Ex 3 day 1820;1;55;-0,0001;2,2427;1,8386;3,7700;-17144,1000;766;343;49650
Ex 3 day 1820;1;56;-0,0001;2,2125;1,6819;2,8300;-16913,1800;849;344;49650
Ex 3 day 1820;1;57;-0,0001;1,6115;1,2709;5,1900;-12319,3400;724;222;49650
Ex 3 day 1820;1;58;-0,0001;2,5391;1,7287;3,3000;-19409,7500;842;262;49650
Ex 3 day 1820;1;59;-0,0001;2,1493;1,6807;2,8300;-16430,4400;736;266;49650
Ex 3 day 1820;1;60;-0,0001;1,9556;1,3074;3,3000;-14949,5600;730;247;49650
Ex 3 day 1820;1;61;-0,0001;2,1226;1,7293;2,8300;-16225,9500;624;226;49650
Ex 3 day 1820;1;62;-0,0001;2,1070;1,4473;3,3000;-16106,8900;744;242;49650
Ex 3 day 1820;1;63;-0,0001;2,3461;1,5379;4,7100;-17935,1000;723;241;49650
Ex 3 day 1820;1;64;-0,0001;1,9241;1,4692;2,8300;-14708,5300;784;283;49650
Ex 3 day 1820;1;65;-0,0001;2,0310;1,5500;3,7700;-15526,1900;845;246;49650
