experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 09,1,1,0.1783,3.9213,2.8477,3.3,21.99,401,29
Ex 3 day 09,1,2,0.1783,2.9972,2.1612,3.3,16.81,386,14
Ex 3 day 09,1,3,0.1783,2.7346,2.259,2.83,15.34,440,12
Ex 3 day 09,1,4,0.1783,2.091,1.4423,3.3,11.73,403,11
Ex 3 day 09,1,5,0.1783,2.1541,1.6611,3.77,12.08,406,46
Ex 3 day 09,1,6,0.1783,1.8293,1.4278,2.83,10.26,436,23
Ex 3 day 09,1,7,0.1783,2.2496,1.7719,2.83,12.62,433,38
Ex 3 day 09,1,8,0.1783,1.2378,1.3523,4.71,6.94,422,29
Ex 3 day 09,2,9,0.1816,3.4118,2.6705,2.83,18.79,1097,46
Ex 3 day 09,2,10,0.1816,2.5396,2.328,2.83,13.99,1074,78
Ex 3 day 09,2,11,0.1816,3.1139,2.5373,2.83,17.15,1067,53
Ex 3 day 09,2,12,0.1816,2.7699,2.2497,2.83,15.26,1102,67
Ex 3 day 09,2,13,0.1816,2.937,2.1397,2.83,16.18,1083,70
Ex 3 day 09,2,14,0.1816,2.3825,1.9332,2.83,13.12,1079,55
Ex 3 day 09,2,15,0.1816,2.3488,1.8308,2.83,12.94,1064,92
Ex 3 day 09,2,16,0.1816,0.9583,1.5195,4.24,5.28,1091,84
Ex 3 day 09,2,17,0.1816,2.2798,1.8515,2.83,12.56,1057,65
Ex 3 day 09,2,18,0.1816,1.6732,1.3995,2.83,9.22,1092,67
Ex 3 day 09,3,19,0.1543,3.4399,3.0156,2.83,22.29,761,107
Ex 3 day 09,3,20,0.1543,3.6302,3.1055,2.83,23.53,777,134
Ex 3 day 09,3,21,0.1543,2.8624,2.4745,2.83,18.55,771,119
Ex 3 day 09,3,22,0.1543,2.5229,1.6886,4.71,16.35,778,152
Ex 3 day 09,3,23,0.1543,2.3285,2.0878,2.83,15.09,807,130
Ex 3 day 09,4,24,0.1842,3.1011,2.4359,3.77,16.84,360,196
Ex 3 day 09,4,25,0.1842,2.6821,1.629,4.24,14.56,347,215
Ex 3 day 09,4,26,0.1842,2.2863,1.5356,5.19,12.41,363,222
Ex 3 day 09,4,27,0.1842,1.7702,1.4584,4.71,9.61,342,192
Ex 3 day 09,4,28,0.1842,1.852,1.7603,4.71,10.05,363,175
Ex 3 day 09,4,29,0.1842,1.9164,1.678,2.83,10.4,327,187
Ex 3 day 09,4,30,0.1842,2.1149,1.5104,2.83,11.48,328,196
Ex 3 day 09,5,31,0.1863,2.3783,1.9294,2.83,12.77,1047,198
Ex 3 day 09,5,32,0.1863,2.4732,2.0471,2.83,13.28,1060,210
Ex 3 day 09,5,33,0.1863,1.7908,1.538,2.83,9.61,1047,229
Ex 3 day 09,5,34,0.1863,1.7448,1.3662,3.3,9.37,1056,238
Ex 3 day 09,5,35,0.1863,2.0962,1.7195,2.83,11.25,1059,201
Ex 3 day 09,5,36,0.1863,1.9721,1.4729,2.83,10.59,1058,223
Ex 3 day 09,5,37,0.1863,2.2872,1.8954,2.83,12.28,1046,215
Ex 3 day 09,5,38,0.1863,2.3659,1.6449,3.3,12.7,1028,221
Ex 3 day 09,6,39,0.0184,3.3202,2.5151,2.83,180.53,603,256
Ex 3 day 09,6,40,0.0184,2.4313,2.015,2.83,132.2,633,250
Ex 3 day 09,6,41,0.0184,1.4728,1.1245,2.83,80.08,579,257
Ex 3 day 09,6,42,0.0184,1.8252,1.4104,2.83,99.24,564,265
Ex 3 day 09,6,43,0.0184,2.3455,1.7127,2.83,127.53,591,255
Ex 3 day 09,6,44,0.0184,2.606,1.8207,2.83,141.69,597,262
Ex 3 day 09,6,45,0.0184,2.4453,1.8456,2.83,132.96,553,256
Ex 3 day 09,6,46,0.0184,1.5453,1.1721,2.83,84.02,583,251
Ex 3 day 09,6,47,0.0184,1.3525,1.0738,2.83,73.54,611,259
Ex 3 day 09,6,48,0.0184,1.7594,1.1196,2.83,95.66,622,251
Ex 3 day 09,7,49,0.1125,2.8751,2.5749,2.83,25.55,664,284
Ex 3 day 09,7,50,0.1125,3.1019,2.2777,3.3,27.56,621,269
Ex 3 day 09,7,51,0.1125,2.7382,2.4057,2.83,24.33,636,305
Ex 3 day 09,7,52,0.1125,2.5456,1.9227,4.71,22.62,658,307
Ex 3 day 09,7,53,0.1125,2.7862,2.0616,2.83,24.76,635,291
Ex 3 day 09,7,54,0.1125,2.1542,1.8397,2.83,19.14,643,295
Ex 3 day 09,7,55,0.1125,2.2173,1.784,3.3,19.7,604,282
Ex 3 day 09,7,56,0.1125,3.0771,2.2664,2.83,27.34,604,290
Ex 3 day 09,7,57,0.1125,2.1371,1.7988,2.83,18.99,618,286
Ex 3 day 09,7,58,0.1125,1.7304,1.5187,2.83,15.38,651,292
Ex 3 day 09,7,59,0.1125,2.0012,1.5939,2.83,17.78,650,269
Ex 3 day 09,7,60,0.1125,1.8687,1.5056,2.83,16.61,635,274
Ex 3 day 09,7,61,0.1125,2.2913,1.7966,2.83,20.36,625,297
Ex 3 day 09,7,62,0.1125,1.2905,1.3094,4.24,11.47,650,276
Ex 3 day 09,7,63,0.1125,2.0278,1.7331,2.83,18.02,673,284
Ex 3 day 09,7,64,0.1125,1.2573,1.2438,3.3,11.17,647,260
Ex 3 day 09,8,65,0.1326,3.9163,2.8205,2.83,29.53,777,320
Ex 3 day 09,8,66,0.1326,2.5182,2.3431,2.83,18.99,790,330
Ex 3 day 09,8,67,0.1326,3.0671,2.6081,2.83,23.12,782,297
Ex 3 day 09,8,68,0.1326,1.5913,1.4683,4.24,12.0,770,288
Ex 3 day 09,8,69,0.1326,2.1917,1.5704,2.83,16.52,759,333
Ex 3 day 09,8,70,0.1326,2.2861,1.6406,3.3,17.24,771,307
Ex 3 day 09,8,71,0.1326,2.2887,1.8436,2.83,17.26,794,286
Ex 3 day 09,8,72,0.1326,2.2136,1.7163,2.83,16.69,806,294
Ex 3 day 09,8,73,0.1326,1.6677,1.1934,2.83,12.57,765,339
Ex 3 day 09,8,74,0.1326,2.3942,1.9027,2.83,18.05,777,277
Ex 3 day 09,8,75,0.1326,2.1575,1.7769,2.83,16.27,793,318
Ex 3 day 09,8,76,0.1326,1.7811,1.2062,3.3,13.43,762,304
Ex 3 day 09,8,77,0.1326,1.464,1.359,3.77,11.04,799,312
Ex 3 day 09,8,78,0.1326,1.6099,1.2786,2.83,12.14,793,300
Ex 3 day 09,8,79,0.1326,1.6867,1.3257,2.83,12.72,773,301
Ex 3 day 09,9,80,0.1062,3.9236,3.0062,2.83,36.93,468,330
Ex 3 day 09,9,81,0.1062,3.5985,2.3145,4.24,33.87,523,345
