experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 183;1;1;0,0150;3,9877;3,1157;2,8300;265,1100;772;24;17351
Ex 3 day 183;1;2;0,0150;3,1301;2,6122;2,8300;208,1000;781;53;17351
Ex 3 day 183;1;3;0,0150;3,4042;2,5737;2,8300;226,3200;695;0;17351
Ex 3 day 183;1;4;0,0150;3,1520;2,4778;2,8300;209,5500;725;72;17351
Ex 3 day 183;1;5;0,0150;3,3509;2,3919;2,8300;222,7800;727;34;17351
Ex 3 day 183;1;6;0,0150;2,8982;2,2198;2,8300;192,6800;716;0;17351
Ex 3 day 183;1;7;0,0150;2,6873;2,1768;2,8300;178,6600;747;32;17351
Ex 3 day 183;1;8;0,0150;2,4794;1,6663;3,7700;164,8400;761;7;17351
Ex 3 day 183;1;9;0,0150;2,9070;2,3799;2,8300;193,2700;761;29;17351
Ex 3 day 183;1;10;0,0150;3,2773;2,6031;2,8300;217,8900;762;85;17351
Ex 3 day 183;1;11;0,0150;3,2403;2,7913;2,8300;215,4200;754;102;17351
Ex 3 day 183;1;12;0,0150;2,9494;2,4000;2,8300;196,0800;731;0;17351
Ex 3 day 183;1;13;0,0150;2,7829;2,2668;2,8300;185,0100;711;83;17351
Ex 3 day 183;1;14;0,0150;2,3014;1,7780;2,8300;153,0100;765;92;17351
Ex 3 day 183;1;15;0,0150;2,6004;1,9732;2,8300;172,8800;769;103;17351
Ex 3 day 183;1;16;0,0150;1,9103;1,3181;3,3000;127,0000;806;73;17351
Ex 3 day 183;1;17;0,0150;2,4321;1,9508;2,8300;161,6900;789;105;17351
Ex 3 day 183;1;18;0,0150;2,4871;1,9385;2,8300;165,3500;746;8;17351
Ex 3 day 183;1;19;0,0150;2,1012;1,6992;2,8300;139,7000;724;23;17351
Ex 3 day 183;1;20;0,0150;2,7187;2,2626;2,8300;180,7500;858;84;17351
Ex 3 day 183;1;21;0,0150;2,2751;1,9221;2,8300;151,2500;679;67;17351
Ex 3 day 183;1;22;0,0150;1,7907;1,5298;2,8300;119,0500;776;92;17351
Ex 3 day 183;1;23;0,0150;2,4520;1,9543;2,8300;163,0100;792;75;17351
Ex 3 day 183;1;24;0,0150;2,3654;1,6747;2,8300;157,2600;768;41;17351
Ex 3 day 183;1;25;0,0150;2,6513;2,2324;2,8300;176,2700;820;92;17351
Ex 3 day 183;1;26;0,0150;2,1173;1,7601;2,8300;140,7600;755;47;17351
Ex 3 day 183;1;27;0,0150;2,4181;1,9210;2,8300;160,7600;739;79;17351
Ex 3 day 183;1;28;0,0150;2,5326;1,9887;2,8300;168,3700;716;68;17351
Ex 3 day 183;1;29;0,0150;2,4074;1,9291;2,8300;160,0500;823;87;17351
Ex 3 day 183;1;30;0,0150;2,0893;1,5383;2,8300;138,9000;736;14;17351
Ex 3 day 183;1;31;0,0150;1,5640;1,3699;3,3000;103,9800;750;78;17351
Ex 3 day 183;1;32;0,0150;1,9057;1,5989;2,8300;126,6900;687;40;17351
Ex 3 day 183;1;33;0,0150;2,4801;1,6242;3,7700;164,8800;726;93;17351
Ex 3 day 183;1;34;0,0150;2,8835;2,1204;2,8300;191,7000;808;88;17351
Ex 3 day 183;1;35;0,0150;2,5972;1,6609;3,3000;172,6700;807;20;17351
Ex 3 day 183;1;36;0,0150;2,1427;1,5759;2,8300;142,4500;797;98;17351
