experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 187;1;1;0,0049;4,4407;3,2157;3,3000;915,0000;453;170;19521
Ex 3 day 187;1;2;0,0049;4,3182;3,7409;2,8300;889,7500;478;114;19521
Ex 3 day 187;1;3;0,0049;3,5572;2,5754;3,3000;732,9600;426;90;19521
Ex 3 day 187;1;4;0,0049;3,8572;2,9427;2,8300;794,7600;447;110;19521
Ex 3 day 187;1;5;0,0049;3,6959;3,1267;2,8300;761,5400;485;87;19521
Ex 3 day 187;1;6;0,0049;3,6648;2,7247;3,3000;755,1300;476;157;19521
Ex 3 day 187;1;7;0,0049;3,7821;3,2840;2,8300;779,3000;541;141;19521
Ex 3 day 187;1;8;0,0049;2,8792;2,0413;3,3000;593,2500;417;136;19521
Ex 3 day 187;1;9;0,0049;3,1529;2,2360;3,3000;649,6500;451;156;19521
Ex 3 day 187;1;10;0,0049;3,3199;2,9505;2,8300;684,0600;471;81;19521
Ex 3 day 187;1;11;0,0049;3,1533;2,6263;2,8300;649,7400;496;162;19521
Ex 3 day 187;1;12;0,0049;2,7679;2,1523;2,8300;570,3300;421;158;19521
Ex 3 day 187;1;13;0,0049;2,8477;2,3712;2,8300;586,7500;517;106;19521
Ex 3 day 187;1;14;0,0049;2,8807;1,7666;4,2400;593,5600;432;127;19521
Ex 3 day 187;1;15;0,0049;3,2367;2,7036;2,8300;666,9200;533;72;19521
Ex 3 day 187;1;16;0,0049;2,4783;1,9638;2,8300;510,6500;548;55;19521
Ex 3 day 187;1;17;0,0049;2,1174;1,7391;3,7700;436,2800;517;128;19521
Ex 3 day 187;1;18;0,0049;2,1403;1,6862;2,8300;441,0100;449;88;19521
Ex 3 day 187;1;19;0,0049;2,8559;1,9510;3,3000;588,4600;535;107;19521
Ex 3 day 187;1;20;0,0049;2,9842;2,4372;2,8300;614,9000;524;66;19521
Ex 3 day 187;1;21;0,0049;2,4331;2,0145;2,8300;501,3400;525;49;19521
Ex 3 day 187;1;22;0,0049;2,8259;2,4006;2,8300;582,2700;464;123;19521
Ex 3 day 187;1;23;0,0049;2,5579;1,8571;3,7700;527,0400;422;113;19521
Ex 3 day 187;1;24;0,0049;3,0617;2,4987;2,8300;630,8600;505;48;19521
Ex 3 day 187;1;25;0,0049;2,1881;1,8242;2,8300;450,8500;494;55;19521
Ex 3 day 187;1;26;0,0049;1,8925;1,3570;4,2400;389,9500;433;142;19521
Ex 3 day 187;1;27;0,0049;1,4760;1,1197;3,3000;304,1400;438;96;19521
Ex 3 day 187;1;28;0,0049;2,5724;2,2545;2,8300;530,0400;523;111;19521
Ex 3 day 187;1;29;0,0049;1,9992;1,3571;2,8300;411,9300;510;94;19521
Ex 3 day 187;1;30;0,0049;1,8554;1,0648;4,2400;382,3100;474;190;19521
Ex 3 day 187;1;31;0,0049;2,1544;1,3982;2,8300;443,9200;560;90;19521
Ex 3 day 187;1;32;0,0049;2,1134;1,6996;2,8300;435,4600;517;164;19521
Ex 3 day 187;1;33;0,0049;1,8818;1,4789;2,8300;387,7500;557;75;19521
Ex 3 day 187;1;34;0,0049;1,8257;1,2961;2,8300;376,1700;473;140;19521
Ex 3 day 187;1;35;0,0049;1,4585;1,0519;2,8300;300,5300;521;83;19521
Ex 3 day 187;1;36;0,0049;1,7844;1,4121;2,8300;367,6800;484;134;19521
Ex 3 day 187;1;37;0,0049;1,4965;1,1727;2,8300;308,3400;517;91;19521
Ex 3 day 187;1;38;0,0049;1,3074;0,9967;2,8300;269,3900;441;84;19521
Ex 3 day 187;1;39;0,0049;1,7118;1,1505;2,8300;352,7100;400;121;19521
Ex 3 day 187;1;40;0,0049;1,3578;1,0647;2,8300;279,7800;499;150;19521
Ex 3 day 187;1;41;0,0049;2,0874;1,7943;2,8300;430,1000;415;96;19521
Ex 3 day 187;2;42;0,0240;3,9865;3,3971;2,8300;166,4200;633;212;10795
Ex 3 day 187;2;43;0,0240;3,2473;2,8404;2,8300;135,5600;574;300;10795
Ex 3 day 187;2;44;0,0240;2,9392;2,6450;2,8300;122,7000;598;244;10795
Ex 3 day 187;2;45;0,0240;3,4774;2,6806;2,8300;145,1700;631;225;10795
Ex 3 day 187;2;46;0,0240;3,7293;2,6090;2,8300;155,6800;576;282;10795
Ex 3 day 187;2;47;0,0240;3,0172;2,3170;2,8300;125,9500;558;230;10795
Ex 3 day 187;2;48;0,0240;2,7270;2,2860;2,8300;113,8400;593;231;10795
Ex 3 day 187;2;49;0,0240;3,0949;1,9810;4,2400;129,2000;635;276;10795
Ex 3 day 187;2;50;0,0240;3,3802;2,7661;2,8300;141,1100;565;179;10795
Ex 3 day 187;2;51;0,0240;2,4846;1,9334;2,8300;103,7200;609;192;10795
Ex 3 day 187;2;52;0,0240;1,7141;1,3929;2,8300;71,5600;569;203;10795
Ex 3 day 187;2;53;0,0240;2,5432;1,8447;2,8300;106,1700;572;213;10795
Ex 3 day 187;2;54;0,0240;2,6398;2,2192;2,8300;110,2000;598;221;10795
Ex 3 day 187;2;55;0,0240;3,1041;1,9777;2,8300;129,5800;587;204;10795
Ex 3 day 187;2;56;0,0240;2,6234;2,1357;2,8300;109,5200;582;264;10795
Ex 3 day 187;2;57;0,0240;2,0279;1,6689;2,8300;84,6600;626;298;10795
Ex 3 day 187;2;58;0,0240;2,5971;1,9193;2,8300;108,4200;582;259;10795
Ex 3 day 187;2;59;0,0240;3,3960;2,6896;2,8300;141,7700;619;254;10795
Ex 3 day 187;2;60;0,0240;2,3839;2,1106;2,8300;99,5200;589;230;10795
Ex 3 day 187;2;61;0,0240;2,1291;1,8568;2,8300;88,8800;554;220;10795
Ex 3 day 187;2;62;0,0240;1,4786;1,2606;3,3000;61,7300;585;218;10795
Ex 3 day 187;2;63;0,0240;2,6045;2,0545;2,8300;108,7300;608;214;10795
Ex 3 day 187;2;64;0,0240;2,4383;1,9819;2,8300;101,7900;589;291;10795
Ex 3 day 187;2;65;0,0240;1,8201;1,3303;3,3000;75,9800;639;241;10795
Ex 3 day 187;2;66;0,0240;2,0503;1,7479;2,8300;85,5900;606;283;10795
Ex 3 day 187;2;67;0,0240;1,7749;1,6397;3,7700;74,0900;574;229;10795
Ex 3 day 187;2;68;0,0240;2,3917;1,8298;2,8300;99,8400;549;202;10795
Ex 3 day 187;2;69;0,0240;2,0543;1,7321;2,8300;85,7600;616;197;10795
Ex 3 day 187;2;70;0,0240;1,7825;1,2415;2,8300;74,4100;566;196;10795
