Total Cells: 15
Total Foci: 30

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 03        2        1               0.1914               4.6894                    3.5811         2.83                 24.50    1285     222
Ex 3 day 03        2        2               0.1914               3.4557                    2.5152         2.83                 18.05    1254     222
Ex 3 day 03        2        3               0.1914               2.4241                    2.0538         2.83                 12.66    1273     228
Ex 3 day 03        2        4               0.1914               2.1457                    1.8437         2.83                 11.21    1271     217
Ex 3 day 03        3        5               0.1718               2.2801                    1.9301         2.83                 13.27     811     258
Ex 3 day 03        3        6               0.1718               2.5067                    1.8559         2.83                 14.59     819     274
Ex 3 day 03        4        7               0.1666               3.2637                    2.7293         2.83                 19.59     604     290
Ex 3 day 03        4        8               0.1666               2.4993                    1.7609         2.83                 15.00     578     268
Ex 3 day 03        5        9               0.1892               2.1638                    1.9471         2.83                 11.44     850     387
Ex 3 day 03        5       10               0.1892               2.7684                    2.1333         2.83                 14.64     887     366
Ex 3 day 03        5       11               0.1892               2.0775                    1.4396         4.24                 10.98     849     374
Ex 3 day 03        5       12               0.1892               2.3638                    1.7630         2.83                 12.50     856     363
Ex 3 day 03        5       13               0.1892               2.0058                    1.8062         2.83                 10.60     856     359
Ex 3 day 03        5       14               0.1892               1.8489                    1.5091         2.83                  9.77     875     363
Ex 3 day 03        6       15               0.1628               3.4368                    2.5236         2.83                 21.12     814     570
Ex 3 day 03        6       16               0.1628               2.5743                    2.0652         2.83                 15.82     833     542
Ex 3 day 03        6       17               0.1628               2.4638                    2.1310         2.83                 15.14     813     551
Ex 3 day 03        7       18               0.1419               3.2292                    2.5988         2.83                 22.76     695     572
Ex 3 day 03        7       19               0.1419               2.7936                    2.0721         2.83                 19.69     680     538
Ex 3 day 03        7       20               0.1419               2.0091                    1.6397         2.83                 14.16     710     555
