Total Cells: 49
Total Foci: 314

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 08        1        1               0.1131               2.3599                    1.7797         2.83                 20.86     403      11
Ex 3 day 08        1        2               0.1131               1.9071                    1.7338         4.24                 16.86     417       0
Ex 3 day 08        1        3               0.1131               3.2374                    2.3797         2.83                 28.62     345       0
Ex 3 day 08        1        4               0.1131               2.6260                    1.5739         4.71                 23.21     378      30
Ex 3 day 08        1        5               0.1131               2.5709                    1.9448         2.83                 22.73     417      16
Ex 3 day 08        1        6               0.1131               1.7688                    1.3228         2.83                 15.64     385      18
Ex 3 day 08        2        7               0.0339               3.1737                    2.1434         3.30                 93.49     595     118
Ex 3 day 08        2        8               0.0339               2.5059                    1.6948         3.30                 73.81     525      71
Ex 3 day 08        2        9               0.0339               2.4025                    1.6471         5.19                 70.77     544      85
Ex 3 day 08        2       10               0.0339               2.7325                    2.3564         2.83                 80.49     526     113
Ex 3 day 08        2       11               0.0339               2.2140                    1.5986         2.83                 65.22     520      13
Ex 3 day 08        2       12               0.0339               2.7783                    2.4218         2.83                 81.84     475     139
Ex 3 day 08        2       13               0.0339               2.6257                    2.2330         2.83                 77.34     530     119
Ex 3 day 08        2       14               0.0339               2.0408                    1.7039         2.83                 60.11     492      35
Ex 3 day 08        2       15               0.0339               2.0817                    1.6363         2.83                 61.32     464     113
Ex 3 day 08        2       16               0.0339               2.6197                    2.1487         2.83                 77.17     483     144
Ex 3 day 08        2       17               0.0339               1.9858                    1.4287         2.83                 58.50     484      88
Ex 3 day 08        2       18               0.0339               1.6545                    1.2671         3.77                 48.74     485     110
Ex 3 day 08        2       19               0.0339               2.2210                    1.9334         2.83                 65.42     545      58
Ex 3 day 08        2       20               0.0339               2.0843                    1.6461         3.30                 61.40     573      90
