 ,Area,Mean,Min,Max
1,2.222E-5,255,255,255
2,1.111E-5,255,255,255
3,7.222E-4,255,255,255
4,0.010,255,255,255
5,1.111E-5,255,255,255
6,0.001,255,255,255
7,2.222E-5,255,255,255
8,9.444E-4,255,255,255
9,1.111E-5,255,255,255
10,1.111E-5,255,255,255
11,3.333E-5,255,255,255
12,8.889E-5,255,255,255
13,1.111E-5,255,255,255
14,1.111E-5,255,255,255
15,2.778E-4,255,255,255
16,2.222E-5,255,255,255
17,3.333E-5,255,255,255
18,1.444E-4,255,255,255
19,1.111E-5,255,255,255
20,2.222E-5,255,255,255
21,1.111E-5,255,255,255
22,3.333E-5,255,255,255
23,6.556E-4,255,255,255
24,2.222E-5,255,255,255
25,8.889E-4,255,255,255
