experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 02;1;1;0,1710;2,1825;1,8725;2,8300;12,7600;698;145;4143
Ex 3 day 02;1;2;0,1710;2,1278;1,6838;2,8300;12,4400;707;142;4143
Ex 3 day 02;1;3;0,1710;2,2001;1,8077;2,8300;12,8700;697;131;4143
Ex 3 day 02;2;4;0,1960;2,8894;2,3610;2,8300;14,7400;464;196;2664
Ex 3 day 02;2;5;0,1960;2,3011;1,9239;2,8300;11,7400;469;185;2664
Ex 3 day 02;3;6;0,1464;3,1735;2,4828;2,8300;21,6800;890;328;4016
Ex 3 day 02;3;7;0,1464;2,3657;1,9368;2,8300;16,1600;887;317;4016
Ex 3 day 02;3;8;0,1464;2,3398;1,9228;2,8300;15,9800;865;333;4016
Ex 3 day 02;3;9;0,1464;1,2796;1,0388;3,3000;8,7400;886;345;4016
Ex 3 day 02;4;10;0,1355;2,0494;1,7263;2,8300;15,1200;1145;405;3844
Ex 3 day 02;4;11;0,1355;2,1628;1,6672;3,3000;15,9600;1117;366;3844
Ex 3 day 02;4;12;0,1355;1,8625;1,4938;2,8300;13,7400;1132;396;3844
Ex 3 day 02;4;13;0,1355;2,3476;1,6846;3,7700;17,3200;1140;385;3844
Ex 3 day 02;4;14;0,1355;1,8904;1,5729;2,8300;13,9500;1104;361;3844
Ex 3 day 02;4;15;0,1355;1,4915;1,1767;2,8300;11,0100;1158;406;3844
Ex 3 day 02;5;16;0,1641;2,5979;2,0025;2,8300;15,8300;943;434;2899
Ex 3 day 02;5;17;0,1641;3,0258;2,4958;2,8300;18,4400;923;426;2899
Ex 3 day 02;5;18;0,1641;2,2255;1,7150;2,8300;13,5600;944;449;2899
Ex 3 day 02;5;19;0,1641;2,1258;1,7343;2,8300;12,9500;943;457;2899
Ex 3 day 02;5;20;0,1641;2,4091;1,6902;2,8300;14,6800;934;421;2899
Ex 3 day 02;5;21;0,1641;2,1956;1,7764;3,3000;13,3800;924;453;2899
Ex 3 day 02;6;22;0,1354;3,6106;2,6406;3,7700;26,6700;542;482;3396
Ex 3 day 02;6;23;0,1354;1,9869;1,5429;3,7700;14,6700;525;480;3396
Ex 3 day 02;6;24;0,1354;1,8253;1,1835;3,3000;13,4800;530;507;3396
Ex 3 day 02;6;25;0,1354;2,3015;1,4656;4,2400;17,0000;546;507;3396
Ex 3 day 02;6;26;0,1354;1,9846;1,5143;2,8300;14,6600;531;496;3396
Ex 3 day 02;7;27;0,1513;3,5765;2,6102;3,3000;23,6400;980;569;3271
Ex 3 day 02;7;28;0,1513;1,4705;0,9009;7,0700;9,7200;951;583;3271
Ex 3 day 02;7;29;0,1513;2,0140;1,7136;2,8300;13,3100;990;587;3271
Ex 3 day 02;8;30;0,1009;3,0702;2,5824;2,8300;30,4200;364;647;3262
Ex 3 day 02;8;31;0,1009;2,7491;2,4006;2,8300;27,2400;358;633;3262
Ex 3 day 02;8;32;0,1009;2,5199;1,9212;2,8300;24,9700;352;650;3262
Ex 3 day 02;8;33;0,1009;2,3360;1,7794;2,8300;23,1500;337;660;3262
Ex 3 day 02;8;34;0,1009;2,1495;1,7234;2,8300;21,3000;334;623;3262
Ex 3 day 02;8;35;0,1009;2,0262;1,6096;2,8300;20,0800;373;635;3262
Ex 3 day 02;8;36;0,1009;1,7584;1,2933;2,8300;17,4200;354;641;3262
Ex 3 day 02;9;37;0,0673;2,7301;2,2683;2,8300;40,5900;326;813;6119
Ex 3 day 02;9;38;0,0673;1,2702;0,7518;3,7700;18,8900;371;840;6119
Ex 3 day 02;9;39;0,0673;2,0764;1,5921;3,3000;30,8700;332;826;6119
Ex 3 day 02;9;40;0,0673;2,2687;2,0036;2,8300;33,7300;327;841;6119
Ex 3 day 02;9;41;0,0673;2,1304;1,3412;4,7100;31,6800;356;808;6119
Ex 3 day 02;9;42;0,0673;2,1797;1,5651;3,3000;32,4100;313;799;6119
