 ,Area,Mean,Min,Max
1,1.222E-4,255,255,255
2,3.000E-4,255,255,255
3,5.556E-5,255,255,255
4,2.222E-5,255,255,255
5,3.333E-5,255,255,255
6,4.444E-5,255,255,255
7,1.111E-5,255,255,255
8,0.001,255,255,255
9,0.045,255,255,255
10,1.111E-5,255,255,255
11,1.111E-5,255,255,255
12,2.222E-5,255,255,255
13,8.889E-5,255,255,255
14,3.333E-5,255,255,255
15,2.222E-5,255,255,255
16,3.778E-4,255,255,255
17,1.111E-5,255,255,255
18,3.333E-5,255,255,255
19,8.889E-5,255,255,255
20,1.111E-5,255,255,255
21,6.667E-5,255,255,255
22,1.111E-5,255,255,255
23,2.222E-5,255,255,255
