 ,Area,Mean,Min,Max
215,1.111E-5,255,255,255
216,0.138,255,255,255
217,2.222E-5,255,255,255
218,2.222E-5,255,255,255
219,1.111E-5,255,255,255
220,8.889E-5,255,255,255
221,3.333E-5,255,255,255
222,1.889E-4,255,255,255
223,3.333E-5,255,255,255
224,7.778E-5,255,255,255
225,1.111E-5,255,255,255
226,1.111E-5,255,255,255
227,1.556E-4,255,255,255
228,2.222E-5,255,255,255
229,1.000E-4,255,255,255
230,2.222E-5,255,255,255
231,3.333E-5,255,255,255
232,3.333E-5,255,255,255
233,2.222E-5,255,255,255
234,1.111E-5,255,255,255
235,1.000E-4,255,255,255
236,3.333E-5,255,255,255
237,7.111E-4,255,255,255
238,1.111E-5,255,255,255
239,1.222E-4,255,255,255
240,0.002,255,255,255
241,7.778E-5,255,255,255
242,0.001,255,255,255
243,1.111E-5,255,255,255
244,2.000E-4,255,255,255
245,7.778E-5,255,255,255
246,3.333E-5,255,255,255
247,1.111E-5,255,255,255
248,2.222E-5,255,255,255
249,1.111E-5,255,255,255
250,0.002,255,255,255
251,4.444E-5,255,255,255
252,5.556E-5,255,255,255
253,1.222E-4,255,255,255
254,5.556E-5,255,255,255
255,3.333E-5,255,255,255
256,4.444E-5,255,255,255
257,8.889E-5,255,255,255
258,1.111E-5,255,255,255
259,5.556E-5,255,255,255
260,1.111E-5,255,255,255
261,2.222E-5,255,255,255
262,2.222E-5,255,255,255
263,2.444E-4,255,255,255
264,1.111E-5,255,255,255
265,1.111E-5,255,255,255
266,1.111E-4,255,255,255
267,1.111E-5,255,255,255
268,5.556E-5,255,255,255
269,4.444E-5,255,255,255
270,5.333E-4,255,255,255
271,1.000E-4,255,255,255
272,4.444E-5,255,255,255
273,7.778E-5,255,255,255
274,1.333E-4,255,255,255
275,8.889E-4,255,255,255
276,2.111E-4,255,255,255
277,7.778E-5,255,255,255
278,2.889E-4,255,255,255
279,7.778E-5,255,255,255
280,3.333E-5,255,255,255
281,0.002,255,255,255
282,1.111E-5,255,255,255
283,1.444E-4,255,255,255
284,0.002,255,255,255
285,3.333E-5,255,255,255
286,7.778E-5,255,255,255
287,1.111E-4,255,255,255
288,2.222E-5,255,255,255
289,2.111E-4,255,255,255
290,3.667E-4,255,255,255
291,1.000E-4,255,255,255
292,0.018,255,255,255
293,0.001,255,255,255
294,1.667E-4,255,255,255
295,1.444E-4,255,255,255
296,0.009,255,255,255
297,2.000E-4,255,255,255
298,2.444E-4,255,255,255
299,1.111E-5,255,255,255
300,1.111E-4,255,255,255
301,1.111E-5,255,255,255
302,3.333E-5,255,255,255
303,2.667E-4,255,255,255
304,8.889E-5,255,255,255
305,1.111E-5,255,255,255
306,1.111E-5,255,255,255
307,4.444E-5,255,255,255
308,4.111E-4,255,255,255
309,5.778E-4,255,255,255
310,1.222E-4,255,255,255
311,4.444E-5,255,255,255
312,1.111E-5,255,255,255
313,1.111E-4,255,255,255
314,3.667E-4,255,255,255
315,8.889E-5,255,255,255
316,3.333E-5,255,255,255
317,1.111E-5,255,255,255
318,1.111E-5,255,255,255
319,1.444E-4,255,255,255
320,3.333E-5,255,255,255
321,1.111E-5,255,255,255
322,4.000E-4,255,255,255
323,1.333E-4,255,255,255
324,1.333E-4,255,255,255
325,1.111E-5,255,255,255
326,1.111E-5,255,255,255
327,4.444E-4,255,255,255
328,5.556E-4,255,255,255
329,2.222E-5,255,255,255
330,1.111E-5,255,255,255
331,1.889E-4,255,255,255
332,1.111E-5,255,255,255
333,5.444E-4,255,255,255
334,0.007,255,255,255
335,6.556E-4,255,255,255
336,3.333E-5,255,255,255
337,1.111E-5,255,255,255
338,3.333E-5,255,255,255
339,1.111E-5,255,255,255
340,4.000E-4,255,255,255
341,1.111E-5,255,255,255
342,6.556E-4,255,255,255
343,0.002,255,255,255
344,3.333E-5,255,255,255
345,0.011,255,255,255
346,1.778E-4,255,255,255
347,7.111E-4,255,255,255
348,0.008,255,255,255
349,2.778E-4,255,255,255
350,1.222E-4,255,255,255
351,1.111E-5,255,255,255
352,1.111E-5,255,255,255
353,1.333E-4,255,255,255
354,1.111E-5,255,255,255
355,1.111E-5,255,255,255
356,0.001,255,255,255
357,2.111E-4,255,255,255
358,5.000E-4,255,255,255
359,2.222E-5,255,255,255
360,1.111E-5,255,255,255
361,1.111E-5,255,255,255
362,1.111E-5,255,255,255
363,1.444E-4,255,255,255
364,2.222E-5,255,255,255
365,1.111E-5,255,255,255
366,5.556E-5,255,255,255
367,1.889E-4,255,255,255
368,1.111E-5,255,255,255
369,5.556E-5,255,255,255
370,1.111E-5,255,255,255
371,1.111E-5,255,255,255
372,1.111E-5,255,255,255
373,2.222E-5,255,255,255
374,2.222E-5,255,255,255
375,1.111E-5,255,255,255
376,8.889E-5,255,255,255
377,1.889E-4,255,255,255
378,1.556E-4,255,255,255
379,3.333E-5,255,255,255
380,9.000E-4,255,255,255
381,1.111E-5,255,255,255
382,1.111E-5,255,255,255
383,1.111E-5,255,255,255
384,1.111E-5,255,255,255
385,1.111E-5,255,255,255
