Total Cells: 12
Total Foci: 694

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 183        1        1                0.015               3.9877                    3.1157         2.83                265.11     772      24
Ex 3 day 183        1        2                0.015               3.1301                    2.6122         2.83                208.10     781      53
Ex 3 day 183        1        3                0.015               3.4042                    2.5737         2.83                226.32     695       0
Ex 3 day 183        1        4                0.015               3.1520                    2.4778         2.83                209.55     725      72
Ex 3 day 183        1        5                0.015               3.3509                    2.3919         2.83                222.78     727      34
Ex 3 day 183        1        6                0.015               2.8982                    2.2198         2.83                192.68     716       0
Ex 3 day 183        1        7                0.015               2.6873                    2.1768         2.83                178.66     747      32
Ex 3 day 183        1        8                0.015               2.4794                    1.6663         3.77                164.84     761       7
Ex 3 day 183        1        9                0.015               2.9070                    2.3799         2.83                193.27     761      29
Ex 3 day 183        1       10                0.015               3.2773                    2.6031         2.83                217.89     762      85
Ex 3 day 183        1       11                0.015               3.2403                    2.7913         2.83                215.42     754     102
Ex 3 day 183        1       12                0.015               2.9494                    2.4000         2.83                196.08     731       0
Ex 3 day 183        1       13                0.015               2.7829                    2.2668         2.83                185.01     711      83
Ex 3 day 183        1       14                0.015               2.3014                    1.7780         2.83                153.01     765      92
Ex 3 day 183        1       15                0.015               2.6004                    1.9732         2.83                172.88     769     103
Ex 3 day 183        1       16                0.015               1.9103                    1.3181         3.30                127.00     806      73
Ex 3 day 183        1       17                0.015               2.4321                    1.9508         2.83                161.69     789     105
Ex 3 day 183        1       18                0.015               2.4871                    1.9385         2.83                165.35     746       8
Ex 3 day 183        1       19                0.015               2.1012                    1.6992         2.83                139.70     724      23
Ex 3 day 183        1       20                0.015               2.7187                    2.2626         2.83                180.75     858      84
