experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 1815;1;1;0,1944;2,4261;2,1076;2,8300;12,4800;1013;133;8257
Ex 3 day 1815;1;2;0,1944;2,2518;1,6706;3,3000;11,5800;1046;137;8257
Ex 3 day 1815;2;3;0,0662;3,1123;2,2221;4,7100;46,9800;204;186;24139
Ex 3 day 1815;2;4;0,0662;3,1032;2,6878;2,8300;46,8400;278;243;24139
Ex 3 day 1815;2;5;0,0662;2,7256;2,1369;4,7100;41,1400;249;273;24139
Ex 3 day 1815;2;6;0,0662;2,9085;2,2293;2,8300;43,9000;256;253;24139
Ex 3 day 1815;2;7;0,0662;2,9601;1,8775;5,1900;44,6800;201;265;24139
Ex 3 day 1815;2;8;0,0662;2,7488;2,0925;2,8300;41,4900;195;286;24139
Ex 3 day 1815;2;9;0,0662;3,0434;1,8440;5,1900;45,9400;215;214;24139
Ex 3 day 1815;2;10;0,0662;2,1213;1,6726;2,8300;32,0200;259;218;24139
Ex 3 day 1815;2;11;0,0662;1,8590;1,4669;2,8300;28,0600;263;244;24139
Ex 3 day 1815;2;12;0,0662;2,8030;1,6121;5,6600;42,3100;237;198;24139
Ex 3 day 1815;2;13;0,0662;2,3007;1,6046;4,7100;34,7300;188;215;24139
Ex 3 day 1815;2;14;0,0662;2,1327;1,6899;2,8300;32,1900;224;298;24139
Ex 3 day 1815;2;15;0,0662;2,4075;2,0263;2,8300;36,3400;191;300;24139
Ex 3 day 1815;2;16;0,0662;2,7677;1,9443;3,3000;41,7800;206;296;24139
Ex 3 day 1815;2;17;0,0662;2,7382;1,8205;4,7100;41,3300;294;255;24139
Ex 3 day 1815;2;18;0,0662;2,4518;2,1306;2,8300;37,0100;230;245;24139
Ex 3 day 1815;2;19;0,0662;2,2199;2,0493;2,8300;33,5100;268;280;24139
Ex 3 day 1815;2;20;0,0662;1,9286;1,5021;2,8300;29,1100;236;258;24139
Ex 3 day 1815;2;21;0,0662;2,1099;1,5740;2,8300;31,8500;241;220;24139
