Total Cells: 4
Total Foci: 118

Head (first 20 rows):
   experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 1814        1        1               0.0263               4.3903                    3.1080         3.30                166.81     853     211
Ex 3 day 1814        1        2               0.0263               3.9629                    2.8873         3.77                150.57     872     198
Ex 3 day 1814        1        3               0.0263               3.6406                    2.4449         4.24                138.32     790     174
Ex 3 day 1814        1        4               0.0263               3.5341                    2.7956         3.77                134.28     774     161
Ex 3 day 1814        1        5               0.0263               3.6440                    2.7520         3.77                138.45     835     150
Ex 3 day 1814        1        6               0.0263               3.7974                    2.8632         3.77                144.28     808     214
Ex 3 day 1814        1        7               0.0263               3.5253                    2.6980         3.77                133.94     892     175
Ex 3 day 1814        1        8               0.0263               3.3900                    2.3354         4.24                128.80     833     215
Ex 3 day 1814        1        9               0.0263               3.6366                    2.6479         3.77                138.17     882     212
Ex 3 day 1814        1       10               0.0263               3.7060                    2.6968         3.30                140.81     782     231
Ex 3 day 1814        1       11               0.0263               3.5163                    2.3865         3.30                133.60     828     240
Ex 3 day 1814        1       12               0.0263               3.1932                    2.4110         3.77                121.32     877     152
Ex 3 day 1814        1       13               0.0263               2.8788                    1.8863         4.24                109.38     807     184
Ex 3 day 1814        1       14               0.0263               3.1096                    2.3610         3.77                118.15     836     165
Ex 3 day 1814        1       15               0.0263               3.0343                    2.0065         4.24                115.28     751     216
Ex 3 day 1814        1       16               0.0263               2.8423                    1.8730         4.24                107.99     855     238
Ex 3 day 1814        1       17               0.0263               2.3005                    1.9217         2.83                 87.40     813     198
Ex 3 day 1814        1       18               0.0263               2.3538                    1.9527         2.83                 89.43     831     199
Ex 3 day 1814        1       19               0.0263               1.5642                    1.2829         3.77                 59.43     847     180
Ex 3 day 1814        1       20               0.0263               1.7878                    1.5848         2.83                 67.92     777     188
