experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y,cell_area
Ex 3 day 1814,1,1,0.0263,4.3903,3.108,3.3,166.81,853,211,19730
Ex 3 day 1814,1,2,0.0263,3.9629,2.8873,3.77,150.57,872,198,19730
Ex 3 day 1814,1,3,0.0263,3.6406,2.4449,4.24,138.32,790,174,19730
Ex 3 day 1814,1,4,0.0263,3.5341,2.7956,3.77,134.28,774,161,19730
Ex 3 day 1814,1,5,0.0263,3.644,2.752,3.77,138.45,835,150,19730
Ex 3 day 1814,1,6,0.0263,3.7974,2.8632,3.77,144.28,808,214,19730
Ex 3 day 1814,1,7,0.0263,3.5253,2.698,3.77,133.94,892,175,19730
Ex 3 day 1814,1,8,0.0263,3.39,2.3354,4.24,128.8,833,215,19730
Ex 3 day 1814,1,9,0.0263,3.6366,2.6479,3.77,138.17,882,212,19730
Ex 3 day 1814,1,10,0.0263,3.706,2.6968,3.3,140.81,782,231,19730
Ex 3 day 1814,1,11,0.0263,3.5163,2.3865,3.3,133.6,828,240,19730
Ex 3 day 1814,1,12,0.0263,3.1932,2.411,3.77,121.32,877,152,19730
Ex 3 day 1814,1,13,0.0263,2.8788,1.8863,4.24,109.38,807,184,19730
Ex 3 day 1814,1,14,0.0263,3.1096,2.361,3.77,118.15,836,165,19730
Ex 3 day 1814,1,15,0.0263,3.0343,2.0065,4.24,115.28,751,216,19730
Ex 3 day 1814,1,16,0.0263,2.8423,1.873,4.24,107.99,855,238,19730
Ex 3 day 1814,1,17,0.0263,2.3005,1.9217,2.83,87.4,813,198,19730
Ex 3 day 1814,1,18,0.0263,2.3538,1.9527,2.83,89.43,831,199,19730
Ex 3 day 1814,1,19,0.0263,1.5642,1.2829,3.77,59.43,847,180,19730
Ex 3 day 1814,1,20,0.0263,1.7878,1.5848,2.83,67.92,777,188,19730
Ex 3 day 1814,1,21,0.0263,1.8305,1.2069,4.24,69.55,863,163,19730
Ex 3 day 1814,1,22,0.0263,1.2961,1.0932,3.77,49.24,772,197,19730
Ex 3 day 1814,1,23,0.0263,2.1607,1.8058,2.83,82.09,818,170,19730
Ex 3 day 1814,2,24,0.0333,4.237,3.0295,3.3,127.38,164,405,19982
Ex 3 day 1814,2,25,0.0333,4.0594,2.9074,3.3,122.04,138,375,19982
Ex 3 day 1814,2,26,0.0333,3.835,2.686,3.3,115.3,215,403,19982
Ex 3 day 1814,2,27,0.0333,3.1507,1.9444,5.19,94.72,172,323,19982
Ex 3 day 1814,2,28,0.0333,3.468,2.3922,3.77,104.26,242,416,19982
Ex 3 day 1814,2,29,0.0333,3.4463,2.7171,3.77,103.61,143,422,19982
Ex 3 day 1814,2,30,0.0333,3.5352,2.5198,3.77,106.28,169,358,19982
Ex 3 day 1814,2,31,0.0333,3.0182,2.2563,3.77,90.74,182,374,19982
Ex 3 day 1814,2,32,0.0333,2.636,1.9245,3.3,79.25,151,368,19982
Ex 3 day 1814,2,33,0.0333,3.1746,2.2767,3.77,95.44,122,402,19982
Ex 3 day 1814,2,34,0.0333,3.1833,2.275,3.3,95.7,191,350,19982
Ex 3 day 1814,2,35,0.0333,3.1037,2.3075,3.3,93.31,123,460,19982
Ex 3 day 1814,2,36,0.0333,2.9785,1.9993,3.3,89.55,136,362,19982
Ex 3 day 1814,2,37,0.0333,2.8616,2.1447,3.77,86.03,235,346,19982
Ex 3 day 1814,2,38,0.0333,3.081,2.1932,3.3,92.63,194,379,19982
Ex 3 day 1814,2,39,0.0333,2.9545,2.2491,3.77,88.83,170,424,19982
Ex 3 day 1814,2,40,0.0333,2.3696,1.7614,5.19,71.24,235,430,19982
Ex 3 day 1814,2,41,0.0333,2.5043,1.7573,3.3,75.29,156,444,19982
Ex 3 day 1814,2,42,0.0333,2.9389,1.8822,4.24,88.36,258,411,19982
Ex 3 day 1814,2,43,0.0333,2.8605,1.9927,3.3,86.0,259,437,19982
Ex 3 day 1814,2,44,0.0333,3.2244,1.987,3.3,96.94,224,362,19982
Ex 3 day 1814,2,45,0.0333,2.451,1.7339,3.77,73.69,210,386,19982
Ex 3 day 1814,2,46,0.0333,2.1063,1.6451,3.77,63.32,175,388,19982
Ex 3 day 1814,2,47,0.0333,2.056,1.6438,3.77,61.81,246,356,19982
Ex 3 day 1814,2,48,0.0333,2.3997,1.9667,3.77,72.15,194,398,19982
Ex 3 day 1814,2,49,0.0333,2.0584,1.59,4.71,61.88,245,385,19982
Ex 3 day 1814,2,50,0.0333,2.0445,1.6553,3.77,61.47,256,467,19982
Ex 3 day 1814,2,51,0.0333,2.547,1.6998,3.3,76.57,228,460,19982
Ex 3 day 1814,2,52,0.0333,1.9254,1.3793,3.77,57.89,138,442,19982
Ex 3 day 1814,2,53,0.0333,1.7536,1.2473,3.3,52.72,156,425,19982
Ex 3 day 1814,2,54,0.0333,1.9513,1.6044,3.77,58.66,164,433,19982
Ex 3 day 1814,2,55,0.0333,2.0139,1.2875,3.3,60.55,234,454,19982
Ex 3 day 1814,2,56,0.0333,1.5536,1.128,3.3,46.71,184,405,19982
Ex 3 day 1814,2,57,0.0333,1.8829,1.3107,3.3,56.61,228,403,19982
Ex 3 day 1814,2,58,0.0333,2.1725,1.8873,2.83,65.31,199,391,19982
Ex 3 day 1814,2,59,0.0333,1.9067,1.6368,2.83,57.32,131,389,19982
Ex 3 day 1814,2,60,0.0333,2.3712,1.6217,2.83,71.29,242,398,19982
Ex 3 day 1814,2,61,0.0333,1.8863,1.3464,3.77,56.71,185,362,19982
Ex 3 day 1814,2,62,0.0333,1.9083,1.0965,4.24,57.37,219,338,19982
Ex 3 day 1814,2,63,0.0333,1.2738,0.9532,3.3,38.3,223,439,19982
Ex 3 day 1814,3,64,0.0185,4.2505,3.1154,3.77,230.25,992,551,25940
Ex 3 day 1814,3,65,0.0185,3.9141,2.9701,3.77,212.03,1072,418,25940
Ex 3 day 1814,3,66,0.0185,3.6647,2.452,4.24,198.52,1025,520,25940
Ex 3 day 1814,3,67,0.0185,3.548,2.3806,4.24,192.2,1044,452,25940
Ex 3 day 1814,3,68,0.0185,3.1962,2.1416,3.3,173.14,998,480,25940
Ex 3 day 1814,3,69,0.0185,3.3608,2.2843,3.3,182.06,1095,437,25940
Ex 3 day 1814,3,70,0.0185,3.0095,1.9023,4.24,163.02,1018,440,25940
Ex 3 day 1814,3,71,0.0185,2.8625,2.1472,3.77,155.06,1028,495,25940
Ex 3 day 1814,3,72,0.0185,3.1549,2.2474,4.71,170.9,1062,495,25940
Ex 3 day 1814,3,73,0.0185,2.6197,1.9328,3.77,141.91,968,505,25940
Ex 3 day 1814,3,74,0.0185,2.7147,1.9479,3.77,147.06,996,444,25940
Ex 3 day 1814,3,75,0.0185,2.2319,1.7788,3.3,120.9,1088,506,25940
Ex 3 day 1814,3,76,0.0185,2.3747,1.7936,3.3,128.64,990,471,25940
Ex 3 day 1814,3,77,0.0185,2.4255,1.6697,4.24,131.39,1011,462,25940
Ex 3 day 1814,3,78,0.0185,1.9727,1.3501,3.3,106.86,1093,518,25940
Ex 3 day 1814,3,79,0.0185,2.2109,1.4711,3.3,119.76,1055,425,25940
Ex 3 day 1814,3,80,0.0185,1.987,1.5917,2.83,107.64,1061,559,25940
Ex 3 day 1814,3,81,0.0185,2.3309,1.8578,2.83,126.26,1019,586,25940
Ex 3 day 1814,3,82,0.0185,1.8402,1.3833,4.71,99.68,1048,550,25940
Ex 3 day 1814,3,83,0.0185,2.5216,1.8518,3.77,136.6,1044,477,25940
Ex 3 day 1814,3,84,0.0185,2.114,1.361,3.3,114.52,1096,530,25940
