Total Cells: 8
Total Foci: 469

Head (first 20 rows):
   experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 1812        1        1              -0.0103               4.4246                    3.1676         3.30               -427.62     534      95
Ex 3 day 1812        1        2              -0.0103               4.2522                    3.0562         3.30               -410.96     656     161
Ex 3 day 1812        1        3              -0.0103               4.2912                    3.1527         3.30               -414.73     552     199
Ex 3 day 1812        1        4              -0.0103               4.0920                    3.1195         3.77               -395.48     543      66
Ex 3 day 1812        1        5              -0.0103               4.2324                    3.0554         3.30               -409.05     631     108
Ex 3 day 1812        1        6              -0.0103               4.3560                    3.0804         3.30               -420.99     625     137
Ex 3 day 1812        1        7              -0.0103               4.0958                    2.9268         3.30               -395.84     587     129
Ex 3 day 1812        1        8              -0.0103               4.0116                    3.0016         3.77               -387.71     548     113
Ex 3 day 1812        1        9              -0.0103               4.0263                    2.9848         3.30               -389.13     645      30
Ex 3 day 1812        1       10              -0.0103               4.0940                    3.0261         3.77               -395.67     599     179
Ex 3 day 1812        1       11              -0.0103               4.3563                    3.6180         2.83               -421.02     681      86
Ex 3 day 1812        1       12              -0.0103               4.4220                    3.8100         2.83               -427.37     566      29
Ex 3 day 1812        1       13              -0.0103               4.0515                    2.9149         3.77               -391.56     524      82
Ex 3 day 1812        1       14              -0.0103               3.9844                    2.6736         3.30               -385.08     570     145
Ex 3 day 1812        1       15              -0.0103               4.0856                    2.9961         2.83               -394.86     660      80
Ex 3 day 1812        1       16              -0.0103               3.7202                    2.7492         3.30               -359.55     599      75
Ex 3 day 1812        1       17              -0.0103               3.8575                    2.8920         3.77               -372.82     686      37
Ex 3 day 1812        1       18              -0.0103               3.1189                    2.5367         3.77               -301.43     653     176
Ex 3 day 1812        1       19              -0.0103               3.6611                    2.8617         2.83               -353.83     645     200
Ex 3 day 1812        1       20              -0.0103               3.9333                    3.2453         2.83               -380.14     702      50
