experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y
Ex 3 day 1812,1,1,-0.0103,4.4246,3.1676,3.3,-427.62,534,95
Ex 3 day 1812,1,2,-0.0103,4.2522,3.0562,3.3,-410.96,656,161
Ex 3 day 1812,1,3,-0.0103,4.2912,3.1527,3.3,-414.73,552,199
Ex 3 day 1812,1,4,-0.0103,4.092,3.1195,3.77,-395.48,543,66
Ex 3 day 1812,1,5,-0.0103,4.2324,3.0554,3.3,-409.05,631,108
Ex 3 day 1812,1,6,-0.0103,4.356,3.0804,3.3,-420.99,625,137
Ex 3 day 1812,1,7,-0.0103,4.0958,2.9268,3.3,-395.84,587,129
Ex 3 day 1812,1,8,-0.0103,4.0116,3.0016,3.77,-387.71,548,113
Ex 3 day 1812,1,9,-0.0103,4.0263,2.9848,3.3,-389.13,645,30
Ex 3 day 1812,1,10,-0.0103,4.094,3.0261,3.77,-395.67,599,179
Ex 3 day 1812,1,11,-0.0103,4.3563,3.618,2.83,-421.02,681,86
Ex 3 day 1812,1,12,-0.0103,4.422,3.81,2.83,-427.37,566,29
Ex 3 day 1812,1,13,-0.0103,4.0515,2.9149,3.77,-391.56,524,82
Ex 3 day 1812,1,14,-0.0103,3.9844,2.6736,3.3,-385.08,570,145
Ex 3 day 1812,1,15,-0.0103,4.0856,2.9961,2.83,-394.86,660,80
Ex 3 day 1812,1,16,-0.0103,3.7202,2.7492,3.3,-359.55,599,75
Ex 3 day 1812,1,17,-0.0103,3.8575,2.892,3.77,-372.82,686,37
Ex 3 day 1812,1,18,-0.0103,3.1189,2.5367,3.77,-301.43,653,176
Ex 3 day 1812,1,19,-0.0103,3.6611,2.8617,2.83,-353.83,645,200
Ex 3 day 1812,1,20,-0.0103,3.9333,3.2453,2.83,-380.14,702,50
Ex 3 day 1812,1,21,-0.0103,3.0232,2.2563,2.83,-292.19,680,54
Ex 3 day 1812,1,22,-0.0103,3.2488,2.3343,3.77,-313.98,533,164
Ex 3 day 1812,1,23,-0.0103,3.3022,2.7772,2.83,-319.15,678,185
Ex 3 day 1812,1,24,-0.0103,2.8818,2.1354,2.83,-278.52,636,88
Ex 3 day 1812,1,25,-0.0103,3.0073,2.4024,2.83,-290.65,573,183
Ex 3 day 1812,1,26,-0.0103,2.9709,2.5041,2.83,-287.13,674,223
Ex 3 day 1812,1,27,-0.0103,3.2932,2.0831,3.3,-318.28,556,150
Ex 3 day 1812,1,28,-0.0103,2.8777,2.4795,2.83,-278.12,688,187
Ex 3 day 1812,1,29,-0.0103,3.1022,2.6563,2.83,-299.82,685,136
Ex 3 day 1812,1,30,-0.0103,2.8707,2.0246,3.77,-277.44,659,133
Ex 3 day 1812,1,31,-0.0103,2.5445,2.0528,2.83,-245.92,648,189
Ex 3 day 1812,1,32,-0.0103,2.6053,2.1953,2.83,-251.8,550,32
Ex 3 day 1812,1,33,-0.0103,2.3076,1.8975,2.83,-223.03,660,0
Ex 3 day 1812,1,34,-0.0103,2.9191,2.0856,3.77,-282.12,666,49
Ex 3 day 1812,1,35,-0.0103,2.5026,2.0551,2.83,-241.87,601,111
Ex 3 day 1812,1,36,-0.0103,2.5026,1.8026,3.3,-241.87,628,208
Ex 3 day 1812,1,37,-0.0103,2.9444,2.2186,2.83,-284.56,709,84
Ex 3 day 1812,1,38,-0.0103,2.6617,2.171,2.83,-257.24,671,111
Ex 3 day 1812,1,39,-0.0103,2.556,1.7045,3.3,-247.03,603,24
Ex 3 day 1812,1,40,-0.0103,2.7126,1.9205,3.77,-262.17,598,217
Ex 3 day 1812,1,41,-0.0103,2.8891,1.9364,3.77,-279.22,638,150
Ex 3 day 1812,1,42,-0.0103,2.4624,2.0481,3.77,-237.98,678,144
Ex 3 day 1812,1,43,-0.0103,2.0143,1.7984,2.83,-194.68,601,202
Ex 3 day 1812,1,44,-0.0103,2.8282,2.4401,2.83,-273.34,581,143
Ex 3 day 1812,1,45,-0.0103,2.3566,1.7346,2.83,-227.76,616,207
Ex 3 day 1812,1,46,-0.0103,2.688,1.5393,5.19,-259.78,663,202
Ex 3 day 1812,1,47,-0.0103,2.5059,2.0001,2.83,-242.19,717,85
Ex 3 day 1812,1,48,-0.0103,2.407,1.9052,2.83,-232.63,697,185
Ex 3 day 1812,1,49,-0.0103,2.5472,2.2462,2.83,-246.18,607,38
Ex 3 day 1812,1,50,-0.0103,1.8714,1.4905,2.83,-180.87,666,104
Ex 3 day 1812,1,51,-0.0103,2.3705,1.677,2.83,-229.1,658,110
Ex 3 day 1812,1,52,-0.0103,2.4548,1.8416,2.83,-237.24,672,120
Ex 3 day 1812,1,53,-0.0103,2.093,1.8594,2.83,-202.28,664,20
Ex 3 day 1812,1,54,-0.0103,2.0107,1.4424,4.24,-194.33,619,220
Ex 3 day 1812,1,55,-0.0103,2.3039,1.7831,2.83,-222.66,615,94
Ex 3 day 1812,1,56,-0.0103,2.5424,1.9736,2.83,-245.72,652,94
Ex 3 day 1812,1,57,-0.0103,2.9209,2.1079,2.83,-282.29,541,172
Ex 3 day 1812,1,58,-0.0103,2.1744,1.537,2.83,-210.15,605,126
Ex 3 day 1812,1,59,-0.0103,1.744,1.2584,2.83,-168.55,570,83
Ex 3 day 1812,1,60,-0.0103,1.776,1.3524,2.83,-171.64,707,96
Ex 3 day 1812,1,61,-0.0103,1.9909,1.6849,2.83,-192.41,639,42
Ex 3 day 1812,1,62,-0.0103,2.9154,1.932,2.83,-281.76,583,172
Ex 3 day 1812,1,63,-0.0103,2.1409,1.4908,2.83,-206.91,603,58
Ex 3 day 1812,1,64,-0.0103,2.031,1.4365,2.83,-196.29,640,2
Ex 3 day 1812,1,65,-0.0103,2.7607,2.1358,2.83,-266.81,698,86
Ex 3 day 1812,1,66,-0.0103,1.4091,0.8447,4.24,-136.18,672,0
Ex 3 day 1812,1,67,-0.0103,1.8849,1.6681,2.83,-182.17,543,132
Ex 3 day 1812,1,68,-0.0103,2.0174,1.6173,2.83,-194.98,535,151
Ex 3 day 1812,1,69,-0.0103,2.5891,1.947,2.83,-250.22,675,166
Ex 3 day 1812,1,70,-0.0103,1.8337,1.437,2.83,-177.22,669,65
Ex 3 day 1812,1,71,-0.0103,2.4643,2.0463,2.83,-238.16,615,53
Ex 3 day 1812,1,72,-0.0103,2.4255,1.8194,2.83,-234.42,582,36
Ex 3 day 1812,1,73,-0.0103,1.2867,1.0275,3.77,-124.36,606,6
Ex 3 day 1812,1,74,-0.0103,2.2487,1.9493,2.83,-217.33,701,59
Ex 3 day 1812,1,75,-0.0103,2.049,1.8376,2.83,-198.03,683,22
Ex 3 day 1812,1,76,-0.0103,1.5625,1.2679,2.83,-151.01,609,225
Ex 3 day 1812,1,77,-0.0103,1.6991,1.1087,2.83,-164.21,555,184
Ex 3 day 1812,1,78,-0.0103,1.8909,1.6533,2.83,-182.75,603,149
Ex 3 day 1812,1,79,-0.0103,2.144,1.3339,2.83,-207.21,574,116
Ex 3 day 1812,1,80,-0.0103,1.8359,1.6537,2.83,-177.44,582,53
Ex 3 day 1812,1,81,-0.0103,2.4111,2.0456,2.83,-233.03,713,41
Ex 3 day 1812,1,82,-0.0103,1.8417,1.4726,2.83,-177.99,594,37
Ex 3 day 1812,1,83,-0.0103,1.6195,1.4619,3.77,-156.52,624,79
Ex 3 day 1812,1,84,-0.0103,2.0642,1.5737,2.83,-199.5,640,55
Ex 3 day 1812,1,85,-0.0103,2.3484,1.8442,2.83,-226.96,593,90
Ex 3 day 1812,1,86,-0.0103,2.8876,2.0829,2.83,-279.08,588,100
Ex 3 day 1812,1,87,-0.0103,1.6136,1.4051,4.24,-155.95,660,225
Ex 3 day 1812,1,88,-0.0103,1.4423,1.1422,2.83,-139.39,592,114
Ex 3 day 1812,1,89,-0.0103,1.5543,1.135,2.83,-150.22,673,31
Ex 3 day 1812,1,90,-0.0103,1.8202,1.5552,2.83,-175.92,580,200
Ex 3 day 1812,1,91,-0.0103,1.4476,0.9897,6.13,-139.91,623,0
Ex 3 day 1812,1,92,-0.0103,2.1514,1.4188,2.83,-207.93,721,56
Ex 3 day 1812,1,93,-0.0103,2.4558,1.6257,2.83,-237.34,671,216
Ex 3 day 1812,1,94,-0.0103,2.4141,1.6496,2.83,-233.32,580,212
Ex 3 day 1812,1,95,-0.0103,1.4944,1.085,3.3,-144.43,692,121
Ex 3 day 1812,1,96,-0.0103,1.6093,1.216,3.3,-155.53,621,90
Ex 3 day 1812,1,97,-0.0103,2.1113,1.6041,2.83,-204.05,632,222
Ex 3 day 1812,1,98,-0.0103,2.4794,2.0509,2.83,-239.62,711,111
Ex 3 day 1812,1,99,-0.0103,1.9329,1.3022,2.83,-186.81,616,20
Ex 3 day 1812,1,100,-0.0103,1.7574,1.36,2.83,-169.85,645,207
Ex 3 day 1812,1,101,-0.0103,1.5022,1.086,3.77,-145.19,689,107
Ex 3 day 1812,1,102,-0.0103,1.3187,1.1447,3.3,-127.45,568,194
Ex 3 day 1812,1,103,-0.0103,0.7365,1.2006,4.24,-71.18,556,173
Ex 3 day 1812,1,104,-0.0103,1.5792,1.102,3.3,-152.63,669,180
Ex 3 day 1812,1,105,-0.0103,1.881,1.3087,2.83,-181.79,589,19
Ex 3 day 1812,1,106,-0.0103,1.6539,1.0684,2.83,-159.84,547,100
Ex 3 day 1812,1,107,-0.0103,1.7105,1.1664,2.83,-165.32,712,67
Ex 3 day 1812,1,108,-0.0103,1.3362,0.9903,4.24,-129.14,647,115
Ex 3 day 1812,1,109,-0.0103,2.1557,1.5345,3.3,-208.35,693,12
Ex 3 day 1812,1,110,-0.0103,1.6902,1.3148,2.83,-163.36,613,32
