experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 1813;1;1;0,0438;4,3221;3,0182;3,3000;98,5800;805;170;11469
Ex 3 day 1813;1;2;0,0438;4,1641;2,8633;3,3000;94,9800;830;166;11469
Ex 3 day 1813;1;3;0,0438;3,5494;2,7439;3,7700;80,9500;849;152;11469
Ex 3 day 1813;1;4;0,0438;3,7276;2,7714;3,7700;85,0200;833;206;11469
Ex 3 day 1813;1;5;0,0438;3,8406;2,7756;3,7700;87,6000;856;186;11469
Ex 3 day 1813;1;6;0,0438;3,5558;2,4804;3,3000;81,1000;800;207;11469
Ex 3 day 1813;1;7;0,0438;3,4473;2,4643;3,3000;78,6300;813;188;11469
Ex 3 day 1813;1;8;0,0438;3,2697;2,6450;3,7700;74,5800;826;182;11469
Ex 3 day 1813;1;9;0,0438;3,7368;2,7466;3,3000;85,2300;811;132;11469
Ex 3 day 1813;1;10;0,0438;3,3810;2,2812;3,3000;77,1100;809;119;11469
Ex 3 day 1813;1;11;0,0438;3,3919;2,6102;3,7700;77,3600;818;213;11469
Ex 3 day 1813;1;12;0,0438;2,9030;2,1382;3,3000;66,2100;796;150;11469
Ex 3 day 1813;1;13;0,0438;3,1885;2,3499;3,7700;72,7200;844;111;11469
Ex 3 day 1813;1;14;0,0438;2,6714;1,9453;3,7700;60,9300;858;172;11469
Ex 3 day 1813;1;15;0,0438;2,3321;1,6636;3,3000;53,1900;840;138;11469
Ex 3 day 1813;1;16;0,0438;2,6725;1,9758;3,3000;60,9500;874;157;11469
Ex 3 day 1813;1;17;0,0438;2,4141;1,7130;3,3000;55,0600;877;145;11469
Ex 3 day 1813;1;18;0,0438;1,8178;1,2078;4,2400;41,4600;833;225;11469
Ex 3 day 1813;1;19;0,0438;1,9845;1,4721;3,3000;45,2600;806;194;11469
Ex 3 day 1813;1;20;0,0438;2,0074;1,7438;2,8300;45,7800;849;126;11469
Ex 3 day 1813;1;21;0,0438;2,3354;1,6999;3,3000;53,2700;870;195;11469
Ex 3 day 1813;1;22;0,0438;1,8829;1,1599;3,3000;42,9400;819;157;11469
Ex 3 day 1813;1;23;0,0438;2,1142;1,7965;2,8300;48,2200;862;206;11469
Ex 3 day 1813;1;24;0,0438;1,7003;1,3199;4,7100;38,7800;792;178;11469
Ex 3 day 1813;1;25;0,0438;1,7777;1,2503;3,3000;40,5500;799;159;11469
Ex 3 day 1813;1;26;0,0438;1,9481;1,5226;3,7700;44,4300;780;154;11469
Ex 3 day 1813;2;27;0,0307;4,4589;3,2308;3,7700;145,4300;288;296;21385
Ex 3 day 1813;2;28;0,0307;4,0602;3,0838;3,7700;132,4200;350;232;21385
Ex 3 day 1813;2;29;0,0307;3,8406;2,9235;3,7700;125,2600;256;272;21385
Ex 3 day 1813;2;30;0,0307;3,9824;2,9654;3,7700;129,8900;322;272;21385
Ex 3 day 1813;2;31;0,0307;3,8203;2,8032;3,3000;124,6000;302;245;21385
Ex 3 day 1813;2;32;0,0307;3,9251;2,9837;3,7700;128,0100;297;195;21385
Ex 3 day 1813;2;33;0,0307;3,8535;2,6786;3,3000;125,6800;324;285;21385
Ex 3 day 1813;2;34;0,0307;3,9184;2,7989;3,3000;127,8000;289;226;21385
Ex 3 day 1813;2;35;0,0307;3,5792;2,4626;3,3000;116,7300;238;235;21385
Ex 3 day 1813;2;36;0,0307;3,8842;2,8572;3,3000;126,6800;302;310;21385
Ex 3 day 1813;2;37;0,0307;3,5508;2,6681;3,7700;115,8100;209;209;21385
Ex 3 day 1813;2;38;0,0307;3,8072;2,7840;3,7700;124,1700;224;225;21385
Ex 3 day 1813;2;39;0,0307;3,5008;2,7431;3,7700;114,1800;260;288;21385
Ex 3 day 1813;2;40;0,0307;3,4887;2,5910;3,7700;113,7800;295;162;21385
Ex 3 day 1813;2;41;0,0307;3,1607;2,3494;3,7700;103,0900;205;283;21385
Ex 3 day 1813;2;42;0,0307;2,9688;2,3299;3,7700;96,8300;260;244;21385
Ex 3 day 1813;2;43;0,0307;3,0288;2,2110;3,7700;98,7800;322;218;21385
Ex 3 day 1813;2;44;0,0307;3,3518;2,1456;4,2400;109,3200;299;264;21385
Ex 3 day 1813;2;45;0,0307;3,3547;2,5151;3,3000;109,4100;272;241;21385
Ex 3 day 1813;2;46;0,0307;3,2746;2,1814;4,2400;106,8000;252;224;21385
Ex 3 day 1813;2;47;0,0307;3,1720;2,4448;3,7700;103,4500;227;204;21385
Ex 3 day 1813;2;48;0,0307;2,7596;1,9603;4,7100;90,0100;216;273;21385
Ex 3 day 1813;2;49;0,0307;3,0130;2,2567;3,7700;98,2700;228;259;21385
Ex 3 day 1813;2;50;0,0307;2,6685;1,7699;4,2400;87,0300;331;207;21385
Ex 3 day 1813;2;51;0,0307;2,8234;2,1196;3,3000;92,0900;226;297;21385
Ex 3 day 1813;2;52;0,0307;2,7334;1,8573;3,3000;89,1500;279;184;21385
Ex 3 day 1813;2;53;0,0307;2,3796;1,8601;3,7700;77,6100;324;300;21385
Ex 3 day 1813;2;54;0,0307;2,3668;1,9102;3,7700;77,1900;210;247;21385
Ex 3 day 1813;2;55;0,0307;2,3340;1,8876;2,8300;76,1200;279;281;21385
Ex 3 day 1813;2;56;0,0307;2,4163;1,8961;3,7700;78,8100;348;196;21385
Ex 3 day 1813;2;57;0,0307;2,4868;1,7884;3,3000;81,1000;217;292;21385
Ex 3 day 1813;2;58;0,0307;2,0665;1,8556;2,8300;67,4000;323;232;21385
Ex 3 day 1813;2;59;0,0307;2,2718;1,4934;3,3000;74,0900;255;257;21385
Ex 3 day 1813;2;60;0,0307;2,1119;1,5086;3,3000;68,8800;273;172;21385
Ex 3 day 1813;2;61;0,0307;1,9969;1,4310;2,8300;65,1300;273;260;21385
Ex 3 day 1813;2;62;0,0307;2,2978;1,4604;3,3000;74,9400;348;262;21385
Ex 3 day 1813;2;63;0,0307;1,5591;0,9837;3,3000;50,8500;292;177;21385
Ex 3 day 1813;2;64;0,0307;2,1847;1,7527;2,8300;71,2500;339;188;21385
Ex 3 day 1813;2;65;0,0307;1,5712;1,2039;4,2400;51,2400;318;173;21385
Ex 3 day 1813;2;66;0,0307;1,5781;1,2345;2,8300;51,4700;339;267;21385
Ex 3 day 1813;2;67;0,0307;1,3836;1,1979;3,7700;45,1300;321;184;21385
Ex 3 day 1813;2;68;0,0307;1,8676;1,3056;2,8300;60,9100;239;182;21385
Ex 3 day 1813;3;69;0,0371;3,8314;2,4020;4,2400;103,3900;665;368;19244
Ex 3 day 1813;3;70;0,0371;3,7061;2,7446;3,3000;100,0100;673;385;19244
Ex 3 day 1813;3;71;0,0371;3,3460;2,4685;4,2400;90,2900;700;397;19244
Ex 3 day 1813;3;72;0,0371;3,6558;2,8840;3,7700;98,6500;694;371;19244
Ex 3 day 1813;3;73;0,0371;3,6498;2,7614;3,7700;98,4900;644;337;19244
Ex 3 day 1813;3;74;0,0371;3,8499;2,8114;3,3000;103,8900;685;432;19244
