experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y,cell_area
Ex 3 day 02,1,1,0.171,2.1825,1.8725,2.83,12.76,698,145,4143
Ex 3 day 02,1,2,0.171,2.1278,1.6838,2.83,12.44,707,142,4143
Ex 3 day 02,1,3,0.171,2.2001,1.8077,2.83,12.87,697,131,4143
Ex 3 day 02,2,4,0.196,2.8894,2.361,2.83,14.74,464,196,2664
Ex 3 day 02,2,5,0.196,2.3011,1.9239,2.83,11.74,469,185,2664
Ex 3 day 02,3,6,0.1464,3.1735,2.4828,2.83,21.68,890,328,4016
Ex 3 day 02,3,7,0.1464,2.3657,1.9368,2.83,16.16,887,317,4016
Ex 3 day 02,3,8,0.1464,2.3398,1.9228,2.83,15.98,865,333,4016
Ex 3 day 02,3,9,0.1464,1.2796,1.0388,3.3,8.74,886,345,4016
Ex 3 day 02,4,10,0.1355,2.0494,1.7263,2.83,15.12,1145,405,3844
Ex 3 day 02,4,11,0.1355,2.1628,1.6672,3.3,15.96,1117,366,3844
Ex 3 day 02,4,12,0.1355,1.8625,1.4938,2.83,13.74,1132,396,3844
Ex 3 day 02,4,13,0.1355,2.3476,1.6846,3.77,17.32,1140,385,3844
Ex 3 day 02,4,14,0.1355,1.8904,1.5729,2.83,13.95,1104,361,3844
Ex 3 day 02,4,15,0.1355,1.4915,1.1767,2.83,11.01,1158,406,3844
Ex 3 day 02,5,16,0.1641,2.5979,2.0025,2.83,15.83,943,434,2899
Ex 3 day 02,5,17,0.1641,3.0258,2.4958,2.83,18.44,923,426,2899
Ex 3 day 02,5,18,0.1641,2.2255,1.715,2.83,13.56,944,449,2899
Ex 3 day 02,5,19,0.1641,2.1258,1.7343,2.83,12.95,943,457,2899
Ex 3 day 02,5,20,0.1641,2.4091,1.6902,2.83,14.68,934,421,2899
Ex 3 day 02,5,21,0.1641,2.1956,1.7764,3.3,13.38,924,453,2899
Ex 3 day 02,6,22,0.1354,3.6106,2.6406,3.77,26.67,542,482,3396
Ex 3 day 02,6,23,0.1354,1.9869,1.5429,3.77,14.67,525,480,3396
Ex 3 day 02,6,24,0.1354,1.8253,1.1835,3.3,13.48,530,507,3396
Ex 3 day 02,6,25,0.1354,2.3015,1.4656,4.24,17.0,546,507,3396
Ex 3 day 02,6,26,0.1354,1.9846,1.5143,2.83,14.66,531,496,3396
Ex 3 day 02,7,27,0.1513,3.5765,2.6102,3.3,23.64,980,569,3271
Ex 3 day 02,7,28,0.1513,1.4705,0.9009,7.07,9.72,951,583,3271
Ex 3 day 02,7,29,0.1513,2.014,1.7136,2.83,13.31,990,587,3271
Ex 3 day 02,8,30,0.1009,3.0702,2.5824,2.83,30.42,364,647,3262
Ex 3 day 02,8,31,0.1009,2.7491,2.4006,2.83,27.24,358,633,3262
Ex 3 day 02,8,32,0.1009,2.5199,1.9212,2.83,24.97,352,650,3262
Ex 3 day 02,8,33,0.1009,2.336,1.7794,2.83,23.15,337,660,3262
Ex 3 day 02,8,34,0.1009,2.1495,1.7234,2.83,21.3,334,623,3262
Ex 3 day 02,8,35,0.1009,2.0262,1.6096,2.83,20.08,373,635,3262
Ex 3 day 02,8,36,0.1009,1.7584,1.2933,2.83,17.42,354,641,3262
Ex 3 day 02,9,37,0.0673,2.7301,2.2683,2.83,40.59,326,813,6119
Ex 3 day 02,9,38,0.0673,1.2702,0.7518,3.77,18.89,371,840,6119
Ex 3 day 02,9,39,0.0673,2.0764,1.5921,3.3,30.87,332,826,6119
Ex 3 day 02,9,40,0.0673,2.2687,2.0036,2.83,33.73,327,841,6119
Ex 3 day 02,9,41,0.0673,2.1304,1.3412,4.71,31.68,356,808,6119
Ex 3 day 02,9,42,0.0673,2.1797,1.5651,3.3,32.41,313,799,6119
Ex 3 day 02,9,43,0.0673,1.9548,1.5281,2.83,29.06,325,831,6119
Ex 3 day 02,9,44,0.0673,1.7917,1.5546,2.83,26.64,333,807,6119
Ex 3 day 02,10,45,0.1331,2.4537,2.1499,2.83,18.44,580,805,3219
Ex 3 day 02,10,46,0.1331,2.4369,2.0705,2.83,18.31,581,818,3219
Ex 3 day 02,10,47,0.1331,1.8257,1.4231,2.83,13.72,570,822,3219
Ex 3 day 02,10,48,0.1331,2.0915,1.8231,2.83,15.72,561,819,3219
Ex 3 day 02,11,49,0.1074,2.9197,2.4816,2.83,27.2,418,816,3648
Ex 3 day 02,11,50,0.1074,3.0716,2.281,2.83,28.61,410,834,3648
Ex 3 day 02,11,51,0.1074,2.6518,2.093,2.83,24.7,401,837,3648
Ex 3 day 02,11,52,0.1074,2.566,1.9297,2.83,23.9,393,836,3648
Ex 3 day 02,11,53,0.1074,2.2832,1.9303,2.83,21.27,409,799,3648
Ex 3 day 02,11,54,0.1074,3.1461,1.8752,2.83,29.31,398,830,3648
Ex 3 day 02,11,55,0.1074,2.0801,1.8042,2.83,19.38,387,853,3648
Ex 3 day 02,11,56,0.1074,2.3188,1.6537,2.83,21.6,398,816,3648
Ex 3 day 02,11,57,0.1074,2.1935,1.6935,2.83,20.43,397,846,3648
Ex 3 day 02,11,58,0.1074,1.6901,1.3031,3.3,15.74,392,820,3648
Ex 3 day 02,11,59,0.1074,2.0176,1.5363,2.83,18.79,410,807,3648
Ex 3 day 02,11,60,0.1074,1.5942,1.1938,2.83,14.85,386,835,3648
Ex 3 day 02,11,61,0.1074,1.6339,1.1734,3.3,15.22,415,791,3648
Ex 3 day 02,11,62,0.1074,2.2188,1.5089,3.3,20.67,379,826,3648
Ex 3 day 02,11,63,0.1074,2.3585,1.8089,2.83,21.97,397,800,3648
Ex 3 day 02,11,64,0.1074,1.3071,1.0585,2.83,12.18,399,785,3648
Ex 3 day 02,11,65,0.1074,1.8538,1.57,2.83,17.27,389,843,3648
Ex 3 day 02,11,66,0.1074,2.1006,1.678,2.83,19.57,387,804,3648
Ex 3 day 02,11,67,0.1074,1.2669,0.8741,2.83,11.8,398,807,3648
Ex 3 day 02,12,68,0.1463,3.6494,2.5757,2.83,24.94,8,844,3253
Ex 3 day 02,12,69,0.1463,2.2325,2.0709,4.71,15.26,0,876,3253
Ex 3 day 02,12,70,0.1463,2.6791,2.2452,2.83,18.31,26,893,3253
Ex 3 day 02,12,71,0.1463,3.0036,2.4103,2.83,20.53,18,858,3253
Ex 3 day 02,12,72,0.1463,2.3347,2.1481,2.83,15.96,26,872,3253
Ex 3 day 02,12,73,0.1463,2.8705,2.2838,2.83,19.62,25,902,3253
Ex 3 day 02,12,74,0.1463,1.5415,1.7087,4.71,10.54,12,900,3253
Ex 3 day 02,12,75,0.1463,2.0103,1.6789,2.83,13.74,0,847,3253
Ex 3 day 02,12,76,0.1463,1.3404,1.1796,2.83,9.16,17,879,3253
Ex 3 day 02,12,77,0.1463,2.1458,1.6542,2.83,14.67,25,864,3253
Ex 3 day 02,13,78,0.1609,1.8419,1.4189,3.3,11.45,567,915,2996
Ex 3 day 02,13,79,0.1609,2.297,1.7053,2.83,14.28,573,884,2996
Ex 3 day 02,13,80,0.1609,2.1285,1.8364,2.83,13.23,570,878,2996
Ex 3 day 02,13,81,0.1609,2.1671,1.5876,3.77,13.47,559,896,2996
Ex 3 day 02,13,82,0.1609,2.3024,1.7637,2.83,14.31,584,925,2996
Ex 3 day 02,14,83,0.0996,2.9217,2.135,2.83,29.35,707,972,5672
Ex 3 day 02,14,84,0.0996,2.4461,1.4242,4.24,24.57,728,980,5672
Ex 3 day 02,14,85,0.0996,2.4712,1.8296,2.83,24.82,712,1004,5672
Ex 3 day 02,14,86,0.0996,2.3369,1.843,2.83,23.47,706,965,5672
Ex 3 day 02,14,87,0.0996,1.883,1.5717,2.83,18.91,715,968,5672
