Total Cells: 14
Total Foci: 87

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 02        1        1               0.1710               2.1825                    1.8725         2.83                 12.76     698     145
Ex 3 day 02        1        2               0.1710               2.1278                    1.6838         2.83                 12.44     707     142
Ex 3 day 02        1        3               0.1710               2.2001                    1.8077         2.83                 12.87     697     131
Ex 3 day 02        2        4               0.1960               2.8894                    2.3610         2.83                 14.74     464     196
Ex 3 day 02        2        5               0.1960               2.3011                    1.9239         2.83                 11.74     469     185
Ex 3 day 02        3        6               0.1464               3.1735                    2.4828         2.83                 21.68     890     328
Ex 3 day 02        3        7               0.1464               2.3657                    1.9368         2.83                 16.16     887     317
Ex 3 day 02        3        8               0.1464               2.3398                    1.9228         2.83                 15.98     865     333
Ex 3 day 02        3        9               0.1464               1.2796                    1.0388         3.30                  8.74     886     345
Ex 3 day 02        4       10               0.1355               2.0494                    1.7263         2.83                 15.12    1145     405
Ex 3 day 02        4       11               0.1355               2.1628                    1.6672         3.30                 15.96    1117     366
Ex 3 day 02        4       12               0.1355               1.8625                    1.4938         2.83                 13.74    1132     396
Ex 3 day 02        4       13               0.1355               2.3476                    1.6846         3.77                 17.32    1140     385
Ex 3 day 02        4       14               0.1355               1.8904                    1.5729         2.83                 13.95    1104     361
Ex 3 day 02        4       15               0.1355               1.4915                    1.1767         2.83                 11.01    1158     406
Ex 3 day 02        5       16               0.1641               2.5979                    2.0025         2.83                 15.83     943     434
Ex 3 day 02        5       17               0.1641               3.0258                    2.4958         2.83                 18.44     923     426
Ex 3 day 02        5       18               0.1641               2.2255                    1.7150         2.83                 13.56     944     449
Ex 3 day 02        5       19               0.1641               2.1258                    1.7343         2.83                 12.95     943     457
Ex 3 day 02        5       20               0.1641               2.4091                    1.6902         2.83                 14.68     934     421
